epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1621164634038,2021-05-16T13.30.34.038,0.000,-0.274,-0.354,0.921
1621164634048,2021-05-16T13.30.34.048,0.010,-0.276,-0.357,0.927
1621164634058,2021-05-16T13.30.34.058,0.020,-0.274,-0.358,0.925
1621164634068,2021-05-16T13.30.34.068,0.030,-0.276,-0.357,0.926
1621164634078,2021-05-16T13.30.34.078,0.040,-0.279,-0.357,0.925
1621164634088,2021-05-16T13.30.34.088,0.050,-0.278,-0.355,0.925
1621164634098,2021-05-16T13.30.34.098,0.060,-0.276,-0.357,0.924
1621164634108,2021-05-16T13.30.34.108,0.070,-0.278,-0.357,0.925
1621164634118,2021-05-16T13.30.34.118,0.080,-0.278,-0.355,0.926
1621164634128,2021-05-16T13.30.34.128,0.090,-0.277,-0.356,0.926
1621164634138,2021-05-16T13.30.34.138,0.100,-0.279,-0.357,0.924
1621164634148,2021-05-16T13.30.34.148,0.110,-0.275,-0.354,0.927
1621164634158,2021-05-16T13.30.34.158,0.120,-0.271,-0.356,0.928
1621164634168,2021-05-16T13.30.34.168,0.130,-0.273,-0.358,0.926
1621164634178,2021-05-16T13.30.34.178,0.140,-0.274,-0.355,0.927
1621164634188,2021-05-16T13.30.34.188,0.150,-0.273,-0.355,0.925
1621164634198,2021-05-16T13.30.34.198,0.160,-0.274,-0.356,0.923
1621164634208,2021-05-16T13.30.34.208,0.170,-0.276,-0.357,0.924
1621164634218,2021-05-16T13.30.34.218,0.180,-0.276,-0.357,0.924
1621164634228,2021-05-16T13.30.34.228,0.190,-0.277,-0.358,0.921
1621164634238,2021-05-16T13.30.34.238,0.200,-0.278,-0.357,0.922
1621164634248,2021-05-16T13.30.34.248,0.210,-0.279,-0.357,0.923
1621164634258,2021-05-16T13.30.34.258,0.220,-0.279,-0.354,0.921
1621164634268,2021-05-16T13.30.34.268,0.230,-0.279,-0.355,0.923
1621164634278,2021-05-16T13.30.34.278,0.240,-0.279,-0.356,0.924
1621164634288,2021-05-16T13.30.34.288,0.250,-0.275,-0.355,0.925
1621164634298,2021-05-16T13.30.34.298,0.260,-0.273,-0.355,0.927
1621164634308,2021-05-16T13.30.34.308,0.270,-0.274,-0.355,0.927
1621164634318,2021-05-16T13.30.34.318,0.280,-0.275,-0.357,0.925
1621164634328,2021-05-16T13.30.34.328,0.290,-0.275,-0.357,0.926
1621164634338,2021-05-16T13.30.34.338,0.300,-0.275,-0.359,0.925
1621164634348,2021-05-16T13.30.34.348,0.310,-0.275,-0.361,0.921
1621164634358,2021-05-16T13.30.34.358,0.320,-0.275,-0.360,0.920
1621164634368,2021-05-16T13.30.34.368,0.330,-0.276,-0.358,0.924
1621164634378,2021-05-16T13.30.34.378,0.340,-0.277,-0.356,0.924
1621164634388,2021-05-16T13.30.34.388,0.350,-0.275,-0.356,0.923
1621164634398,2021-05-16T13.30.34.398,0.360,-0.275,-0.358,0.928
1621164634408,2021-05-16T13.30.34.408,0.370,-0.274,-0.356,0.928
1621164634418,2021-05-16T13.30.34.418,0.380,-0.278,-0.356,0.925
1621164634428,2021-05-16T13.30.34.428,0.390,-0.278,-0.357,0.925
1621164634438,2021-05-16T13.30.34.438,0.400,-0.278,-0.357,0.924
1621164634448,2021-05-16T13.30.34.448,0.410,-0.278,-0.358,0.925
1621164634458,2021-05-16T13.30.34.458,0.420,-0.279,-0.355,0.925
1621164634468,2021-05-16T13.30.34.468,0.430,-0.278,-0.358,0.925
