epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1621350996693,2021-05-18T17.16.36.693,0.000,-0.708,0.022,-0.708
1621350996703,2021-05-18T17.16.36.703,0.010,-0.716,0.020,-0.712
1621350996713,2021-05-18T17.16.36.713,0.020,-0.715,0.021,-0.714
1621350996723,2021-05-18T17.16.36.723,0.030,-0.716,0.021,-0.712
1621350996733,2021-05-18T17.16.36.733,0.040,-0.716,0.021,-0.712
1621350996743,2021-05-18T17.16.36.743,0.050,-0.715,0.021,-0.713
1621350996753,2021-05-18T17.16.36.753,0.060,-0.715,0.021,-0.709
1621350996763,2021-05-18T17.16.36.763,0.070,-0.716,0.021,-0.711
1621350996773,2021-05-18T17.16.36.773,0.080,-0.715,0.021,-0.711
1621350996783,2021-05-18T17.16.36.783,0.090,-0.715,0.024,-0.713
1621350996793,2021-05-18T17.16.36.793,0.100,-0.717,0.022,-0.711
1621350996803,2021-05-18T17.16.36.803,0.110,-0.716,0.021,-0.715
1621350996813,2021-05-18T17.16.36.813,0.120,-0.714,0.023,-0.710
1621350996823,2021-05-18T17.16.36.823,0.130,-0.712,0.025,-0.712
1621350996833,2021-05-18T17.16.36.833,0.140,-0.716,0.025,-0.714
1621350996843,2021-05-18T17.16.36.843,0.150,-0.715,0.021,-0.714
1621350996853,2021-05-18T17.16.36.853,0.160,-0.716,0.023,-0.717
1621350996863,2021-05-18T17.16.36.863,0.170,-0.713,0.022,-0.713
1621350996873,2021-05-18T17.16.36.873,0.180,-0.715,0.021,-0.711
1621350996883,2021-05-18T17.16.36.883,0.190,-0.714,0.019,-0.713
1621350996893,2021-05-18T17.16.36.893,0.200,-0.716,0.021,-0.713
1621350996903,2021-05-18T17.16.36.903,0.210,-0.715,0.022,-0.715
1621350996913,2021-05-18T17.16.36.913,0.220,-0.714,0.022,-0.715
1621350996923,2021-05-18T17.16.36.923,0.230,-0.714,0.022,-0.715
1621350996933,2021-05-18T17.16.36.933,0.240,-0.715,0.021,-0.714
1621350996943,2021-05-18T17.16.36.943,0.250,-0.715,0.021,-0.716
1621350996953,2021-05-18T17.16.36.953,0.260,-0.716,0.024,-0.715
1621350996963,2021-05-18T17.16.36.963,0.270,-0.713,0.023,-0.713
1621350996973,2021-05-18T17.16.36.973,0.280,-0.714,0.023,-0.712
1621350996983,2021-05-18T17.16.36.983,0.290,-0.717,0.025,-0.711
1621350996993,2021-05-18T17.16.36.993,0.300,-0.715,0.023,-0.714
1621350997003,2021-05-18T17.16.37.003,0.310,-0.715,0.021,-0.712
1621350997013,2021-05-18T17.16.37.013,0.320,-0.715,0.023,-0.708
1621350997023,2021-05-18T17.16.37.023,0.330,-0.715,0.020,-0.712
1621350997033,2021-05-18T17.16.37.033,0.340,-0.714,0.018,-0.713
1621350997043,2021-05-18T17.16.37.043,0.350,-0.713,0.019,-0.713
1621350997053,2021-05-18T17.16.37.053,0.360,-0.715,0.018,-0.710
1621350997063,2021-05-18T17.16.37.063,0.370,-0.716,0.019,-0.712
1621350997073,2021-05-18T17.16.37.073,0.380,-0.714,0.021,-0.712
1621350997083,2021-05-18T17.16.37.083,0.390,-0.714,0.024,-0.711
1621350997093,2021-05-18T17.16.37.093,0.400,-0.714,0.024,-0.715
1621350997103,2021-05-18T17.16.37.103,0.410,-0.715,0.024,-0.713
1621350997113,2021-05-18T17.16.37.113,0.420,-0.715,0.025,-0.712
1621350997123,2021-05-18T17.16.37.123,0.430,-0.716,0.024,-0.712
1621350997133,2021-05-18T17.16.37.133,0.440,-0.718,0.026,-0.717
1621350997143,2021-05-18T17.16.37.143,0.450,-0.714,0.025,-0.712
1621350997153,2021-05-18T17.16.37.153,0.460,-0.713,0.024,-0.715
1621350997163,2021-05-18T17.16.37.163,0.470,-0.714,0.024,-0.714
1621350997173,2021-05-18T17.16.37.173,0.480,-0.715,0.026,-0.712
1621350997183,2021-05-18T17.16.37.183,0.490,-0.715,0.023,-0.710
