epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1621350997572,2021-05-18T17.16.37.572,0.000,0.427,0.488,-0.122
1621350997582,2021-05-18T17.16.37.582,0.010,0.671,1.280,-0.244
1621350997592,2021-05-18T17.16.37.592,0.020,0.793,0.549,-0.183
1621350997602,2021-05-18T17.16.37.602,0.030,0.793,0.305,-0.305
1621350997612,2021-05-18T17.16.37.612,0.040,0.732,0.183,-0.305
1621350997622,2021-05-18T17.16.37.622,0.050,0.671,-0.061,-0.244
1621350997632,2021-05-18T17.16.37.632,0.060,0.549,-0.244,-0.305
1621350997642,2021-05-18T17.16.37.642,0.070,0.427,-0.366,-0.244
1621350997652,2021-05-18T17.16.37.652,0.080,0.366,-0.488,-0.183
1621350997662,2021-05-18T17.16.37.662,0.090,0.305,-0.671,-0.061
1621350997672,2021-05-18T17.16.37.672,0.100,0.244,-0.793,-0.183
1621350997682,2021-05-18T17.16.37.682,0.110,0.183,-0.976,-0.122
1621350997692,2021-05-18T17.16.37.692,0.120,0.122,-1.037,-0.122
1621350997702,2021-05-18T17.16.37.702,0.130,0.183,-1.159,-0.061
1621350997712,2021-05-18T17.16.37.712,0.140,0.122,-1.280,-0.122
1621350997722,2021-05-18T17.16.37.722,0.150,0.000,-1.220,-0.122
1621350997732,2021-05-18T17.16.37.732,0.160,-0.061,-1.159,-0.061
1621350997742,2021-05-18T17.16.37.742,0.170,-0.061,-1.159,-0.122
1621350997752,2021-05-18T17.16.37.752,0.180,-0.061,-1.037,-0.122
1621350997762,2021-05-18T17.16.37.762,0.190,-0.183,-1.098,-0.122
1621350997772,2021-05-18T17.16.37.772,0.200,-0.305,-1.280,-0.122
1621350997782,2021-05-18T17.16.37.782,0.210,-0.244,-1.402,0.000
1621350997792,2021-05-18T17.16.37.792,0.220,-0.122,-1.402,0.061
1621350997802,2021-05-18T17.16.37.802,0.230,-0.183,-1.524,0.061
1621350997812,2021-05-18T17.16.37.812,0.240,-0.244,-1.463,0.061
1621350997822,2021-05-18T17.16.37.822,0.250,-0.366,-1.402,0.061
1621350997832,2021-05-18T17.16.37.832,0.260,-0.244,-1.463,-0.122
1621350997842,2021-05-18T17.16.37.842,0.270,-0.366,-1.585,-0.122
1621350997852,2021-05-18T17.16.37.852,0.280,-0.244,-1.646,-0.122
1621350997862,2021-05-18T17.16.37.862,0.290,-0.244,-1.768,-0.061
1621350997872,2021-05-18T17.16.37.872,0.300,-0.305,-1.829,-0.122
1621350997882,2021-05-18T17.16.37.882,0.310,-0.183,-1.890,-0.061
1621350997892,2021-05-18T17.16.37.892,0.320,-0.122,-1.890,-0.061
1621350997902,2021-05-18T17.16.37.902,0.330,-0.061,-1.707,-0.122
1621350997912,2021-05-18T17.16.37.912,0.340,-0.061,-1.463,-0.183
1621350997922,2021-05-18T17.16.37.922,0.350,-0.183,-1.463,-0.122
1621350997932,2021-05-18T17.16.37.932,0.360,-0.305,-1.646,-0.183
1621350997942,2021-05-18T17.16.37.942,0.370,-0.366,-1.768,-0.122
1621350997952,2021-05-18T17.16.37.952,0.380,-0.488,-1.951,-0.061
1621350997962,2021-05-18T17.16.37.962,0.390,-0.427,-2.134,0.061
1621350997972,2021-05-18T17.16.37.972,0.400,-0.366,-2.073,0.244
1621350997982,2021-05-18T17.16.37.982,0.410,-0.244,-1.890,0.244
1621350997992,2021-05-18T17.16.37.992,0.420,-0.122,-1.890,0.305
1621350998002,2021-05-18T17.16.38.002,0.430,-0.061,-1.829,0.244
1621350998012,2021-05-18T17.16.38.012,0.440,0.000,-1.707,0.183
1621350998022,2021-05-18T17.16.38.022,0.450,0.000,-1.707,0.183
1621350998032,2021-05-18T17.16.38.032,0.460,-0.122,-1.768,-0.061
1621350998042,2021-05-18T17.16.38.042,0.470,-0.061,-1.890,-0.061
1621350998052,2021-05-18T17.16.38.052,0.480,-0.061,-1.890,-0.122
1621350998062,2021-05-18T17.16.38.062,0.490,-0.183,-1.951,-0.366
1621350998072,2021-05-18T17.16.38.072,0.500,-0.183,-1.951,-0.366
1621350998082,2021-05-18T17.16.38.082,0.510,-0.122,-1.768,-0.366
1621350998092,2021-05-18T17.16.38.092,0.520,-0.122,-1.585,-0.366
1621350998102,2021-05-18T17.16.38.102,0.530,-0.122,-1.280,-0.305
1621350998112,2021-05-18T17.16.38.112,0.540,-0.061,-0.976,-0.305
1621350998122,2021-05-18T17.16.38.122,0.550,0.000,-0.732,-0.366
1621350998132,2021-05-18T17.16.38.132,0.560,0.000,-0.671,-0.305
1621350998142,2021-05-18T17.16.38.142,0.570,0.061,-0.549,-0.183
1621350998152,2021-05-18T17.16.38.152,0.580,0.061,-0.549,-0.244
1621350998162,2021-05-18T17.16.38.162,0.590,0.122,-0.488,-0.061
1621350998172,2021-05-18T17.16.38.172,0.600,0.061,-0.610,0.000
1621350998182,2021-05-18T17.16.38.182,0.610,0.061,-0.793,0.000
1621350998192,2021-05-18T17.16.38.192,0.620,0.061,-0.732,0.000
1621350998202,2021-05-18T17.16.38.202,0.630,0.000,-0.671,0.000
1621350998212,2021-05-18T17.16.38.212,0.640,0.000,-0.732,-0.122
1621350998222,2021-05-18T17.16.38.222,0.650,-0.061,-0.854,-0.183
1621350998232,2021-05-18T17.16.38.232,0.660,0.000,-0.976,-0.305
1621350998242,2021-05-18T17.16.38.242,0.670,0.000,-1.159,-0.244
1621350998252,2021-05-18T17.16.38.252,0.680,-0.061,-1.402,-0.244
1621350998262,2021-05-18T17.16.38.262,0.690,-0.122,-1.463,-0.183
1621350998272,2021-05-18T17.16.38.272,0.700,-0.183,-1.524,-0.061
1621350998282,2021-05-18T17.16.38.282,0.710,-0.122,-1.402,0.000
1621350998292,2021-05-18T17.16.38.292,0.720,-0.122,-1.341,0.000
1621350998302,2021-05-18T17.16.38.302,0.730,-0.061,-1.280,0.061
1621350998312,2021-05-18T17.16.38.312,0.740,0.000,-1.220,0.061
1621350998322,2021-05-18T17.16.38.322,0.750,0.061,-1.037,0.061
1621350998332,2021-05-18T17.16.38.332,0.760,0.122,-0.976,-0.122
1621350998342,2021-05-18T17.16.38.342,0.770,0.000,-0.976,-0.122
1621350998352,2021-05-18T17.16.38.352,0.780,0.000,-0.976,-0.183
1621350998362,2021-05-18T17.16.38.362,0.790,0.000,-1.037,-0.244
1621350998372,2021-05-18T17.16.38.372,0.800,-0.122,-1.037,-0.183
1621350998382,2021-05-18T17.16.38.382,0.810,-0.061,-1.037,-0.183
1621350998392,2021-05-18T17.16.38.392,0.820,-0.061,-1.037,-0.244
1621350998402,2021-05-18T17.16.38.402,0.830,-0.061,-0.976,-0.122
1621350998412,2021-05-18T17.16.38.412,0.840,-0.061,-0.976,-0.061
1621350998422,2021-05-18T17.16.38.422,0.850,0.000,-0.976,-0.183
1621350998432,2021-05-18T17.16.38.432,0.860,0.061,-0.976,-0.122
1621350998442,2021-05-18T17.16.38.442,0.870,0.000,-0.915,-0.061
1621350998452,2021-05-18T17.16.38.452,0.880,0.000,-0.854,0.000
1621350998462,2021-05-18T17.16.38.462,0.890,0.000,-0.854,0.000
1621350998472,2021-05-18T17.16.38.472,0.900,0.000,-0.854,-0.183
1621350998482,2021-05-18T17.16.38.482,0.910,0.122,-0.671,-0.061
1621350998492,2021-05-18T17.16.38.492,0.920,0.122,-0.732,-0.122
1621350998502,2021-05-18T17.16.38.502,0.930,0.000,-0.610,-0.183
1621350998512,2021-05-18T17.16.38.512,0.940,0.061,-0.427,-0.244
1621350998522,2021-05-18T17.16.38.522,0.950,0.122,-0.549,-0.183
1621350998532,2021-05-18T17.16.38.532,0.960,0.122,-0.549,-0.244
1621350998542,2021-05-18T17.16.38.542,0.970,0.061,-0.488,-0.122
1621350998552,2021-05-18T17.16.38.552,0.980,0.000,-0.610,-0.244
1621350998562,2021-05-18T17.16.38.562,0.990,0.061,-0.610,-0.244
1621350998572,2021-05-18T17.16.38.572,1.000,0.122,-0.610,-0.183
1621350998582,2021-05-18T17.16.38.582,1.010,0.061,-0.671,-0.305
1621350998592,2021-05-18T17.16.38.592,1.020,0.122,-0.732,-0.244
1621350998602,2021-05-18T17.16.38.602,1.030,0.061,-0.793,-0.183
1621350998612,2021-05-18T17.16.38.612,1.040,0.061,-0.793,-0.183
1621350998622,2021-05-18T17.16.38.622,1.050,0.122,-0.732,-0.183
1621350998632,2021-05-18T17.16.38.632,1.060,0.122,-0.732,-0.244
1621350998642,2021-05-18T17.16.38.642,1.070,0.061,-0.732,-0.183
1621350998652,2021-05-18T17.16.38.652,1.080,0.061,-0.671,-0.183
