epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1618424611038,2021-04-14T20:23:31.038,0.000,0.169,-1.015,-0.160
1618424611048,2021-04-14T20:23:31.048,0.010,0.185,-1.019,-0.138
1618424611057,2021-04-14T20:23:31.057,0.019,0.183,-1.012,-0.141
1618424611067,2021-04-14T20:23:31.067,0.029,0.175,-1.018,-0.146
1618424611077,2021-04-14T20:23:31.077,0.039,0.171,-1.022,-0.150
1618424611088,2021-04-14T20:23:31.088,0.050,0.175,-1.026,-0.145
1618424611098,2021-04-14T20:23:31.098,0.060,0.176,-1.024,-0.145
1618424611108,2021-04-14T20:23:31.108,0.070,0.164,-1.018,-0.147
1618424611118,2021-04-14T20:23:31.118,0.080,0.144,-1.015,-0.152
1618424611129,2021-04-14T20:23:31.129,0.091,0.130,-1.018,-0.155
1618424611137,2021-04-14T20:23:31.137,0.099,0.115,-1.019,-0.160
1618424611148,2021-04-14T20:23:31.148,0.110,0.116,-1.024,-0.155
1618424611158,2021-04-14T20:23:31.158,0.120,0.118,-1.022,-0.146
1618424611168,2021-04-14T20:23:31.168,0.130,0.113,-1.023,-0.142
1618424611179,2021-04-14T20:23:31.179,0.141,0.107,-1.031,-0.140
1618424611189,2021-04-14T20:23:31.189,0.151,0.110,-1.029,-0.140
1618424611199,2021-04-14T20:23:31.199,0.161,0.111,-1.033,-0.143
1618424611208,2021-04-14T20:23:31.208,0.170,0.112,-1.035,-0.140
1618424611218,2021-04-14T20:23:31.218,0.180,0.123,-1.031,-0.126
1618424611228,2021-04-14T20:23:31.228,0.190,0.141,-1.031,-0.101
1618424611239,2021-04-14T20:23:31.239,0.201,0.140,-1.062,-0.067
1618424611249,2021-04-14T20:23:31.249,0.211,0.108,-1.069,-0.029
1618424611259,2021-04-14T20:23:31.259,0.221,0.072,-1.065,-0.006
1618424611269,2021-04-14T20:23:31.269,0.231,0.016,-1.013,-0.002
1618424611278,2021-04-14T20:23:31.278,0.240,0.005,-1.037,-0.031
1618424611288,2021-04-14T20:23:31.288,0.250,0.047,-1.074,-0.061
1618424611299,2021-04-14T20:23:31.299,0.261,0.067,-1.088,-0.063
1618424611309,2021-04-14T20:23:31.309,0.271,-0.006,-1.104,-0.072
1618424611319,2021-04-14T20:23:31.319,0.281,-0.070,-1.093,-0.082
