epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1618424611057,2021-04-14T20:23:31.057,0.000,17.073,-12.744,14.024
1618424611067,2021-04-14T20:23:31.067,0.010,17.073,-12.378,14.207
1618424611077,2021-04-14T20:23:31.077,0.020,16.037,-11.098,14.695
1618424611088,2021-04-14T20:23:31.088,0.031,15.610,-9.146,15.610
1618424611098,2021-04-14T20:23:31.098,0.041,16.220,-7.744,16.768
1618424611108,2021-04-14T20:23:31.108,0.051,16.585,-6.037,17.439
1618424611118,2021-04-14T20:23:31.118,0.061,16.646,-4.146,17.683
1618424611129,2021-04-14T20:23:31.129,0.072,16.524,-2.683,17.805
1618424611137,2021-04-14T20:23:31.137,0.080,16.646,-1.402,17.317
1618424611148,2021-04-14T20:23:31.148,0.091,17.378,-1.585,17.073
1618424611158,2021-04-14T20:23:31.158,0.101,18.476,-1.707,16.463
1618424611168,2021-04-14T20:23:31.168,0.111,19.207,-1.707,15.610
1618424611179,2021-04-14T20:23:31.179,0.122,19.573,-1.524,14.878
1618424611189,2021-04-14T20:23:31.189,0.132,19.695,-0.915,14.146
1618424611199,2021-04-14T20:23:31.199,0.142,19.939,-0.305,13.354
1618424611208,2021-04-14T20:23:31.208,0.151,20.427,1.159,12.561
1618424611218,2021-04-14T20:23:31.218,0.161,20.854,3.354,11.463
1618424611228,2021-04-14T20:23:31.228,0.171,21.402,8.415,9.390
1618424611239,2021-04-14T20:23:31.239,0.182,23.293,21.829,4.817
1618424611249,2021-04-14T20:23:31.249,0.192,24.390,34.817,-0.488
1618424611259,2021-04-14T20:23:31.259,0.202,25.732,41.402,-4.756
1618424611269,2021-04-14T20:23:31.269,0.212,22.988,29.756,-5.061
1618424611278,2021-04-14T20:23:31.278,0.221,21.220,13.841,-6.220
1618424611288,2021-04-14T20:23:31.288,0.231,22.866,6.585,-10.976
1618424611299,2021-04-14T20:23:31.299,0.242,24.512,0.732,-15.549
1618424611309,2021-04-14T20:23:31.309,0.252,27.073,-4.573,-20.122
1618424611319,2021-04-14T20:23:31.319,0.262,29.756,-14.268,-24.085
1618424611329,2021-04-14T20:23:31.329,0.272,31.951,-27.012,-26.402
1618424611340,2021-04-14T20:23:31.340,0.283,35.915,-38.598,-28.659
1618424611348,2021-04-14T20:23:31.348,0.291,39.695,-50.061,-30.061
1618424611359,2021-04-14T20:23:31.359,0.302,41.646,-62.439,-28.720
1618424611369,2021-04-14T20:23:31.369,0.312,45.244,-69.268,-28.110
1618424611379,2021-04-14T20:23:31.379,0.322,49.817,-77.256,-29.512
1618424611389,2021-04-14T20:23:31.389,0.332,50.427,-95.732,-25.671
1618424611400,2021-04-14T20:23:31.400,0.343,48.293,-106.341,-20.976
1618424611410,2021-04-14T20:23:31.410,0.353,43.780,-106.341,-18.841
1618424611420,2021-04-14T20:23:31.420,0.363,36.707,-99.939,-16.159
1618424611429,2021-04-14T20:23:31.429,0.372,30.732,-88.110,-12.744
1618424611439,2021-04-14T20:23:31.439,0.382,26.159,-76.098,-7.927
1618424611449,2021-04-14T20:23:31.449,0.392,22.012,-66.159,-2.378
1618424611460,2021-04-14T20:23:31.460,0.403,17.866,-55.793,3.354
1618424611470,2021-04-14T20:23:31.470,0.413,12.805,-46.341,9.329
1618424611480,2021-04-14T20:23:31.480,0.423,6.646,-39.390,16.524
1618424611491,2021-04-14T20:23:31.491,0.434,0.610,-31.341,24.695
1618424611499,2021-04-14T20:23:31.499,0.442,-4.573,-20.183,31.890
1618424611510,2021-04-14T20:23:31.510,0.453,-5.732,-5.915,35.183
1618424611520,2021-04-14T20:23:31.520,0.463,1.098,8.232,32.012
1618424611530,2021-04-14T20:23:31.530,0.473,13.963,11.890,18.171
1618424611540,2021-04-14T20:23:31.540,0.483,13.232,-0.549,3.049
1618424611551,2021-04-14T20:23:31.551,0.494,-5.000,-9.329,2.744
1618424611561,2021-04-14T20:23:31.561,0.504,-19.146,-6.707,4.329
1618424611570,2021-04-14T20:23:31.570,0.513,-23.537,-9.329,2.378
1618424611580,2021-04-14T20:23:31.580,0.523,-21.829,-15.549,0.854
1618424611590,2021-04-14T20:23:31.590,0.533,-17.378,-12.378,1.524
1618424611600,2021-04-14T20:23:31.600,0.543,-15.854,-4.085,1.463
1618424611611,2021-04-14T20:23:31.611,0.554,-17.439,6.524,0.549
1618424611621,2021-04-14T20:23:31.621,0.564,-18.049,21.524,-0.366
1618424611631,2021-04-14T20:23:31.631,0.574,-16.951,34.024,-0.915
1618424611640,2021-04-14T20:23:31.640,0.583,-15.366,39.207,-0.610
1618424611650,2021-04-14T20:23:31.650,0.593,-14.268,37.805,0.061
1618424611660,2021-04-14T20:23:31.660,0.603,-15.000,30.549,0.488
1618424611671,2021-04-14T20:23:31.671,0.614,-17.073,22.500,0.610
1618424611681,2021-04-14T20:23:31.681,0.624,-18.902,15.183,0.671
1618424611691,2021-04-14T20:23:31.691,0.634,-19.634,6.585,1.402
1618424611701,2021-04-14T20:23:31.701,0.644,-20.122,-3.232,2.988
1618424611712,2021-04-14T20:23:31.712,0.655,-19.695,-7.683,4.085
1618424611720,2021-04-14T20:23:31.720,0.663,-18.780,-5.122,4.512
1618424611731,2021-04-14T20:23:31.731,0.674,-19.146,0.732,5.244
1618424611741,2021-04-14T20:23:31.741,0.684,-20.427,8.293,6.646
1618424611751,2021-04-14T20:23:31.751,0.694,-20.671,15.366,8.171
1618424611762,2021-04-14T20:23:31.762,0.705,-19.756,20.488,8.720
1618424611772,2021-04-14T20:23:31.772,0.715,-18.659,23.354,7.988
1618424611782,2021-04-14T20:23:31.782,0.725,-17.439,21.951,7.256
1618424611791,2021-04-14T20:23:31.791,0.734,-16.037,18.841,6.159
1618424611801,2021-04-14T20:23:31.801,0.744,-15.000,15.427,4.634
1618424611811,2021-04-14T20:23:31.811,0.754,-14.390,13.232,2.805
1618424611822,2021-04-14T20:23:31.822,0.765,-13.232,7.988,2.439
1618424611832,2021-04-14T20:23:31.832,0.775,-11.280,6.707,1.951
1618424611842,2021-04-14T20:23:31.842,0.785,-8.476,7.439,2.622
1618424611852,2021-04-14T20:23:31.852,0.795,-5.854,12.073,3.232
1618424611861,2021-04-14T20:23:31.861,0.804,-4.451,13.659,3.902
1618424611871,2021-04-14T20:23:31.871,0.814,-2.500,16.159,4.085
1618424611882,2021-04-14T20:23:31.882,0.825,-0.671,18.293,4.512
1618424611892,2021-04-14T20:23:31.892,0.835,-0.122,15.183,5.366
1618424611902,2021-04-14T20:23:31.902,0.845,1.707,10.061,6.098
1618424611912,2021-04-14T20:23:31.912,0.855,4.085,2.012,7.439
1618424611923,2021-04-14T20:23:31.923,0.866,7.927,-6.890,9.207
1618424611931,2021-04-14T20:23:31.931,0.874,10.305,-10.122,10.366
1618424611942,2021-04-14T20:23:31.942,0.885,11.037,-8.537,10.915
1618424611952,2021-04-14T20:23:31.952,0.895,11.890,-4.329,11.463
1618424611962,2021-04-14T20:23:31.962,0.905,11.585,0.427,12.073
1618424611972,2021-04-14T20:23:31.972,0.915,9.756,4.146,12.622
1618424611983,2021-04-14T20:23:31.983,0.926,8.110,8.476,12.805
1618424611993,2021-04-14T20:23:31.993,0.936,6.220,11.585,13.049
1618424612003,2021-04-14T20:23:32.003,0.946,4.512,11.768,13.110
1618424612012,2021-04-14T20:23:32.012,0.955,3.841,10.793,12.561
1618424612022,2021-04-14T20:23:32.022,0.965,3.537,8.293,11.890
1618424612033,2021-04-14T20:23:32.033,0.976,3.720,5.427,10.854
1618424612043,2021-04-14T20:23:32.043,0.986,4.634,7.134,9.024
1618424612053,2021-04-14T20:23:32.053,0.996,4.268,10.427,7.561
1618424612063,2021-04-14T20:23:32.063,1.006,3.963,13.110,6.220
1618424612074,2021-04-14T20:23:32.074,1.017,3.902,14.817,4.634
1618424612082,2021-04-14T20:23:32.082,1.025,3.841,15.915,3.049
1618424612093,2021-04-14T20:23:32.093,1.036,3.537,14.207,1.707
1618424612103,2021-04-14T20:23:32.103,1.046,4.451,12.195,0.671
1618424612113,2021-04-14T20:23:32.113,1.056,5.061,10.488,0.122
1618424612123,2021-04-14T20:23:32.123,1.066,5.183,9.939,0.183
1618424612134,2021-04-14T20:23:32.134,1.077,5.549,10.183,0.183
1618424612144,2021-04-14T20:23:32.144,1.087,6.098,10.183,0.244
1618424612153,2021-04-14T20:23:32.153,1.096,6.280,9.573,0.549
1618424612163,2021-04-14T20:23:32.163,1.106,6.280,9.573,1.220
1618424612173,2021-04-14T20:23:32.173,1.116,6.037,8.963,2.195
1618424612183,2021-04-14T20:23:32.183,1.126,5.549,7.317,3.720
1618424612194,2021-04-14T20:23:32.194,1.137,5.122,5.854,5.976
1618424612204,2021-04-14T20:23:32.204,1.147,5.183,3.049,9.512
1618424612214,2021-04-14T20:23:32.214,1.157,6.098,-3.537,15.427
1618424612223,2021-04-14T20:23:32.223,1.166,5.488,-0.854,17.866
1618424612233,2021-04-14T20:23:32.233,1.176,4.085,8.415,17.256
1618424612243,2021-04-14T20:23:32.243,1.186,3.232,15.610,15.732
1618424612254,2021-04-14T20:23:32.254,1.197,0.488,24.268,12.988
1618424612264,2021-04-14T20:23:32.264,1.207,-2.744,33.659,10.244
1618424612274,2021-04-14T20:23:32.274,1.217,-2.500,37.805,8.110
1618424612284,2021-04-14T20:23:32.284,1.227,-2.866,39.512,4.024
1618424612295,2021-04-14T20:23:32.295,1.238,-6.524,41.463,-1.159
1618424612304,2021-04-14T20:23:32.304,1.247,-13.049,47.439,-5.732
1618424612314,2021-04-14T20:23:32.314,1.257,-11.220,61.524,-10.488
1618424612324,2021-04-14T20:23:32.324,1.267,-9.146,61.951,-11.829
1618424612334,2021-04-14T20:23:32.334,1.277,-6.890,42.561,-10.122
1618424612345,2021-04-14T20:23:32.345,1.288,-2.073,18.232,-10.244
1618424612355,2021-04-14T20:23:32.355,1.298,-1.402,-5.976,-14.146
1618424612365,2021-04-14T20:23:32.365,1.308,-2.988,-22.500,-19.268
1618424612374,2021-04-14T20:23:32.374,1.317,-4.146,-34.817,-22.134
1618424612384,2021-04-14T20:23:32.384,1.327,-4.390,-43.049,-22.744
1618424612394,2021-04-14T20:23:32.394,1.337,-3.537,-44.146,-22.317
1618424612405,2021-04-14T20:23:32.405,1.348,-3.780,-40.427,-21.524
1618424612415,2021-04-14T20:23:32.415,1.358,-4.817,-33.902,-21.402
1618424612425,2021-04-14T20:23:32.425,1.368,-6.098,-26.707,-22.134
1618424612435,2021-04-14T20:23:32.435,1.378,-7.500,-24.268,-22.378
1618424612444,2021-04-14T20:23:32.444,1.387,-8.537,-26.890,-21.951
1618424612454,2021-04-14T20:23:32.454,1.397,-8.476,-29.207,-21.402
1618424612465,2021-04-14T20:23:32.465,1.408,-7.683,-29.634,-20.793
1618424612475,2021-04-14T20:23:32.475,1.418,-6.707,-27.012,-20.122
1618424612485,2021-04-14T20:23:32.485,1.428,-5.732,-22.439,-19.329
1618424612495,2021-04-14T20:23:32.495,1.438,-5.000,-16.585,-18.841
1618424612506,2021-04-14T20:23:32.506,1.449,-4.512,-12.134,-18.659
1618424612514,2021-04-14T20:23:32.514,1.457,-4.512,-10.000,-18.659
1618424612525,2021-04-14T20:23:32.525,1.468,-5.427,-10.000,-18.171
1618424612535,2021-04-14T20:23:32.535,1.478,-6.768,-12.744,-16.890
1618424612545,2021-04-14T20:23:32.545,1.488,-7.073,-14.695,-15.244
1618424612555,2021-04-14T20:23:32.555,1.498,-7.256,-14.390,-12.927
1618424612566,2021-04-14T20:23:32.566,1.509,-7.622,-14.085,-9.756
1618424612576,2021-04-14T20:23:32.576,1.519,-7.561,-11.829,-6.280
1618424612585,2021-04-14T20:23:32.585,1.528,-7.561,-8.476,-2.866
1618424612595,2021-04-14T20:23:32.595,1.538,-7.256,-4.146,-0.244
1618424612605,2021-04-14T20:23:32.605,1.548,-6.463,-0.183,2.317
1618424612616,2021-04-14T20:23:32.616,1.559,-5.793,1.646,4.573
1618424612626,2021-04-14T20:23:32.626,1.569,-4.634,1.890,6.585
1618424612636,2021-04-14T20:23:32.636,1.579,-3.476,2.561,8.476
1618424612646,2021-04-14T20:23:32.646,1.589,-2.561,3.659,10.122
1618424612657,2021-04-14T20:23:32.657,1.600,-1.768,5.854,11.280
1618424612665,2021-04-14T20:23:32.665,1.608,-1.646,7.500,12.561
1618424612676,2021-04-14T20:23:32.676,1.619,-1.463,9.146,13.537
1618424612686,2021-04-14T20:23:32.686,1.629,-1.402,10.061,14.207
1618424612696,2021-04-14T20:23:32.696,1.639,-1.402,9.634,14.512
1618424612706,2021-04-14T20:23:32.706,1.649,-1.098,9.390,14.573
1618424612717,2021-04-14T20:23:32.717,1.660,-0.854,8.720,14.512
1618424612727,2021-04-14T20:23:32.727,1.670,-0.671,8.841,14.329
1618424612736,2021-04-14T20:23:32.736,1.679,-0.671,11.524,13.963
1618424612746,2021-04-14T20:23:32.746,1.689,-1.159,12.561,13.963
1618424612756,2021-04-14T20:23:32.756,1.699,-1.524,11.951,13.963
1618424612766,2021-04-14T20:23:32.766,1.709,-1.585,12.256,13.598
1618424612777,2021-04-14T20:23:32.777,1.720,-1.829,11.890,13.232
1618424612787,2021-04-14T20:23:32.787,1.730,-1.707,11.220,12.378
1618424612797,2021-04-14T20:23:32.797,1.740,-1.280,9.146,11.585
1618424612806,2021-04-14T20:23:32.806,1.749,-0.427,7.256,10.793
1618424612816,2021-04-14T20:23:32.816,1.759,0.488,6.341,9.817
1618424612826,2021-04-14T20:23:32.826,1.769,1.951,5.549,9.024
1618424612837,2021-04-14T20:23:32.837,1.780,3.598,5.976,8.232
1618424612847,2021-04-14T20:23:32.847,1.790,4.573,7.744,7.866
1618424612857,2021-04-14T20:23:32.857,1.800,5.122,9.634,7.500
1618424612867,2021-04-14T20:23:32.867,1.810,5.549,10.244,6.768
1618424612876,2021-04-14T20:23:32.876,1.819,5.915,9.573,5.976
1618424612887,2021-04-14T20:23:32.887,1.830,6.280,8.659,4.939
1618424612897,2021-04-14T20:23:32.897,1.840,6.220,7.683,3.963
1618424612907,2021-04-14T20:23:32.907,1.850,5.915,6.707,3.049
1618424612917,2021-04-14T20:23:32.917,1.860,5.671,5.732,2.195
1618424612928,2021-04-14T20:23:32.928,1.871,5.549,5.305,1.280
1618424612938,2021-04-14T20:23:32.938,1.881,5.610,5.122,0.610
1618424612948,2021-04-14T20:23:32.948,1.891,5.854,4.573,0.183
1618424612957,2021-04-14T20:23:32.957,1.900,6.341,4.512,-0.122
1618424612967,2021-04-14T20:23:32.967,1.910,6.707,4.085,-0.061
1618424612977,2021-04-14T20:23:32.977,1.920,6.951,3.780,0.610
1618424612988,2021-04-14T20:23:32.988,1.931,7.439,3.902,1.341
1618424612998,2021-04-14T20:23:32.998,1.941,7.744,4.695,2.195
1618424613008,2021-04-14T20:23:33.008,1.951,7.805,5.427,3.049
1618424613018,2021-04-14T20:23:33.018,1.961,7.561,5.122,4.024
1618424613027,2021-04-14T20:23:33.027,1.970,7.439,4.146,5.000
1618424613037,2021-04-14T20:23:33.037,1.980,7.073,3.293,5.732
1618424613048,2021-04-14T20:23:33.048,1.991,6.585,2.073,6.646
1618424613058,2021-04-14T20:23:33.058,2.001,6.220,1.037,7.500
1618424613068,2021-04-14T20:23:33.068,2.011,5.976,0.305,8.415
1618424613078,2021-04-14T20:23:33.078,2.021,5.793,0.305,9.024
1618424613089,2021-04-14T20:23:33.089,2.032,5.671,0.244,9.451
1618424613097,2021-04-14T20:23:33.097,2.040,5.549,-0.732,9.695
1618424613108,2021-04-14T20:23:33.108,2.051,5.732,-1.585,9.817
1618424613118,2021-04-14T20:23:33.118,2.061,5.854,-2.378,10.000
1618424613128,2021-04-14T20:23:33.128,2.071,5.793,-3.902,10.793
1618424613138,2021-04-14T20:23:33.138,2.081,7.866,-14.390,15.915
1618424613149,2021-04-14T20:23:33.149,2.092,17.378,-35.122,24.146
1618424613159,2021-04-14T20:23:33.159,2.102,27.988,-42.805,24.024
1618424613168,2021-04-14T20:23:33.168,2.111,23.841,-30.976,18.659
1618424613178,2021-04-14T20:23:33.178,2.121,18.476,-30.305,16.585
1618424613188,2021-04-14T20:23:33.188,2.131,15.488,-33.171,15.122
1618424613199,2021-04-14T20:23:33.199,2.142,12.195,-32.622,13.537
1618424613209,2021-04-14T20:23:33.209,2.152,8.963,-31.768,12.500
1618424613219,2021-04-14T20:23:33.219,2.162,6.585,-31.768,11.341
1618424613229,2021-04-14T20:23:33.229,2.172,5.488,-29.817,10.061
1618424613240,2021-04-14T20:23:33.240,2.183,5.244,-25.732,8.780
1618424613248,2021-04-14T20:23:33.248,2.191,5.244,-20.732,7.195
1618424613259,2021-04-14T20:23:33.259,2.202,5.305,-15.305,5.244
1618424613269,2021-04-14T20:23:33.269,2.212,4.512,-10.793,4.085
1618424613279,2021-04-14T20:23:33.279,2.222,4.085,-3.537,3.293
1618424613289,2021-04-14T20:23:33.289,2.232,3.110,1.037,3.598
1618424613300,2021-04-14T20:23:33.300,2.243,2.866,4.085,3.841
1618424613310,2021-04-14T20:23:33.310,2.253,3.354,6.463,3.841
1618424613319,2021-04-14T20:23:33.319,2.262,3.537,8.110,3.476
1618424613329,2021-04-14T20:23:33.329,2.272,2.805,11.159,2.805
1618424613339,2021-04-14T20:23:33.339,2.282,0.427,14.695,2.500
1618424613349,2021-04-14T20:23:33.349,2.292,-2.439,18.598,2.378
1618424613360,2021-04-14T20:23:33.360,2.303,-4.512,20.427,2.256
1618424613370,2021-04-14T20:23:33.370,2.313,-4.756,18.963,2.134
1618424613380,2021-04-14T20:23:33.380,2.323,-4.085,16.585,0.793
1618424613389,2021-04-14T20:23:33.389,2.332,-3.598,12.012,0.610
1618424613399,2021-04-14T20:23:33.399,2.342,-3.415,9.085,0.000
1618424613409,2021-04-14T20:23:33.409,2.352,-3.415,6.098,-0.427
1618424613420,2021-04-14T20:23:33.420,2.363,-3.110,2.683,-0.915
1618424613430,2021-04-14T20:23:33.430,2.373,-2.317,1.585,-1.890
1618424613440,2021-04-14T20:23:33.440,2.383,-1.768,1.524,-2.744
1618424613450,2021-04-14T20:23:33.450,2.393,-1.341,2.073,-4.024
1618424613459,2021-04-14T20:23:33.459,2.402,-0.915,2.927,-5.366
1618424613470,2021-04-14T20:23:33.470,2.413,-0.549,3.293,-6.585
1618424613480,2021-04-14T20:23:33.480,2.423,-0.122,2.988,-8.110
1618424613490,2021-04-14T20:23:33.490,2.433,0.305,2.988,-9.695
1618424613500,2021-04-14T20:23:33.500,2.443,0.671,3.354,-11.402
1618424613511,2021-04-14T20:23:33.511,2.454,0.549,4.146,-13.171
1618424613521,2021-04-14T20:23:33.521,2.464,0.000,8.780,-15.732
1618424613531,2021-04-14T20:23:33.531,2.474,-1.707,14.878,-17.927
1618424613540,2021-04-14T20:23:33.540,2.483,-3.476,18.902,-20.610
1618424613550,2021-04-14T20:23:33.550,2.493,-4.024,20.244,-23.293
1618424613560,2021-04-14T20:23:33.560,2.503,-4.024,15.488,-23.049
1618424613571,2021-04-14T20:23:33.571,2.514,-2.378,9.390,-21.159
1618424613581,2021-04-14T20:23:33.581,2.524,-4.207,4.756,-20.976
1618424613591,2021-04-14T20:23:33.591,2.534,-6.829,8.293,-18.598
