epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1618424610955,2021-04-14T20:23:30.955,0.000,-0.336,-0.900,0.352
1618424610966,2021-04-14T20:23:30.966,0.011,-0.336,-0.932,0.449
1618424610974,2021-04-14T20:23:30.974,0.019,-0.331,-0.950,0.555
1618424610985,2021-04-14T20:23:30.985,0.030,-0.326,-0.950,0.635
1618424610995,2021-04-14T20:23:30.995,0.040,-0.300,-0.947,0.701
1618424611005,2021-04-14T20:23:31.005,0.050,-0.286,-0.929,0.733
1618424611015,2021-04-14T20:23:31.015,0.060,-0.282,-0.914,0.740
1618424611026,2021-04-14T20:23:31.026,0.071,-0.271,-0.896,0.724
1618424611035,2021-04-14T20:23:31.035,0.080,-0.280,-0.870,0.683
1618424611045,2021-04-14T20:23:31.045,0.090,-0.290,-0.844,0.641
1618424611055,2021-04-14T20:23:31.055,0.100,-0.313,-0.825,0.604
1618424611065,2021-04-14T20:23:31.065,0.110,-0.323,-0.809,0.566
1618424611076,2021-04-14T20:23:31.076,0.121,-0.328,-0.808,0.540
1618424611086,2021-04-14T20:23:31.086,0.131,-0.348,-0.815,0.523
1618424611095,2021-04-14T20:23:31.095,0.140,-0.354,-0.820,0.514
1618424611105,2021-04-14T20:23:31.105,0.150,-0.349,-0.824,0.495
1618424611115,2021-04-14T20:23:31.115,0.160,-0.333,-0.817,0.465
1618424611125,2021-04-14T20:23:31.125,0.170,-0.319,-0.823,0.424
1618424611136,2021-04-14T20:23:31.136,0.181,-0.325,-0.828,0.388
1618424611144,2021-04-14T20:23:31.144,0.189,-0.342,-0.850,0.370
1618424611155,2021-04-14T20:23:31.155,0.200,-0.348,-0.882,0.356
1618424611165,2021-04-14T20:23:31.165,0.210,-0.357,-0.907,0.352
1618424611175,2021-04-14T20:23:31.175,0.220,-0.384,-0.932,0.373
1618424611185,2021-04-14T20:23:31.185,0.230,-0.399,-0.939,0.397
1618424611196,2021-04-14T20:23:31.196,0.241,-0.395,-0.922,0.408
1618424611204,2021-04-14T20:23:31.204,0.249,-0.375,-0.896,0.401
1618424611215,2021-04-14T20:23:31.215,0.260,-0.361,-0.873,0.376
1618424611225,2021-04-14T20:23:31.225,0.270,-0.358,-0.850,0.358
1618424611235,2021-04-14T20:23:31.235,0.280,-0.357,-0.848,0.365
1618424611245,2021-04-14T20:23:31.245,0.290,-0.348,-0.859,0.391
1618424611254,2021-04-14T20:23:31.254,0.299,-0.357,-0.868,0.417
1618424611264,2021-04-14T20:23:31.264,0.309,-0.351,-0.869,0.439
1618424611275,2021-04-14T20:23:31.275,0.320,-0.324,-0.874,0.445
1618424611285,2021-04-14T20:23:31.285,0.330,-0.299,-0.890,0.451
1618424611295,2021-04-14T20:23:31.295,0.340,-0.272,-0.919,0.466
1618424611306,2021-04-14T20:23:31.306,0.351,-0.261,-0.949,0.486
1618424611314,2021-04-14T20:23:31.314,0.359,-0.259,-0.972,0.521
1618424611325,2021-04-14T20:23:31.325,0.370,-0.273,-0.990,0.558
1618424611335,2021-04-14T20:23:31.335,0.380,-0.280,-0.990,0.590
1618424611345,2021-04-14T20:23:31.345,0.390,-0.267,-0.981,0.609
1618424611355,2021-04-14T20:23:31.355,0.400,-0.247,-0.958,0.599
1618424611366,2021-04-14T20:23:31.366,0.411,-0.219,-0.927,0.565
1618424611374,2021-04-14T20:23:31.374,0.419,-0.164,-0.890,0.525
1618424611385,2021-04-14T20:23:31.385,0.430,-0.080,-0.859,0.480
1618424611395,2021-04-14T20:23:31.395,0.440,0.039,-0.823,0.434
1618424611405,2021-04-14T20:23:31.405,0.450,0.145,-0.801,0.402
1618424611415,2021-04-14T20:23:31.415,0.460,0.194,-0.790,0.386
1618424611424,2021-04-14T20:23:31.424,0.469,0.208,-0.786,0.396
1618424611434,2021-04-14T20:23:31.434,0.479,0.167,-0.787,0.424
1618424611445,2021-04-14T20:23:31.445,0.490,0.116,-0.791,0.440
1618424611455,2021-04-14T20:23:31.455,0.500,0.086,-0.792,0.430
1618424611465,2021-04-14T20:23:31.465,0.510,0.069,-0.791,0.389
