epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1618424610985,2021-04-14T20:23:30.985,0.000,-12.744,20.488,-16.707
1618424610995,2021-04-14T20:23:30.995,0.010,-12.805,20.488,-16.585
1618424611005,2021-04-14T20:23:31.005,0.020,-12.378,20.915,-15.610
1618424611015,2021-04-14T20:23:31.015,0.030,-12.622,21.463,-14.817
1618424611026,2021-04-14T20:23:31.026,0.041,-13.354,22.500,-13.841
1618424611035,2021-04-14T20:23:31.035,0.050,-14.390,22.744,-13.232
1618424611045,2021-04-14T20:23:31.045,0.060,-15.305,22.195,-12.561
1618424611055,2021-04-14T20:23:31.055,0.070,-16.402,20.549,-12.439
1618424611065,2021-04-14T20:23:31.065,0.080,-17.744,17.683,-12.439
1618424611076,2021-04-14T20:23:31.076,0.091,-19.085,13.720,-12.805
1618424611086,2021-04-14T20:23:31.086,0.101,-19.817,9.024,-13.902
1618424611095,2021-04-14T20:23:31.095,0.110,-20.305,3.841,-15.061
1618424611105,2021-04-14T20:23:31.105,0.120,-20.732,-0.183,-16.463
1618424611115,2021-04-14T20:23:31.115,0.130,-21.159,-1.890,-18.720
1618424611125,2021-04-14T20:23:31.125,0.140,-22.317,-3.354,-20.488
1618424611136,2021-04-14T20:23:31.136,0.151,-22.561,-3.841,-21.829
1618424611144,2021-04-14T20:23:31.144,0.159,-22.805,-4.878,-23.476
1618424611155,2021-04-14T20:23:31.155,0.170,-23.049,-7.683,-25.061
1618424611165,2021-04-14T20:23:31.165,0.180,-23.110,-10.366,-26.646
1618424611175,2021-04-14T20:23:31.175,0.190,-22.866,-13.049,-27.683
1618424611185,2021-04-14T20:23:31.185,0.200,-22.256,-15.427,-27.500
1618424611196,2021-04-14T20:23:31.196,0.211,-21.463,-17.622,-26.220
1618424611204,2021-04-14T20:23:31.204,0.219,-20.366,-19.573,-23.780
1618424611215,2021-04-14T20:23:31.215,0.230,-19.390,-22.744,-20.366
1618424611225,2021-04-14T20:23:31.225,0.240,-18.415,-28.110,-16.524
1618424611235,2021-04-14T20:23:31.235,0.250,-17.744,-35.366,-12.500
1618424611245,2021-04-14T20:23:31.245,0.260,-17.012,-42.805,-8.232
1618424611256,2021-04-14T20:23:31.256,0.271,-15.915,-50.244,-3.780
1618424611264,2021-04-14T20:23:31.264,0.279,-14.512,-56.524,0.915
1618424611275,2021-04-14T20:23:31.275,0.290,-12.683,-60.610,5.488
1618424611285,2021-04-14T20:23:31.285,0.300,-10.122,-64.024,9.878
1618424611295,2021-04-14T20:23:31.295,0.310,-6.402,-66.585,14.146
1618424611306,2021-04-14T20:23:31.306,0.321,-1.159,-67.500,18.354
1618424611314,2021-04-14T20:23:31.314,0.329,5.366,-67.195,22.439
1618424611325,2021-04-14T20:23:31.325,0.340,12.622,-66.646,26.159
1618424611335,2021-04-14T20:23:31.335,0.350,20.244,-65.976,30.244
1618424611345,2021-04-14T20:23:31.345,0.360,27.439,-65.488,34.573
1618424611355,2021-04-14T20:23:31.355,0.370,33.293,-63.780,39.146
1618424611366,2021-04-14T20:23:31.366,0.381,37.683,-61.646,43.780
1618424611374,2021-04-14T20:23:31.374,0.389,40.427,-60.183,47.927
1618424611385,2021-04-14T20:23:31.385,0.400,41.646,-58.720,51.159
1618424611395,2021-04-14T20:23:31.395,0.410,42.073,-55.427,53.232
1618424611405,2021-04-14T20:23:31.405,0.420,41.951,-50.244,53.232
1618424611415,2021-04-14T20:23:31.415,0.430,41.402,-44.878,51.341
1618424611426,2021-04-14T20:23:31.426,0.441,40.427,-40.244,48.415
1618424611434,2021-04-14T20:23:31.434,0.449,39.146,-35.549,45.976
1618424611445,2021-04-14T20:23:31.445,0.460,37.134,-31.341,43.841
1618424611455,2021-04-14T20:23:31.455,0.470,34.085,-28.049,41.707
1618424611465,2021-04-14T20:23:31.465,0.480,30.122,-24.878,39.085
1618424611475,2021-04-14T20:23:31.475,0.490,25.427,-21.280,36.341
1618424611484,2021-04-14T20:23:31.484,0.499,20.366,-19.146,33.171
1618424611494,2021-04-14T20:23:31.494,0.509,14.329,-17.988,29.573
1618424611505,2021-04-14T20:23:31.505,0.520,9.024,-17.439,26.220
1618424611515,2021-04-14T20:23:31.515,0.530,5.244,-17.195,23.841
1618424611525,2021-04-14T20:23:31.525,0.540,2.744,-16.341,22.378
1618424611535,2021-04-14T20:23:31.535,0.550,1.524,-13.841,21.098
1618424611544,2021-04-14T20:23:31.544,0.559,1.646,-10.427,19.573
1618424611555,2021-04-14T20:23:31.555,0.570,2.866,-7.134,17.561
1618424611565,2021-04-14T20:23:31.565,0.580,4.695,-4.390,14.878
1618424611575,2021-04-14T20:23:31.575,0.590,6.585,-0.915,11.098
1618424611585,2021-04-14T20:23:31.585,0.600,7.622,3.720,6.646
1618424611596,2021-04-14T20:23:31.596,0.611,7.805,9.207,1.707
1618424611604,2021-04-14T20:23:31.604,0.619,6.829,14.878,-3.780
1618424611615,2021-04-14T20:23:31.615,0.630,4.634,21.037,-9.329
1618424611625,2021-04-14T20:23:31.625,0.640,1.585,27.561,-14.756
1618424611635,2021-04-14T20:23:31.635,0.650,-2.073,33.963,-20.000
1618424611645,2021-04-14T20:23:31.645,0.660,-5.915,40.427,-25.183
1618424611654,2021-04-14T20:23:31.654,0.669,-9.695,47.683,-29.390
1618424611664,2021-04-14T20:23:31.664,0.679,-12.866,52.927,-32.866
1618424611675,2021-04-14T20:23:31.675,0.690,-16.098,55.305,-35.549
1618424611685,2021-04-14T20:23:31.685,0.700,-19.024,56.707,-37.012
1618424611695,2021-04-14T20:23:31.695,0.710,-21.646,57.012,-37.439
1618424611705,2021-04-14T20:23:31.705,0.720,-24.390,56.280,-37.195
1618424611714,2021-04-14T20:23:31.714,0.729,-27.073,54.817,-36.341
1618424611724,2021-04-14T20:23:31.724,0.739,-29.512,52.622,-35.305
1618424611735,2021-04-14T20:23:31.735,0.750,-31.707,49.756,-34.451
1618424611745,2021-04-14T20:23:31.745,0.760,-33.354,45.976,-33.720
1618424611755,2021-04-14T20:23:31.755,0.770,-34.146,41.585,-33.476
1618424611764,2021-04-14T20:23:31.764,0.779,-33.598,37.256,-33.293
1618424611774,2021-04-14T20:23:31.774,0.789,-31.707,33.476,-32.927
1618424611785,2021-04-14T20:23:31.785,0.800,-28.780,31.646,-32.195
1618424611795,2021-04-14T20:23:31.795,0.810,-25.732,31.341,-30.854
1618424611805,2021-04-14T20:23:31.805,0.820,-23.110,30.000,-29.939
1618424611815,2021-04-14T20:23:31.815,0.830,-21.280,30.061,-28.902
1618424611824,2021-04-14T20:23:31.824,0.839,-21.098,31.707,-28.110
1618424611834,2021-04-14T20:23:31.834,0.849,-22.134,32.378,-27.744
1618424611845,2021-04-14T20:23:31.845,0.860,-23.963,32.256,-27.134
1618424611855,2021-04-14T20:23:31.855,0.870,-26.463,31.402,-26.829
1618424611865,2021-04-14T20:23:31.865,0.880,-29.634,28.659,-27.012
1618424611875,2021-04-14T20:23:31.875,0.890,-33.110,24.146,-27.683
1618424611884,2021-04-14T20:23:31.884,0.899,-36.341,19.024,-28.293
1618424611894,2021-04-14T20:23:31.894,0.909,-38.720,15.732,-27.500
1618424611905,2021-04-14T20:23:31.905,0.920,-40.549,15.122,-25.427
1618424611915,2021-04-14T20:23:31.915,0.930,-41.890,15.915,-22.073
1618424611925,2021-04-14T20:23:31.925,0.940,-42.927,16.707,-17.805
1618424611934,2021-04-14T20:23:31.934,0.949,-43.841,15.732,-13.110
1618424611944,2021-04-14T20:23:31.944,0.959,-44.512,12.561,-8.720
1618424611954,2021-04-14T20:23:31.954,0.969,-44.329,7.683,-5.000
1618424611965,2021-04-14T20:23:31.965,0.980,-43.232,1.280,-2.195
