epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1619356961746,2021-04-25T15.22.41.746,0.000,19.024,16.524,-33.841
1619356961756,2021-04-25T15.22.41.756,0.010,18.963,17.012,-33.232
1619356961766,2021-04-25T15.22.41.766,0.020,18.049,18.720,-32.012
1619356961776,2021-04-25T15.22.41.776,0.030,17.073,18.537,-28.963
1619356961786,2021-04-25T15.22.41.786,0.040,17.195,19.512,-25.671
1619356961796,2021-04-25T15.22.41.796,0.050,17.317,21.707,-22.988
1619356961806,2021-04-25T15.22.41.806,0.060,16.707,25.000,-20.854
1619356961816,2021-04-25T15.22.41.816,0.070,17.378,30.549,-19.085
1619356961826,2021-04-25T15.22.41.826,0.080,18.841,35.854,-17.927
1619356961836,2021-04-25T15.22.41.836,0.090,21.280,40.366,-17.256
1619356961846,2021-04-25T15.22.41.846,0.100,26.585,43.841,-16.890
1619356961856,2021-04-25T15.22.41.856,0.110,30.366,41.707,-15.427
1619356961866,2021-04-25T15.22.41.866,0.120,31.220,32.622,-15.366
1619356961876,2021-04-25T15.22.41.876,0.130,31.585,22.439,-16.159
1619356961886,2021-04-25T15.22.41.886,0.140,30.915,12.561,-16.098
1619356961896,2021-04-25T15.22.41.896,0.150,30.244,1.463,-16.280
1619356961906,2021-04-25T15.22.41.906,0.160,30.427,-5.305,-19.390
1619356961916,2021-04-25T15.22.41.916,0.170,29.878,-9.451,-22.622
1619356961926,2021-04-25T15.22.41.926,0.180,27.317,-17.561,-25.061
1619356961936,2021-04-25T15.22.41.936,0.190,25.549,-26.524,-27.622
1619356961946,2021-04-25T15.22.41.946,0.200,25.610,-30.061,-29.451
1619356961956,2021-04-25T15.22.41.956,0.210,25.915,-28.841,-30.915
1619356961966,2021-04-25T15.22.41.966,0.220,26.402,-28.232,-32.500
1619356961976,2021-04-25T15.22.41.976,0.230,27.866,-28.963,-32.805
1619356961986,2021-04-25T15.22.41.986,0.240,29.451,-30.854,-32.866
1619356961996,2021-04-25T15.22.41.996,0.250,30.610,-33.598,-32.683
1619356962006,2021-04-25T15.22.42.006,0.260,31.463,-34.817,-32.561
1619356962016,2021-04-25T15.22.42.016,0.270,31.463,-34.390,-32.683
1619356962026,2021-04-25T15.22.42.026,0.280,30.976,-33.963,-32.988
1619356962036,2021-04-25T15.22.42.036,0.290,30.122,-35.000,-32.927
1619356962046,2021-04-25T15.22.42.046,0.300,27.622,-37.134,-32.317
1619356962056,2021-04-25T15.22.42.056,0.310,24.878,-39.207,-31.585
1619356962066,2021-04-25T15.22.42.066,0.320,22.500,-39.268,-30.061
1619356962076,2021-04-25T15.22.42.076,0.330,20.732,-36.463,-27.378
1619356962086,2021-04-25T15.22.42.086,0.340,18.232,-33.415,-24.024
1619356962096,2021-04-25T15.22.42.096,0.350,15.793,-27.073,-20.000
1619356962106,2021-04-25T15.22.42.106,0.360,14.207,-19.817,-18.171
1619356962116,2021-04-25T15.22.42.116,0.370,10.976,-22.683,-16.159
1619356962126,2021-04-25T15.22.42.126,0.380,7.744,-28.963,-14.207
1619356962136,2021-04-25T15.22.42.136,0.390,5.427,-36.646,-12.500
1619356962146,2021-04-25T15.22.42.146,0.400,2.744,-46.098,-10.244
1619356962156,2021-04-25T15.22.42.156,0.410,-0.061,-54.695,-7.927
1619356962166,2021-04-25T15.22.42.166,0.420,-2.805,-59.207,-5.671
1619356962176,2021-04-25T15.22.42.176,0.430,-4.634,-58.537,-3.232
1619356962186,2021-04-25T15.22.42.186,0.440,-5.732,-55.671,-0.305
1619356962196,2021-04-25T15.22.42.196,0.450,-5.793,-48.963,3.110
1619356962206,2021-04-25T15.22.42.206,0.460,-5.366,-39.939,5.488
1619356962216,2021-04-25T15.22.42.216,0.470,-5.671,-32.317,5.976
1619356962226,2021-04-25T15.22.42.226,0.480,-6.524,-23.110,2.378
1619356962236,2021-04-25T15.22.42.236,0.490,-5.671,-6.524,-7.622
1619356962246,2021-04-25T15.22.42.246,0.500,-3.049,10.488,-20.610
1619356962256,2021-04-25T15.22.42.256,0.510,-3.963,12.866,-27.683
1619356962266,2021-04-25T15.22.42.266,0.520,-8.476,1.524,-26.402
1619356962276,2021-04-25T15.22.42.276,0.530,-10.732,-6.037,-22.012
1619356962286,2021-04-25T15.22.42.286,0.540,-9.878,-0.976,-18.537
1619356962296,2021-04-25T15.22.42.296,0.550,-9.634,7.256,-14.390
1619356962306,2021-04-25T15.22.42.306,0.560,-11.646,11.707,-10.061
1619356962316,2021-04-25T15.22.42.316,0.570,-13.720,14.634,-6.890
1619356962326,2021-04-25T15.22.42.326,0.580,-15.427,16.280,-5.000
1619356962336,2021-04-25T15.22.42.336,0.590,-16.890,15.976,-4.939
1619356962346,2021-04-25T15.22.42.346,0.600,-18.598,12.622,-6.098
1619356962356,2021-04-25T15.22.42.356,0.610,-20.183,5.549,-6.646
1619356962366,2021-04-25T15.22.42.366,0.620,-18.415,-2.073,-5.732
1619356962376,2021-04-25T15.22.42.376,0.630,-18.476,-13.232,-4.512
1619356962386,2021-04-25T15.22.42.386,0.640,-23.720,-27.195,-2.622
1619356962396,2021-04-25T15.22.42.396,0.650,-27.073,-32.805,-0.610
1619356962406,2021-04-25T15.22.42.406,0.660,-27.561,-30.427,-0.244
1619356962416,2021-04-25T15.22.42.416,0.670,-29.207,-24.756,-0.854
1619356962426,2021-04-25T15.22.42.426,0.680,-30.427,-16.098,-2.073
1619356962436,2021-04-25T15.22.42.436,0.690,-30.793,-9.512,-3.902
1619356962446,2021-04-25T15.22.42.446,0.700,-32.256,-7.439,-5.976
1619356962456,2021-04-25T15.22.42.456,0.710,-34.146,-8.110,-7.256
1619356962466,2021-04-25T15.22.42.466,0.720,-34.939,-8.659,-7.805
1619356962476,2021-04-25T15.22.42.476,0.730,-34.390,-8.537,-7.866
1619356962486,2021-04-25T15.22.42.486,0.740,-33.598,-6.585,-8.293
1619356962496,2021-04-25T15.22.42.496,0.750,-33.720,-3.598,-9.756
1619356962506,2021-04-25T15.22.42.506,0.760,-35.000,0.366,-11.646
1619356962516,2021-04-25T15.22.42.516,0.770,-38.598,4.390,-14.146
1619356962526,2021-04-25T15.22.42.526,0.780,-43.720,12.988,-17.683
1619356962536,2021-04-25T15.22.42.536,0.790,-46.707,27.134,-21.037
1619356962546,2021-04-25T15.22.42.546,0.800,-49.573,42.439,-26.159
1619356962556,2021-04-25T15.22.42.556,0.810,-52.378,56.768,-33.902
1619356962566,2021-04-25T15.22.42.566,0.820,-53.354,65.915,-40.793
1619356962576,2021-04-25T15.22.42.576,0.830,-56.098,70.183,-47.622
