epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1619356961093,2021-04-25T15.22.41.093,0.000,-0.503,-1.222,-0.059
1619356961103,2021-04-25T15.22.41.103,0.010,-0.268,-1.047,0.015
1619356961113,2021-04-25T15.22.41.113,0.020,-0.197,-0.878,0.007
1619356961123,2021-04-25T15.22.41.123,0.030,-0.137,-0.823,-0.023
1619356961133,2021-04-25T15.22.41.133,0.040,-0.097,-0.871,-0.097
1619356961143,2021-04-25T15.22.41.143,0.050,-0.111,-0.972,-0.153
1619356961153,2021-04-25T15.22.41.153,0.060,-0.070,-1.054,-0.146
1619356961163,2021-04-25T15.22.41.163,0.070,-0.025,-1.086,-0.137
1619356961173,2021-04-25T15.22.41.173,0.080,-0.023,-1.070,-0.217
1619356961183,2021-04-25T15.22.41.183,0.090,-0.002,-1.027,-0.174
1619356961193,2021-04-25T15.22.41.193,0.100,0.000,-0.976,-0.088
1619356961203,2021-04-25T15.22.41.203,0.110,-0.045,-0.996,-0.034
1619356961213,2021-04-25T15.22.41.213,0.120,-0.113,-1.015,-0.011
1619356961223,2021-04-25T15.22.41.223,0.130,-0.122,-1.041,0.036
1619356961233,2021-04-25T15.22.41.233,0.140,-0.160,-1.030,0.122
1619356961243,2021-04-25T15.22.41.243,0.150,-0.188,-1.040,0.095
1619356961253,2021-04-25T15.22.41.253,0.160,-0.184,-1.021,0.101
1619356961263,2021-04-25T15.22.41.263,0.170,-0.151,-0.999,0.099
1619356961273,2021-04-25T15.22.41.273,0.180,-0.134,-0.983,0.099
1619356961283,2021-04-25T15.22.41.283,0.190,-0.099,-0.988,0.035
1619356961293,2021-04-25T15.22.41.293,0.200,-0.068,-0.967,-0.041
1619356961303,2021-04-25T15.22.41.303,0.210,-0.003,-0.996,-0.047
1619356961313,2021-04-25T15.22.41.313,0.220,0.006,-0.991,-0.044
1619356961323,2021-04-25T15.22.41.323,0.230,-0.033,-0.989,-0.033
1619356961333,2021-04-25T15.22.41.333,0.240,0.007,-0.980,-0.026
1619356961343,2021-04-25T15.22.41.343,0.250,-0.002,-0.983,0.019
1619356961353,2021-04-25T15.22.41.353,0.260,-0.122,-1.031,0.016
1619356961363,2021-04-25T15.22.41.363,0.270,-0.179,-1.058,0.089
1619356961373,2021-04-25T15.22.41.373,0.280,-0.205,-1.055,0.136
1619356961383,2021-04-25T15.22.41.383,0.290,-0.225,-1.052,0.158
1619356961393,2021-04-25T15.22.41.393,0.300,-0.215,-1.047,0.185
1619356961403,2021-04-25T15.22.41.403,0.310,-0.166,-1.042,0.165
1619356961413,2021-04-25T15.22.41.413,0.320,-0.128,-1.053,0.205
1619356961423,2021-04-25T15.22.41.423,0.330,-0.076,-1.042,0.223
1619356961433,2021-04-25T15.22.41.433,0.340,-0.046,-1.036,0.192
1619356961443,2021-04-25T15.22.41.443,0.350,-0.020,-1.039,0.138
1619356961453,2021-04-25T15.22.41.453,0.360,0.027,-1.017,0.087
1619356961463,2021-04-25T15.22.41.463,0.370,0.003,-0.996,0.008
1619356961473,2021-04-25T15.22.41.473,0.380,0.055,-1.000,0.019
1619356961483,2021-04-25T15.22.41.483,0.390,0.039,-0.997,0.021
1619356961493,2021-04-25T15.22.41.493,0.400,0.028,-0.974,0.041
1619356961503,2021-04-25T15.22.41.503,0.410,0.012,-0.980,0.081
1619356961513,2021-04-25T15.22.41.513,0.420,-0.022,-1.009,0.092
1619356961523,2021-04-25T15.22.41.523,0.430,-0.036,-1.009,0.102
