epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1619282024635,2021-04-24T18.33.44.635,0.000,1.524,2.622,3.232
1619282024645,2021-04-24T18.33.44.645,0.010,1.463,2.683,3.537
1619282024655,2021-04-24T18.33.44.655,0.020,1.402,2.622,3.780
1619282024665,2021-04-24T18.33.44.665,0.030,1.402,1.951,3.780
1619282024675,2021-04-24T18.33.44.675,0.040,1.524,1.402,3.841
1619282024685,2021-04-24T18.33.44.685,0.050,1.585,1.402,3.841
1619282024695,2021-04-24T18.33.44.695,0.060,1.463,0.976,3.902
1619282024705,2021-04-24T18.33.44.705,0.070,1.463,0.854,4.085
1619282024715,2021-04-24T18.33.44.715,0.080,1.585,0.793,4.146
1619282024725,2021-04-24T18.33.44.725,0.090,1.646,0.915,4.085
1619282024735,2021-04-24T18.33.44.735,0.100,1.768,0.854,3.841
1619282024745,2021-04-24T18.33.44.745,0.110,2.012,0.549,3.476
1619282024755,2021-04-24T18.33.44.755,0.120,1.829,0.122,2.927
1619282024765,2021-04-24T18.33.44.765,0.130,1.341,-0.366,2.317
1619282024775,2021-04-24T18.33.44.775,0.140,0.793,-0.671,1.524
1619282024785,2021-04-24T18.33.44.785,0.150,0.427,-0.671,1.037
1619282024795,2021-04-24T18.33.44.795,0.160,0.305,-0.488,0.793
1619282024805,2021-04-24T18.33.44.805,0.170,0.366,-0.244,0.549
1619282024815,2021-04-24T18.33.44.815,0.180,0.366,0.000,0.549
1619282024825,2021-04-24T18.33.44.825,0.190,0.427,0.366,0.671
1619282024835,2021-04-24T18.33.44.835,0.200,0.427,0.305,0.732
1619282024845,2021-04-24T18.33.44.845,0.210,0.244,-0.244,0.854
1619282024855,2021-04-24T18.33.44.855,0.220,0.122,-0.793,0.793
1619282024865,2021-04-24T18.33.44.865,0.230,0.000,-1.280,0.793
1619282024875,2021-04-24T18.33.44.875,0.240,0.244,-1.524,0.976
1619282024885,2021-04-24T18.33.44.885,0.250,0.427,-1.098,1.037
1619282024895,2021-04-24T18.33.44.895,0.260,0.732,-0.427,1.098
1619282024905,2021-04-24T18.33.44.905,0.270,1.098,0.854,1.280
1619282024915,2021-04-24T18.33.44.915,0.280,1.646,2.256,1.402
1619282024925,2021-04-24T18.33.44.925,0.290,2.378,3.232,1.402
1619282024935,2021-04-24T18.33.44.935,0.300,2.805,3.659,1.159
1619282024945,2021-04-24T18.33.44.945,0.310,2.988,3.659,0.915
1619282024955,2021-04-24T18.33.44.955,0.320,3.171,3.293,1.037
1619282024965,2021-04-24T18.33.44.965,0.330,3.110,3.293,1.280
1619282024975,2021-04-24T18.33.44.975,0.340,3.293,3.476,1.402
1619282024985,2021-04-24T18.33.44.985,0.350,3.476,3.841,1.402
1619282024995,2021-04-24T18.33.44.995,0.360,3.659,3.780,1.341
1619282025005,2021-04-24T18.33.45.005,0.370,3.720,3.354,1.220
1619282025015,2021-04-24T18.33.45.015,0.380,3.476,2.866,0.976
1619282025025,2021-04-24T18.33.45.025,0.390,3.293,2.378,0.976
1619282025035,2021-04-24T18.33.45.035,0.400,3.049,1.707,0.976
1619282025045,2021-04-24T18.33.45.045,0.410,2.805,1.220,1.098
1619282025055,2021-04-24T18.33.45.055,0.420,2.561,1.220,1.341
1619282025065,2021-04-24T18.33.45.065,0.430,2.500,1.585,1.585
1619282025075,2021-04-24T18.33.45.075,0.440,2.378,2.256,1.890
1619282025085,2021-04-24T18.33.45.085,0.450,2.256,2.622,2.195
1619282025095,2021-04-24T18.33.45.095,0.460,2.317,2.622,2.256
1619282025105,2021-04-24T18.33.45.105,0.470,2.256,2.561,2.134
1619282025115,2021-04-24T18.33.45.115,0.480,2.134,2.256,1.890
1619282025125,2021-04-24T18.33.45.125,0.490,1.890,2.195,1.707
1619282025135,2021-04-24T18.33.45.135,0.500,1.768,2.378,1.524
1619282025145,2021-04-24T18.33.45.145,0.510,1.768,2.500,1.402
1619282025155,2021-04-24T18.33.45.155,0.520,1.768,2.744,1.341
1619282025165,2021-04-24T18.33.45.165,0.530,1.890,3.232,1.463
1619282025175,2021-04-24T18.33.45.175,0.540,2.317,3.659,1.646
1619282025185,2021-04-24T18.33.45.185,0.550,2.683,3.841,1.768
1619282025195,2021-04-24T18.33.45.195,0.560,2.744,3.841,1.768
1619282025205,2021-04-24T18.33.45.205,0.570,2.744,3.598,1.768
1619282025215,2021-04-24T18.33.45.215,0.580,2.744,2.927,1.768
1619282025225,2021-04-24T18.33.45.225,0.590,2.744,2.195,1.768
1619282025235,2021-04-24T18.33.45.235,0.600,2.500,1.951,1.890
1619282025245,2021-04-24T18.33.45.245,0.610,2.317,2.317,2.012
1619282025255,2021-04-24T18.33.45.255,0.620,2.073,2.500,1.951
1619282025265,2021-04-24T18.33.45.265,0.630,1.768,2.317,2.012
1619282025275,2021-04-24T18.33.45.275,0.640,1.463,2.073,2.012
1619282025285,2021-04-24T18.33.45.285,0.650,1.280,1.463,1.951
1619282025295,2021-04-24T18.33.45.295,0.660,1.159,0.915,1.768
1619282025305,2021-04-24T18.33.45.305,0.670,1.220,0.427,1.646
1619282025315,2021-04-24T18.33.45.315,0.680,1.280,0.488,1.463
1619282025325,2021-04-24T18.33.45.325,0.690,1.341,0.732,1.402
1619282025335,2021-04-24T18.33.45.335,0.700,1.098,0.976,1.341
1619282025345,2021-04-24T18.33.45.345,0.710,0.976,0.976,1.524
1619282025355,2021-04-24T18.33.45.355,0.720,0.793,0.671,1.707
1619282025365,2021-04-24T18.33.45.365,0.730,0.732,0.244,2.012
1619282025375,2021-04-24T18.33.45.375,0.740,0.854,-0.122,2.256
1619282025385,2021-04-24T18.33.45.385,0.750,0.976,0.000,2.439
1619282025395,2021-04-24T18.33.45.395,0.760,0.976,0.061,2.439
1619282025405,2021-04-24T18.33.45.405,0.770,0.854,0.061,2.256
1619282025415,2021-04-24T18.33.45.415,0.780,0.854,0.305,2.317
1619282025425,2021-04-24T18.33.45.425,0.790,1.037,0.732,2.256
1619282025435,2021-04-24T18.33.45.435,0.800,1.098,1.037,2.012
1619282025445,2021-04-24T18.33.45.445,0.810,1.037,1.463,1.707
1619282025455,2021-04-24T18.33.45.455,0.820,1.037,1.768,1.463
1619282025465,2021-04-24T18.33.45.465,0.830,1.098,1.768,1.280
1619282025475,2021-04-24T18.33.45.475,0.840,1.098,1.585,1.098
1619282025485,2021-04-24T18.33.45.485,0.850,1.037,1.280,0.793
