epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1621096131451,2021-05-15T18.28.51.451,0.000,-0.061,-2.195,0.000
1621096131461,2021-05-15T18.28.51.461,0.010,-0.122,-2.500,0.244
1621096131471,2021-05-15T18.28.51.471,0.020,0.488,-2.378,0.305
1621096131481,2021-05-15T18.28.51.481,0.030,0.854,-2.073,0.366
1621096131491,2021-05-15T18.28.51.491,0.040,1.098,-1.037,0.244
1621096131501,2021-05-15T18.28.51.501,0.050,1.280,-0.366,-0.122
1621096131511,2021-05-15T18.28.51.511,0.060,0.976,-0.671,-0.366
1621096131521,2021-05-15T18.28.51.521,0.070,0.610,-0.793,-0.671
1621096131531,2021-05-15T18.28.51.531,0.080,0.183,-0.427,-0.793
1621096131541,2021-05-15T18.28.51.541,0.090,-0.244,-1.098,-0.732
1621096131551,2021-05-15T18.28.51.551,0.100,-0.305,-2.134,-0.915
1621096131561,2021-05-15T18.28.51.561,0.110,-0.488,-2.500,-0.976
1621096131571,2021-05-15T18.28.51.571,0.120,-0.732,-2.256,-1.098
1621096131581,2021-05-15T18.28.51.581,0.130,-0.976,-1.829,-1.463
1621096131591,2021-05-15T18.28.51.591,0.140,-1.341,-1.585,-1.585
1621096131601,2021-05-15T18.28.51.601,0.150,-1.646,-1.524,-1.463
1621096131611,2021-05-15T18.28.51.611,0.160,-2.378,-1.037,-1.341
1621096131621,2021-05-15T18.28.51.621,0.170,-3.171,-1.098,-1.524
1621096131631,2021-05-15T18.28.51.631,0.180,-3.841,-2.012,-1.402
1621096131641,2021-05-15T18.28.51.641,0.190,-4.390,-2.988,-1.037
1621096131651,2021-05-15T18.28.51.651,0.200,-4.573,-3.902,-0.671
1621096131661,2021-05-15T18.28.51.661,0.210,-5.122,-3.354,-0.488
1621096131671,2021-05-15T18.28.51.671,0.220,-5.915,-1.890,-0.793
1621096131681,2021-05-15T18.28.51.681,0.230,-6.768,-1.524,-0.793
1621096131691,2021-05-15T18.28.51.691,0.240,-7.134,-1.098,-1.098
1621096131701,2021-05-15T18.28.51.701,0.250,-7.866,0.183,-1.463
1621096131711,2021-05-15T18.28.51.711,0.260,-9.085,0.671,-1.829
1621096131721,2021-05-15T18.28.51.721,0.270,-9.329,1.159,-2.317
1621096131731,2021-05-15T18.28.51.731,0.280,-9.085,0.976,-2.744
1621096131741,2021-05-15T18.28.51.741,0.290,-9.146,0.793,-2.683
1621096131751,2021-05-15T18.28.51.751,0.300,-9.695,1.646,-2.378
1621096131761,2021-05-15T18.28.51.761,0.310,-10.061,2.256,-2.256
1621096131771,2021-05-15T18.28.51.771,0.320,-9.451,1.463,-2.256
1621096131781,2021-05-15T18.28.51.781,0.330,-8.780,0.732,-2.012
1621096131791,2021-05-15T18.28.51.791,0.340,-7.622,1.159,-1.524
1621096131801,2021-05-15T18.28.51.801,0.350,-5.976,1.707,-1.524
1621096131811,2021-05-15T18.28.51.811,0.360,-4.207,1.829,-2.073
1621096131821,2021-05-15T18.28.51.821,0.370,-2.744,2.439,-2.927
1621096131831,2021-05-15T18.28.51.831,0.380,-1.646,3.720,-3.354
1621096131841,2021-05-15T18.28.51.841,0.390,-0.671,3.902,-3.659
1621096131851,2021-05-15T18.28.51.851,0.400,0.305,3.415,-3.598
1621096131861,2021-05-15T18.28.51.861,0.410,1.037,3.232,-3.293
1621096131871,2021-05-15T18.28.51.871,0.420,1.463,2.622,-2.927
1621096131881,2021-05-15T18.28.51.881,0.430,1.829,1.951,-2.561
1621096131891,2021-05-15T18.28.51.891,0.440,1.829,1.402,-2.317
1621096131901,2021-05-15T18.28.51.901,0.450,1.524,0.488,-1.829
1621096131911,2021-05-15T18.28.51.911,0.460,1.098,-0.366,-1.280
1621096131921,2021-05-15T18.28.51.921,0.470,0.610,-1.159,-0.427
1621096131931,2021-05-15T18.28.51.931,0.480,0.183,-1.646,0.122
1621096131941,2021-05-15T18.28.51.941,0.490,-0.488,-1.402,0.671
1621096131951,2021-05-15T18.28.51.951,0.500,-1.280,-1.768,1.402
1621096131961,2021-05-15T18.28.51.961,0.510,-2.073,-2.012,2.439
1621096131971,2021-05-15T18.28.51.971,0.520,-2.195,-2.134,2.927
1621096131981,2021-05-15T18.28.51.981,0.530,-2.195,-2.012,3.171
1621096131991,2021-05-15T18.28.51.991,0.540,-1.707,-2.195,2.866
