epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1621171728792,2021-05-16T15.28.48.792,0.000,-0.150,-0.275,0.989
1621171728802,2021-05-16T15.28.48.802,0.010,-0.152,-0.276,1.001
1621171728812,2021-05-16T15.28.48.812,0.020,-0.147,-0.270,0.993
1621171728822,2021-05-16T15.28.48.822,0.030,-0.146,-0.269,0.994
1621171728832,2021-05-16T15.28.48.832,0.040,-0.144,-0.268,0.994
1621171728842,2021-05-16T15.28.48.842,0.050,-0.141,-0.269,1.000
1621171728852,2021-05-16T15.28.48.852,0.060,-0.126,-0.272,1.002
1621171728862,2021-05-16T15.28.48.862,0.070,-0.115,-0.277,1.003
1621171728872,2021-05-16T15.28.48.872,0.080,-0.119,-0.275,0.996
1621171728882,2021-05-16T15.28.48.882,0.090,-0.114,-0.273,0.980
1621171728892,2021-05-16T15.28.48.892,0.100,-0.128,-0.277,0.979
1621171728902,2021-05-16T15.28.48.902,0.110,-0.133,-0.276,0.975
1621171728912,2021-05-16T15.28.48.912,0.120,-0.126,-0.276,0.970
1621171728922,2021-05-16T15.28.48.922,0.130,-0.119,-0.272,0.971
1621171728932,2021-05-16T15.28.48.932,0.140,-0.120,-0.275,0.965
1621171728942,2021-05-16T15.28.48.942,0.150,-0.118,-0.276,0.969
1621171728952,2021-05-16T15.28.48.952,0.160,-0.108,-0.278,0.972
1621171728962,2021-05-16T15.28.48.962,0.170,-0.111,-0.278,0.974
1621171728972,2021-05-16T15.28.48.972,0.180,-0.128,-0.278,0.969
1621171728982,2021-05-16T15.28.48.982,0.190,-0.126,-0.276,0.972
1621171728992,2021-05-16T15.28.48.992,0.200,-0.123,-0.276,0.976
1621171729002,2021-05-16T15.28.49.002,0.210,-0.135,-0.280,0.977
1621171729012,2021-05-16T15.28.49.012,0.220,-0.137,-0.281,0.976
1621171729022,2021-05-16T15.28.49.022,0.230,-0.134,-0.281,0.972
1621171729032,2021-05-16T15.28.49.032,0.240,-0.132,-0.282,0.966
1621171729042,2021-05-16T15.28.49.042,0.250,-0.131,-0.279,0.961
1621171729052,2021-05-16T15.28.49.052,0.260,-0.125,-0.279,0.965
1621171729062,2021-05-16T15.28.49.062,0.270,-0.125,-0.281,0.957
1621171729072,2021-05-16T15.28.49.072,0.280,-0.133,-0.281,0.967
1621171729082,2021-05-16T15.28.49.082,0.290,-0.127,-0.274,0.984
1621171729092,2021-05-16T15.28.49.092,0.300,-0.119,-0.276,0.985
1621171729102,2021-05-16T15.28.49.102,0.310,-0.128,-0.272,0.983
1621171729112,2021-05-16T15.28.49.112,0.320,-0.125,-0.273,0.981
1621171729122,2021-05-16T15.28.49.122,0.330,-0.117,-0.274,0.984
1621171729132,2021-05-16T15.28.49.132,0.340,-0.124,-0.276,0.987
1621171729142,2021-05-16T15.28.49.142,0.350,-0.114,-0.279,0.983
1621171729152,2021-05-16T15.28.49.152,0.360,-0.115,-0.285,0.976
1621171729162,2021-05-16T15.28.49.162,0.370,-0.123,-0.287,0.980
1621171729172,2021-05-16T15.28.49.172,0.380,-0.121,-0.285,0.979
1621171729182,2021-05-16T15.28.49.182,0.390,-0.121,-0.286,0.972
1621171729192,2021-05-16T15.28.49.192,0.400,-0.119,-0.281,0.979
1621171729202,2021-05-16T15.28.49.202,0.410,-0.096,-0.281,0.978
1621171729212,2021-05-16T15.28.49.212,0.420,-0.087,-0.280,0.978
1621171729222,2021-05-16T15.28.49.222,0.430,-0.104,-0.278,0.980
1621171729232,2021-05-16T15.28.49.232,0.440,-0.113,-0.279,0.985
1621171729242,2021-05-16T15.28.49.242,0.450,-0.092,-0.279,0.985
1621171729252,2021-05-16T15.28.49.252,0.460,-0.081,-0.273,0.979
1621171729262,2021-05-16T15.28.49.262,0.470,-0.091,-0.267,0.955
1621171729272,2021-05-16T15.28.49.272,0.480,-0.101,-0.266,0.944
1621171729282,2021-05-16T15.28.49.282,0.490,-0.088,-0.274,0.950
1621171729292,2021-05-16T15.28.49.292,0.500,-0.070,-0.281,0.947
1621171729302,2021-05-16T15.28.49.302,0.510,-0.072,-0.272,0.935
1621171729312,2021-05-16T15.28.49.312,0.520,-0.083,-0.266,0.923
1621171729322,2021-05-16T15.28.49.322,0.530,-0.088,-0.273,0.938
1621171729332,2021-05-16T15.28.49.332,0.540,-0.085,-0.281,0.961
1621171729342,2021-05-16T15.28.49.342,0.550,-0.081,-0.285,0.974
1621171729352,2021-05-16T15.28.49.352,0.560,-0.087,-0.283,0.970
1621171729362,2021-05-16T15.28.49.362,0.570,-0.105,-0.285,0.970
1621171729372,2021-05-16T15.28.49.372,0.580,-0.108,-0.290,0.974
1621171729382,2021-05-16T15.28.49.382,0.590,-0.098,-0.292,0.984
1621171729392,2021-05-16T15.28.49.392,0.600,-0.104,-0.291,0.991
1621171729402,2021-05-16T15.28.49.402,0.610,-0.113,-0.290,0.992
1621171729412,2021-05-16T15.28.49.412,0.620,-0.122,-0.288,0.995
1621171729422,2021-05-16T15.28.49.422,0.630,-0.121,-0.286,1.002
1621171729432,2021-05-16T15.28.49.432,0.640,-0.123,-0.287,1.005
1621171729442,2021-05-16T15.28.49.442,0.650,-0.132,-0.290,1.004
1621171729452,2021-05-16T15.28.49.452,0.660,-0.135,-0.287,1.007
1621171729462,2021-05-16T15.28.49.462,0.670,-0.131,-0.284,1.002
1621171729472,2021-05-16T15.28.49.472,0.680,-0.123,-0.284,1.001
1621171729482,2021-05-16T15.28.49.482,0.690,-0.125,-0.281,0.992
1621171729492,2021-05-16T15.28.49.492,0.700,-0.126,-0.279,0.984
1621171729502,2021-05-16T15.28.49.502,0.710,-0.125,-0.277,0.979
1621171729512,2021-05-16T15.28.49.512,0.720,-0.123,-0.271,0.977
1621171729522,2021-05-16T15.28.49.522,0.730,-0.116,-0.267,0.972
1621171729532,2021-05-16T15.28.49.532,0.740,-0.129,-0.265,0.978
1621171729542,2021-05-16T15.28.49.542,0.750,-0.136,-0.270,0.986
1621171729552,2021-05-16T15.28.49.552,0.760,-0.131,-0.274,0.988
1621171729562,2021-05-16T15.28.49.562,0.770,-0.124,-0.277,0.987
1621171729572,2021-05-16T15.28.49.572,0.780,-0.117,-0.275,0.977
1621171729582,2021-05-16T15.28.49.582,0.790,-0.120,-0.274,0.968
1621171729592,2021-05-16T15.28.49.592,0.800,-0.126,-0.274,0.972
1621171729602,2021-05-16T15.28.49.602,0.810,-0.126,-0.277,0.979
1621171729612,2021-05-16T15.28.49.612,0.820,-0.132,-0.284,0.982
1621171729622,2021-05-16T15.28.49.622,0.830,-0.125,-0.280,0.980
1621171729632,2021-05-16T15.28.49.632,0.840,-0.118,-0.280,0.982
1621171729642,2021-05-16T15.28.49.642,0.850,-0.117,-0.283,0.986
1621171729652,2021-05-16T15.28.49.652,0.860,-0.122,-0.279,0.986
1621171729662,2021-05-16T15.28.49.662,0.870,-0.134,-0.283,0.996
1621171729672,2021-05-16T15.28.49.672,0.880,-0.130,-0.294,0.998
1621171729682,2021-05-16T15.28.49.682,0.890,-0.117,-0.297,0.993
1621171729692,2021-05-16T15.28.49.692,0.900,-0.111,-0.290,0.991
1621171729702,2021-05-16T15.28.49.702,0.910,-0.107,-0.292,0.990
1621171729712,2021-05-16T15.28.49.712,0.920,-0.104,-0.295,0.989
1621171729722,2021-05-16T15.28.49.722,0.930,-0.114,-0.294,0.987
1621171729732,2021-05-16T15.28.49.732,0.940,-0.128,-0.294,0.992
1621171729742,2021-05-16T15.28.49.742,0.950,-0.115,-0.294,0.997
1621171729752,2021-05-16T15.28.49.752,0.960,-0.103,-0.290,0.994
1621171729762,2021-05-16T15.28.49.762,0.970,-0.115,-0.287,0.979
1621171729772,2021-05-16T15.28.49.772,0.980,-0.125,-0.282,0.976
1621171729782,2021-05-16T15.28.49.782,0.990,-0.111,-0.276,0.983
1621171729792,2021-05-16T15.28.49.792,1.000,-0.106,-0.277,0.996
1621171729802,2021-05-16T15.28.49.802,1.010,-0.129,-0.270,0.982
1621171729812,2021-05-16T15.28.49.812,1.020,-0.132,-0.262,0.974
1621171729822,2021-05-16T15.28.49.822,1.030,-0.112,-0.263,0.974
1621171729832,2021-05-16T15.28.49.832,1.040,-0.109,-0.268,0.973
1621171729842,2021-05-16T15.28.49.842,1.050,-0.114,-0.268,0.967
1621171729852,2021-05-16T15.28.49.852,1.060,-0.108,-0.261,0.962
1621171729862,2021-05-16T15.28.49.862,1.070,-0.106,-0.261,0.953
1621171729872,2021-05-16T15.28.49.872,1.080,-0.116,-0.266,0.960
1621171729882,2021-05-16T15.28.49.882,1.090,-0.122,-0.267,0.966
1621171729892,2021-05-16T15.28.49.892,1.100,-0.108,-0.265,0.972
1621171729902,2021-05-16T15.28.49.902,1.110,-0.100,-0.269,0.972
1621171729912,2021-05-16T15.28.49.912,1.120,-0.109,-0.271,0.973
