epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1621264866122,2021-05-17T17.21.06.122,0.000,-0.474,-0.928,-0.080
1621264866132,2021-05-17T17.21.06.132,0.010,-0.479,-0.934,-0.080
1621264866142,2021-05-17T17.21.06.142,0.020,-0.481,-0.931,-0.080
1621264866152,2021-05-17T17.21.06.152,0.030,-0.481,-0.932,-0.078
1621264866162,2021-05-17T17.21.06.162,0.040,-0.481,-0.934,-0.084
1621264866172,2021-05-17T17.21.06.172,0.050,-0.480,-0.932,-0.083
1621264866182,2021-05-17T17.21.06.182,0.060,-0.482,-0.932,-0.083
1621264866192,2021-05-17T17.21.06.192,0.070,-0.481,-0.931,-0.079
1621264866202,2021-05-17T17.21.06.202,0.080,-0.480,-0.932,-0.081
1621264866212,2021-05-17T17.21.06.212,0.090,-0.480,-0.933,-0.082
1621264866222,2021-05-17T17.21.06.222,0.100,-0.478,-0.932,-0.081
1621264866232,2021-05-17T17.21.06.232,0.110,-0.479,-0.933,-0.080
1621264866242,2021-05-17T17.21.06.242,0.120,-0.480,-0.931,-0.078
1621264866252,2021-05-17T17.21.06.252,0.130,-0.479,-0.931,-0.082
1621264866262,2021-05-17T17.21.06.262,0.140,-0.481,-0.932,-0.081
1621264866272,2021-05-17T17.21.06.272,0.150,-0.481,-0.932,-0.081
1621264866282,2021-05-17T17.21.06.282,0.160,-0.481,-0.930,-0.083
1621264866292,2021-05-17T17.21.06.292,0.170,-0.482,-0.931,-0.085
1621264866302,2021-05-17T17.21.06.302,0.180,-0.482,-0.934,-0.084
1621264866312,2021-05-17T17.21.06.312,0.190,-0.482,-0.932,-0.084
1621264866322,2021-05-17T17.21.06.322,0.200,-0.481,-0.932,-0.085
1621264866332,2021-05-17T17.21.06.332,0.210,-0.480,-0.931,-0.084
1621264866342,2021-05-17T17.21.06.342,0.220,-0.481,-0.933,-0.084
1621264866352,2021-05-17T17.21.06.352,0.230,-0.479,-0.933,-0.080
1621264866362,2021-05-17T17.21.06.362,0.240,-0.484,-0.933,-0.082
1621264866372,2021-05-17T17.21.06.372,0.250,-0.483,-0.932,-0.081
1621264866382,2021-05-17T17.21.06.382,0.260,-0.481,-0.931,-0.083
1621264866392,2021-05-17T17.21.06.392,0.270,-0.481,-0.933,-0.083
1621264866402,2021-05-17T17.21.06.402,0.280,-0.481,-0.932,-0.080
1621264866412,2021-05-17T17.21.06.412,0.290,-0.481,-0.930,-0.077
1621264866422,2021-05-17T17.21.06.422,0.300,-0.481,-0.929,-0.078
1621264866432,2021-05-17T17.21.06.432,0.310,-0.478,-0.933,-0.077
1621264866442,2021-05-17T17.21.06.442,0.320,-0.476,-0.937,-0.070
1621264866452,2021-05-17T17.21.06.452,0.330,-0.477,-0.938,-0.077
1621264866462,2021-05-17T17.21.06.462,0.340,-0.482,-0.934,-0.081
1621264866472,2021-05-17T17.21.06.472,0.350,-0.486,-0.929,-0.082
1621264866482,2021-05-17T17.21.06.482,0.360,-0.481,-0.931,-0.081
1621264866492,2021-05-17T17.21.06.492,0.370,-0.479,-0.930,-0.075
1621264866502,2021-05-17T17.21.06.502,0.380,-0.479,-0.930,-0.075
1621264866512,2021-05-17T17.21.06.512,0.390,-0.479,-0.931,-0.073
1621264866522,2021-05-17T17.21.06.522,0.400,-0.479,-0.934,-0.076
1621264866532,2021-05-17T17.21.06.532,0.410,-0.478,-0.933,-0.076
1621264866542,2021-05-17T17.21.06.542,0.420,-0.477,-0.935,-0.073
1621264866552,2021-05-17T17.21.06.552,0.430,-0.479,-0.933,-0.075
1621264866562,2021-05-17T17.21.06.562,0.440,-0.479,-0.931,-0.073
1621264866572,2021-05-17T17.21.06.572,0.450,-0.476,-0.935,-0.074
1621264866582,2021-05-17T17.21.06.582,0.460,-0.477,-0.933,-0.075
1621264866592,2021-05-17T17.21.06.592,0.470,-0.478,-0.931,-0.075
1621264866602,2021-05-17T17.21.06.602,0.480,-0.480,-0.931,-0.076
1621264866612,2021-05-17T17.21.06.612,0.490,-0.481,-0.933,-0.078
1621264866622,2021-05-17T17.21.06.622,0.500,-0.481,-0.933,-0.078
1621264866632,2021-05-17T17.21.06.632,0.510,-0.478,-0.932,-0.077
1621264866642,2021-05-17T17.21.06.642,0.520,-0.479,-0.933,-0.074
