epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1621177199958,2021-05-16T16.59.59.958,0.000,1.585,2.378,5.305
1621177199968,2021-05-16T16.59.59.968,0.010,1.829,3.171,5.854
1621177199978,2021-05-16T16.59.59.978,0.020,3.354,5.793,5.061
1621177199988,2021-05-16T16.59.59.988,0.030,3.902,6.768,4.451
1621177199998,2021-05-16T16.59.59.998,0.040,3.354,5.427,3.963
1621177200008,2021-05-16T17.00.00.008,0.050,2.988,4.207,3.720
1621177200018,2021-05-16T17.00.00.018,0.060,2.561,3.049,3.110
1621177200028,2021-05-16T17.00.00.028,0.070,2.012,2.012,2.317
1621177200038,2021-05-16T17.00.00.038,0.080,1.585,0.732,2.012
1621177200048,2021-05-16T17.00.00.048,0.090,1.280,-0.183,1.768
1621177200058,2021-05-16T17.00.00.058,0.100,1.220,-0.061,1.159
1621177200068,2021-05-16T17.00.00.068,0.110,1.402,0.854,0.366
1621177200078,2021-05-16T17.00.00.078,0.120,1.098,1.159,-0.244
1621177200088,2021-05-16T17.00.00.088,0.130,1.037,1.463,0.000
1621177200098,2021-05-16T17.00.00.098,0.140,1.341,1.463,0.549
1621177200108,2021-05-16T17.00.00.108,0.150,1.402,1.646,0.671
1621177200118,2021-05-16T17.00.00.118,0.160,1.463,1.646,0.549
1621177200128,2021-05-16T17.00.00.128,0.170,1.402,0.061,0.488
1621177200138,2021-05-16T17.00.00.138,0.180,0.915,-1.585,0.244
1621177200148,2021-05-16T17.00.00.148,0.190,0.915,-2.195,0.488
1621177200158,2021-05-16T17.00.00.158,0.200,1.037,-2.744,0.793
1621177200168,2021-05-16T17.00.00.168,0.210,1.098,-2.683,0.671
1621177200178,2021-05-16T17.00.00.178,0.220,0.793,-0.732,-0.305
1621177200188,2021-05-16T17.00.00.188,0.230,0.793,-2.012,0.305
1621177200198,2021-05-16T17.00.00.198,0.240,1.037,-1.037,-0.244
1621177200208,2021-05-16T17.00.00.208,0.250,1.159,0.671,-0.732
1621177200218,2021-05-16T17.00.00.218,0.260,0.671,-0.244,-0.366
1621177200228,2021-05-16T17.00.00.228,0.270,0.549,0.488,-0.427
1621177200238,2021-05-16T17.00.00.238,0.280,0.671,1.768,-0.244
1621177200248,2021-05-16T17.00.00.248,0.290,0.671,2.012,-0.183
1621177200258,2021-05-16T17.00.00.258,0.300,0.610,2.744,-0.427
