epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1621177201030,2021-05-16T17.00.01.030,0.000,-6.829,-1.524,-7.012
1621177201040,2021-05-16T17.00.01.040,0.010,-6.890,-1.707,-7.195
1621177201050,2021-05-16T17.00.01.050,0.020,-6.768,-1.463,-7.317
1621177201060,2021-05-16T17.00.01.060,0.030,-6.098,-1.280,-7.561
1621177201070,2021-05-16T17.00.01.070,0.040,-5.122,-1.829,-7.622
1621177201080,2021-05-16T17.00.01.080,0.050,-3.963,-2.256,-7.561
1621177201090,2021-05-16T17.00.01.090,0.060,-2.805,-2.561,-7.134
1621177201100,2021-05-16T17.00.01.100,0.070,-1.768,-3.171,-6.402
1621177201110,2021-05-16T17.00.01.110,0.080,-0.488,-3.476,-5.671
1621177201120,2021-05-16T17.00.01.120,0.090,0.732,-3.232,-4.878
1621177201130,2021-05-16T17.00.01.130,0.100,1.890,-3.232,-4.024
1621177201140,2021-05-16T17.00.01.140,0.110,2.927,-3.476,-3.232
1621177201150,2021-05-16T17.00.01.150,0.120,4.024,-3.232,-2.500
1621177201160,2021-05-16T17.00.01.160,0.130,5.122,-2.195,-1.829
1621177201170,2021-05-16T17.00.01.170,0.140,6.220,-0.854,-1.280
1621177201180,2021-05-16T17.00.01.180,0.150,7.012,0.244,-0.793
1621177201190,2021-05-16T17.00.01.190,0.160,7.805,1.646,-0.366
1621177201200,2021-05-16T17.00.01.200,0.170,8.354,3.049,0.061
1621177201210,2021-05-16T17.00.01.210,0.180,8.598,3.902,0.183
1621177201220,2021-05-16T17.00.01.220,0.190,8.598,4.207,0.488
1621177201230,2021-05-16T17.00.01.230,0.200,8.354,4.024,0.854
1621177201240,2021-05-16T17.00.01.240,0.210,8.049,3.720,1.159
1621177201250,2021-05-16T17.00.01.250,0.220,7.500,3.110,1.585
1621177201260,2021-05-16T17.00.01.260,0.230,6.829,2.439,2.012
1621177201270,2021-05-16T17.00.01.270,0.240,6.037,2.256,2.134
1621177201280,2021-05-16T17.00.01.280,0.250,5.244,1.707,2.317
1621177201290,2021-05-16T17.00.01.290,0.260,4.512,0.671,2.378
1621177201300,2021-05-16T17.00.01.300,0.270,3.537,-0.488,2.500
1621177201310,2021-05-16T17.00.01.310,0.280,2.683,-1.585,2.378
1621177201320,2021-05-16T17.00.01.320,0.290,1.951,-2.744,2.256
1621177201330,2021-05-16T17.00.01.330,0.300,1.220,-3.780,2.073
1621177201340,2021-05-16T17.00.01.340,0.310,0.427,-4.756,1.890
1621177201350,2021-05-16T17.00.01.350,0.320,-0.122,-5.427,1.646
1621177201360,2021-05-16T17.00.01.360,0.330,-0.671,-5.488,1.463
1621177201370,2021-05-16T17.00.01.370,0.340,-1.402,-5.671,1.220
1621177201380,2021-05-16T17.00.01.380,0.350,-1.768,-6.341,1.159
1621177201390,2021-05-16T17.00.01.390,0.360,-1.890,-6.890,0.915
1621177201400,2021-05-16T17.00.01.400,0.370,-1.768,-6.220,0.549
1621177201410,2021-05-16T17.00.01.410,0.380,-1.707,-4.329,0.183
1621177201420,2021-05-16T17.00.01.420,0.390,-2.073,-2.500,-0.061
1621177201430,2021-05-16T17.00.01.430,0.400,-2.073,-1.890,-0.305
1621177201440,2021-05-16T17.00.01.440,0.410,-1.951,-1.768,-0.427
1621177201450,2021-05-16T17.00.01.450,0.420,-1.768,-1.768,-0.549
1621177201460,2021-05-16T17.00.01.460,0.430,-1.585,-1.646,-0.732
