epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1620061347402,2021-05-03T19:02:27.402,0.000,-0.888,-0.493,-0.046
1620061347412,2021-05-03T19:02:27.412,0.010,-0.894,-0.500,-0.043
1620061347422,2021-05-03T19:02:27.422,0.020,-0.890,-0.500,-0.045
1620061347432,2021-05-03T19:02:27.432,0.030,-0.888,-0.503,-0.043
1620061347442,2021-05-03T19:02:27.442,0.040,-0.890,-0.501,-0.041
1620061347452,2021-05-03T19:02:27.452,0.050,-0.892,-0.498,-0.045
1620061347462,2021-05-03T19:02:27.462,0.060,-0.894,-0.498,-0.044
1620061347472,2021-05-03T19:02:27.472,0.070,-0.893,-0.494,-0.042
1620061347482,2021-05-03T19:02:27.482,0.080,-0.892,-0.495,-0.045
1620061347492,2021-05-03T19:02:27.492,0.090,-0.890,-0.495,-0.046
1620061347502,2021-05-03T19:02:27.502,0.100,-0.892,-0.500,-0.041
1620061347512,2021-05-03T19:02:27.512,0.110,-0.888,-0.501,-0.033
1620061347522,2021-05-03T19:02:27.522,0.120,-0.886,-0.500,-0.038
1620061347532,2021-05-03T19:02:27.532,0.130,-0.891,-0.500,-0.040
1620061347542,2021-05-03T19:02:27.542,0.140,-0.885,-0.500,-0.042
1620061347552,2021-05-03T19:02:27.552,0.150,-0.885,-0.500,-0.040
1620061347562,2021-05-03T19:02:27.562,0.160,-0.889,-0.500,-0.037
1620061347572,2021-05-03T19:02:27.572,0.170,-0.882,-0.501,-0.042
1620061347582,2021-05-03T19:02:27.582,0.180,-0.885,-0.504,-0.040
1620061347592,2021-05-03T19:02:27.592,0.190,-0.892,-0.500,-0.043
1620061347602,2021-05-03T19:02:27.602,0.200,-0.890,-0.497,-0.043
1620061347612,2021-05-03T19:02:27.612,0.210,-0.896,-0.494,-0.046
1620061347622,2021-05-03T19:02:27.622,0.220,-0.897,-0.491,-0.050
1620061347632,2021-05-03T19:02:27.632,0.230,-0.898,-0.491,-0.048
1620061347642,2021-05-03T19:02:27.642,0.240,-0.897,-0.495,-0.048
1620061347652,2021-05-03T19:02:27.652,0.250,-0.895,-0.495,-0.047
1620061347662,2021-05-03T19:02:27.662,0.260,-0.887,-0.494,-0.041
1620061347672,2021-05-03T19:02:27.672,0.270,-0.896,-0.489,-0.037
1620061347682,2021-05-03T19:02:27.682,0.280,-0.893,-0.490,-0.039
1620061347692,2021-05-03T19:02:27.692,0.290,-0.895,-0.490,-0.042
1620061347702,2021-05-03T19:02:27.702,0.300,-0.896,-0.488,-0.045
1620061347712,2021-05-03T19:02:27.712,0.310,-0.893,-0.489,-0.046
1620061347722,2021-05-03T19:02:27.722,0.320,-0.892,-0.492,-0.046
1620061347732,2021-05-03T19:02:27.732,0.330,-0.897,-0.496,-0.051
1620061347742,2021-05-03T19:02:27.742,0.340,-0.895,-0.494,-0.049
1620061347752,2021-05-03T19:02:27.752,0.350,-0.897,-0.491,-0.052
1620061347762,2021-05-03T19:02:27.762,0.360,-0.901,-0.491,-0.058
1620061347772,2021-05-03T19:02:27.772,0.370,-0.897,-0.490,-0.056
1620061347782,2021-05-03T19:02:27.782,0.380,-0.897,-0.487,-0.057
1620061347792,2021-05-03T19:02:27.792,0.390,-0.900,-0.488,-0.055
1620061347802,2021-05-03T19:02:27.802,0.400,-0.898,-0.487,-0.054
1620061347812,2021-05-03T19:02:27.812,0.410,-0.895,-0.491,-0.050
1620061347822,2021-05-03T19:02:27.822,0.420,-0.895,-0.489,-0.052
1620061347832,2021-05-03T19:02:27.832,0.430,-0.896,-0.488,-0.049
1620061347842,2021-05-03T19:02:27.842,0.440,-0.895,-0.490,-0.047
1620061347852,2021-05-03T19:02:27.852,0.450,-0.896,-0.489,-0.045
1620061347862,2021-05-03T19:02:27.862,0.460,-0.897,-0.488,-0.042
