epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1620669115257,2021-05-10T19:51:55.257,0.000,4.695,-6.402,0.000
1620669115267,2021-05-10T19:51:55.267,0.010,5.000,-6.341,0.305
1620669115277,2021-05-10T19:51:55.277,0.020,5.244,-6.402,0.183
1620669115287,2021-05-10T19:51:55.287,0.030,5.549,-5.427,0.305
1620669115297,2021-05-10T19:51:55.297,0.040,5.610,-4.451,0.427
1620669115307,2021-05-10T19:51:55.307,0.050,5.305,-3.659,0.549
1620669115317,2021-05-10T19:51:55.317,0.060,5.244,-3.049,0.610
1620669115327,2021-05-10T19:51:55.327,0.070,4.817,-2.683,0.549
1620669115337,2021-05-10T19:51:55.337,0.080,4.329,-2.317,0.427
1620669115347,2021-05-10T19:51:55.347,0.090,3.902,-0.549,0.183
1620669115357,2021-05-10T19:51:55.357,0.100,3.110,0.183,-0.061
1620669115367,2021-05-10T19:51:55.367,0.110,2.012,0.122,-0.183
1620669115377,2021-05-10T19:51:55.377,0.120,0.671,0.183,-0.427
1620669115387,2021-05-10T19:51:55.387,0.130,-0.305,0.366,-0.671
1620669115397,2021-05-10T19:51:55.397,0.140,-1.098,1.220,-0.915
1620669115407,2021-05-10T19:51:55.407,0.150,-1.524,2.439,-1.098
1620669115417,2021-05-10T19:51:55.417,0.160,-2.195,3.720,-1.402
1620669115427,2021-05-10T19:51:55.427,0.170,-3.110,4.207,-1.646
1620669115437,2021-05-10T19:51:55.437,0.180,-3.841,5.122,-1.707
1620669115447,2021-05-10T19:51:55.447,0.190,-4.573,6.463,-1.768
1620669115457,2021-05-10T19:51:55.457,0.200,-5.671,6.524,-2.073
1620669115467,2021-05-10T19:51:55.467,0.210,-6.646,6.951,-2.073
1620669115477,2021-05-10T19:51:55.477,0.220,-7.500,7.256,-2.134
1620669115487,2021-05-10T19:51:55.487,0.230,-7.866,8.476,-2.073
1620669115497,2021-05-10T19:51:55.497,0.240,-8.415,9.695,-1.951
1620669115507,2021-05-10T19:51:55.507,0.250,-9.207,9.634,-1.768
1620669115517,2021-05-10T19:51:55.517,0.260,-9.817,9.817,-1.463
1620669115527,2021-05-10T19:51:55.527,0.270,-10.000,10.244,-1.037
1620669115537,2021-05-10T19:51:55.537,0.280,-9.878,9.695,-0.671
1620669115547,2021-05-10T19:51:55.547,0.290,-9.756,9.085,-0.366
1620669115557,2021-05-10T19:51:55.557,0.300,-9.329,8.598,-0.122
1620669115567,2021-05-10T19:51:55.567,0.310,-8.476,8.293,-0.061
1620669115577,2021-05-10T19:51:55.577,0.320,-7.561,8.598,0.061
1620669115587,2021-05-10T19:51:55.587,0.330,-6.280,9.085,0.244
1620669115597,2021-05-10T19:51:55.597,0.340,-5.122,8.720,0.427
1620669115607,2021-05-10T19:51:55.607,0.350,-4.146,7.927,0.488
1620669115617,2021-05-10T19:51:55.617,0.360,-3.293,6.463,0.549
1620669115627,2021-05-10T19:51:55.627,0.370,-2.622,5.183,0.793
1620669115637,2021-05-10T19:51:55.637,0.380,-1.768,3.902,1.037
1620669115647,2021-05-10T19:51:55.647,0.390,-0.854,2.805,1.524
1620669115657,2021-05-10T19:51:55.657,0.400,-0.305,2.744,1.890
1620669115667,2021-05-10T19:51:55.667,0.410,0.793,3.354,2.134
1620669115677,2021-05-10T19:51:55.677,0.420,1.402,3.049,2.500
1620669115687,2021-05-10T19:51:55.687,0.430,1.951,3.171,2.866
1620669115697,2021-05-10T19:51:55.697,0.440,2.561,3.598,2.927
1620669115707,2021-05-10T19:51:55.707,0.450,2.744,4.085,2.927
1620669115717,2021-05-10T19:51:55.717,0.460,3.354,5.610,3.232
1620669115727,2021-05-10T19:51:55.727,0.470,3.476,6.951,3.110
1620669115737,2021-05-10T19:51:55.737,0.480,3.963,7.866,2.744
1620669115747,2021-05-10T19:51:55.747,0.490,4.756,8.232,2.378
1620669115757,2021-05-10T19:51:55.757,0.500,4.817,9.756,2.073
1620669115767,2021-05-10T19:51:55.767,0.510,5.061,11.890,1.646
1620669115777,2021-05-10T19:51:55.777,0.520,5.305,14.634,1.098
1620669115787,2021-05-10T19:51:55.787,0.530,5.305,17.988,0.488
1620669115797,2021-05-10T19:51:55.797,0.540,5.366,20.610,-0.488
1620669115807,2021-05-10T19:51:55.807,0.550,5.610,21.951,-1.463
1620669115817,2021-05-10T19:51:55.817,0.560,5.427,22.927,-2.622
1620669115827,2021-05-10T19:51:55.827,0.570,5.183,23.293,-3.415
1620669115837,2021-05-10T19:51:55.837,0.580,4.817,23.476,-4.268
1620669115847,2021-05-10T19:51:55.847,0.590,3.902,21.890,-5.183
1620669115857,2021-05-10T19:51:55.857,0.600,3.049,19.756,-5.732
1620669115867,2021-05-10T19:51:55.867,0.610,2.500,18.476,-6.098
1620669115877,2021-05-10T19:51:55.877,0.620,2.195,16.463,-6.646
1620669115887,2021-05-10T19:51:55.887,0.630,2.012,14.695,-7.012
1620669115897,2021-05-10T19:51:55.897,0.640,2.134,12.927,-7.256
1620669115907,2021-05-10T19:51:55.907,0.650,1.768,11.159,-7.622
1620669115917,2021-05-10T19:51:55.917,0.660,1.524,10.854,-7.866
1620669115927,2021-05-10T19:51:55.927,0.670,1.220,9.695,-8.110
1620669115937,2021-05-10T19:51:55.937,0.680,0.732,8.720,-8.110
1620669115947,2021-05-10T19:51:55.947,0.690,0.183,7.195,-7.988
1620669115957,2021-05-10T19:51:55.957,0.700,-0.366,5.305,-7.439
1620669115967,2021-05-10T19:51:55.967,0.710,-0.610,3.537,-6.829
1620669115977,2021-05-10T19:51:55.977,0.720,-0.793,1.890,-6.220
1620669115987,2021-05-10T19:51:55.987,0.730,-1.159,-0.366,-5.488
1620669115997,2021-05-10T19:51:55.997,0.740,-1.220,-2.866,-4.817
1620669116007,2021-05-10T19:51:56.007,0.750,-1.280,-4.817,-3.902
1620669116017,2021-05-10T19:51:56.017,0.760,-0.854,-5.671,-2.866
1620669116027,2021-05-10T19:51:56.027,0.770,-0.366,-6.341,-1.707
1620669116037,2021-05-10T19:51:56.037,0.780,0.732,-7.256,-0.488
1620669116047,2021-05-10T19:51:56.047,0.790,1.829,-8.354,0.671
1620669116057,2021-05-10T19:51:56.057,0.800,3.537,-9.024,2.134
1620669116067,2021-05-10T19:51:56.067,0.810,5.671,-9.817,3.354
1620669116077,2021-05-10T19:51:56.077,0.820,7.866,-10.976,4.634
1620669116087,2021-05-10T19:51:56.087,0.830,10.244,-12.378,5.671
1620669116097,2021-05-10T19:51:56.097,0.840,12.622,-14.390,6.280
1620669116107,2021-05-10T19:51:56.107,0.850,14.451,-16.768,7.012
1620669116117,2021-05-10T19:51:56.117,0.860,16.341,-19.085,7.683
