epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1620669115279,2021-05-10T19:51:55.279,0.000,-11.768,-9.146,10.305
1620669115289,2021-05-10T19:51:55.289,0.010,-11.890,-9.268,10.427
1620669115299,2021-05-10T19:51:55.299,0.020,-12.439,-10.915,11.646
1620669115309,2021-05-10T19:51:55.309,0.030,-14.451,-13.902,12.988
1620669115319,2021-05-10T19:51:55.319,0.040,-18.780,-25.183,12.195
1620669115329,2021-05-10T19:51:55.329,0.050,-24.085,-40.549,11.220
1620669115339,2021-05-10T19:51:55.339,0.060,-28.293,-49.329,11.646
1620669115349,2021-05-10T19:51:55.349,0.070,-33.720,-58.598,11.707
1620669115359,2021-05-10T19:51:55.359,0.080,-39.939,-70.305,12.317
1620669115369,2021-05-10T19:51:55.369,0.090,-45.000,-80.366,13.720
1620669115379,2021-05-10T19:51:55.379,0.100,-51.159,-90.488,15.305
1620669115389,2021-05-10T19:51:55.389,0.110,-58.598,-103.415,16.220
1620669115399,2021-05-10T19:51:55.399,0.120,-64.878,-120.061,15.549
1620669115409,2021-05-10T19:51:55.409,0.130,-70.549,-139.939,14.390
1620669115419,2021-05-10T19:51:55.419,0.140,-76.220,-160.671,12.988
1620669115429,2021-05-10T19:51:55.429,0.150,-81.280,-181.280,11.037
1620669115439,2021-05-10T19:51:55.439,0.160,-85.671,-198.476,8.720
1620669115449,2021-05-10T19:51:55.449,0.170,-89.573,-208.659,7.683
1620669115459,2021-05-10T19:51:55.459,0.180,-93.354,-210.061,7.439
1620669115469,2021-05-10T19:51:55.469,0.190,-96.707,-206.402,7.866
1620669115479,2021-05-10T19:51:55.479,0.200,-98.659,-208.659,6.524
1620669115489,2021-05-10T19:51:55.489,0.210,-99.146,-217.622,3.171
1620669115499,2021-05-10T19:51:55.499,0.220,-99.207,-223.902,-0.549
1620669115509,2021-05-10T19:51:55.509,0.230,-98.049,-217.561,-4.268
1620669115519,2021-05-10T19:51:55.519,0.240,-95.366,-195.183,-6.220
1620669115529,2021-05-10T19:51:55.529,0.250,-92.195,-160.061,-5.183
1620669115539,2021-05-10T19:51:55.539,0.260,-90.488,-126.890,-5.244
1620669115549,2021-05-10T19:51:55.549,0.270,-88.476,-95.610,-6.768
1620669115559,2021-05-10T19:51:55.559,0.280,-84.817,-63.598,-8.049
1620669115569,2021-05-10T19:51:55.569,0.290,-80.366,-42.195,-12.134
1620669115579,2021-05-10T19:51:55.579,0.300,-76.524,-33.476,-18.354
1620669115589,2021-05-10T19:51:55.589,0.310,-72.622,-32.561,-24.756
1620669115599,2021-05-10T19:51:55.599,0.320,-71.098,-43.720,-29.634
1620669115609,2021-05-10T19:51:55.609,0.330,-71.220,-59.024,-32.744
1620669115619,2021-05-10T19:51:55.619,0.340,-67.927,-62.134,-32.744
1620669115629,2021-05-10T19:51:55.629,0.350,-59.573,-44.146,-30.000
1620669115639,2021-05-10T19:51:55.639,0.360,-42.317,-38.354,-29.634
1620669115649,2021-05-10T19:51:55.649,0.370,-27.683,-63.780,-24.207
1620669115659,2021-05-10T19:51:55.659,0.380,-7.683,-34.817,-13.293
1620669115669,2021-05-10T19:51:55.669,0.390,14.817,19.085,-6.098
