epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1618391625338,2021-04-14T11.13.45.338,0.000,0.116,-1.025,-0.169
1618391625348,2021-04-14T11.13.45.348,0.010,0.116,-1.039,-0.199
1618391625358,2021-04-14T11.13.45.358,0.020,0.107,-1.023,-0.217
1618391625369,2021-04-14T11.13.45.369,0.031,0.085,-1.000,-0.221
1618391625377,2021-04-14T11.13.45.377,0.039,0.092,-1.001,-0.220
1618391625388,2021-04-14T11.13.45.388,0.050,0.100,-1.013,-0.208
1618391625398,2021-04-14T11.13.45.398,0.060,0.093,-1.013,-0.200
1618391625408,2021-04-14T11.13.45.408,0.070,0.094,-1.012,-0.211
1618391625418,2021-04-14T11.13.45.418,0.080,0.098,-1.007,-0.220
1618391625429,2021-04-14T11.13.45.429,0.091,0.071,-1.000,-0.209
1618391625439,2021-04-14T11.13.45.439,0.101,0.079,-1.003,-0.215
1618391625449,2021-04-14T11.13.45.449,0.111,0.092,-1.008,-0.219
1618391625458,2021-04-14T11.13.45.458,0.120,0.083,-1.023,-0.208
1618391625468,2021-04-14T11.13.45.468,0.130,0.091,-1.012,-0.195
1618391625478,2021-04-14T11.13.45.478,0.140,0.095,-1.006,-0.198
1618391625489,2021-04-14T11.13.45.489,0.151,0.095,-1.002,-0.209
1618391625499,2021-04-14T11.13.45.499,0.161,0.083,-0.994,-0.202
1618391625509,2021-04-14T11.13.45.509,0.171,0.084,-1.000,-0.180
1618391625519,2021-04-14T11.13.45.519,0.181,0.096,-1.015,-0.182
1618391625528,2021-04-14T11.13.45.528,0.190,0.095,-1.017,-0.196
1618391625539,2021-04-14T11.13.45.539,0.201,0.074,-1.011,-0.206
1618391625549,2021-04-14T11.13.45.549,0.211,0.060,-1.009,-0.217
1618391625559,2021-04-14T11.13.45.559,0.221,0.061,-1.000,-0.223
1618391625569,2021-04-14T11.13.45.569,0.231,0.068,-1.003,-0.236
1618391625580,2021-04-14T11.13.45.580,0.242,0.067,-1.000,-0.241
1618391625590,2021-04-14T11.13.45.590,0.252,0.064,-0.997,-0.244
1618391625599,2021-04-14T11.13.45.599,0.261,0.075,-1.008,-0.243
1618391625609,2021-04-14T11.13.45.609,0.271,0.089,-1.014,-0.236
1618391625619,2021-04-14T11.13.45.619,0.281,0.087,-1.018,-0.236
1618391625629,2021-04-14T11.13.45.629,0.291,0.082,-1.021,-0.237
1618391625640,2021-04-14T11.13.45.640,0.302,0.083,-1.012,-0.244
1618391625650,2021-04-14T11.13.45.650,0.312,0.069,-1.000,-0.244
1618391625660,2021-04-14T11.13.45.660,0.322,0.048,-1.002,-0.223
1618391625669,2021-04-14T11.13.45.669,0.331,0.066,-1.003,-0.221
1618391625679,2021-04-14T11.13.45.679,0.341,0.072,-1.015,-0.216
1618391625689,2021-04-14T11.13.45.689,0.351,0.058,-1.020,-0.218
1618391625700,2021-04-14T11.13.45.700,0.362,0.059,-1.018,-0.220
1618391625710,2021-04-14T11.13.45.710,0.372,0.057,-1.013,-0.226
1618391625720,2021-04-14T11.13.45.720,0.382,0.057,-1.010,-0.229
1618391625730,2021-04-14T11.13.45.730,0.392,0.064,-1.010,-0.224
1618391625741,2021-04-14T11.13.45.741,0.403,0.057,-1.006,-0.232
1618391625749,2021-04-14T11.13.45.749,0.411,0.045,-1.009,-0.233
1618391625760,2021-04-14T11.13.45.760,0.422,0.066,-1.017,-0.180
1618391625770,2021-04-14T11.13.45.770,0.432,0.075,-1.021,-0.163
1618391625780,2021-04-14T11.13.45.780,0.442,0.051,-1.021,-0.190
1618391625790,2021-04-14T11.13.45.790,0.452,0.041,-1.013,-0.203
1618391625801,2021-04-14T11.13.45.801,0.463,0.043,-1.008,-0.195
