epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1618392532460,2021-04-14T11.28.52.460,0.000,4.939,5.549,5.854
1618392532470,2021-04-14T11.28.52.470,0.010,4.939,5.244,5.427
1618392532481,2021-04-14T11.28.52.481,0.021,4.878,4.695,5.305
1618392532491,2021-04-14T11.28.52.491,0.031,4.634,4.390,4.878
1618392532501,2021-04-14T11.28.52.501,0.041,4.390,4.573,4.756
1618392532511,2021-04-14T11.28.52.511,0.051,4.085,5.305,4.939
1618392532520,2021-04-14T11.28.52.520,0.060,3.841,6.159,5.061
1618392532531,2021-04-14T11.28.52.531,0.071,3.476,6.220,5.000
1618392532541,2021-04-14T11.28.52.541,0.081,3.293,5.122,4.695
1618392532551,2021-04-14T11.28.52.551,0.091,2.927,4.207,4.695
1618392532561,2021-04-14T11.28.52.561,0.101,2.927,3.720,4.573
1618392532572,2021-04-14T11.28.52.572,0.112,2.988,3.476,4.390
1618392532582,2021-04-14T11.28.52.582,0.122,2.805,2.744,4.146
1618392532591,2021-04-14T11.28.52.591,0.131,2.683,2.378,3.780
1618392532601,2021-04-14T11.28.52.601,0.141,2.561,2.256,3.354
1618392532611,2021-04-14T11.28.52.611,0.151,2.744,1.829,2.927
1618392532621,2021-04-14T11.28.52.621,0.161,2.805,1.220,2.683
1618392532632,2021-04-14T11.28.52.632,0.172,2.805,0.915,2.500
1618392532642,2021-04-14T11.28.52.642,0.182,2.805,0.549,2.378
1618392532652,2021-04-14T11.28.52.652,0.192,2.622,0.610,2.317
1618392532662,2021-04-14T11.28.52.662,0.202,2.500,0.915,1.890
1618392532671,2021-04-14T11.28.52.671,0.211,2.500,0.976,1.402
1618392532681,2021-04-14T11.28.52.681,0.221,2.378,0.976,0.976
1618392532692,2021-04-14T11.28.52.692,0.232,2.256,0.915,0.366
1618392532702,2021-04-14T11.28.52.702,0.242,2.073,0.549,-0.061
1618392532712,2021-04-14T11.28.52.712,0.252,1.951,0.305,-0.183
1618392532722,2021-04-14T11.28.52.722,0.262,1.707,0.244,-0.366
