epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1618395440104,2021-04-14T12.17.20.104,0.000,-150.549,72.622,-72.195
1618395440115,2021-04-14T12.17.20.115,0.011,-151.585,75.976,-71.037
1618395440123,2021-04-14T12.17.20.123,0.019,-155.915,92.988,-67.195
1618395440134,2021-04-14T12.17.20.134,0.030,-159.390,115.793,-63.415
1618395440144,2021-04-14T12.17.20.144,0.040,-161.768,137.927,-62.073
1618395440154,2021-04-14T12.17.20.154,0.050,-164.939,160.488,-61.646
1618395440164,2021-04-14T12.17.20.164,0.060,-166.890,176.707,-60.854
1618395440175,2021-04-14T12.17.20.175,0.071,-167.805,185.915,-61.341
1618395440184,2021-04-14T12.17.20.184,0.080,-167.561,191.646,-63.354
1618395440194,2021-04-14T12.17.20.194,0.090,-164.024,194.695,-65.610
1618395440204,2021-04-14T12.17.20.204,0.100,-155.366,191.707,-67.805
1618395440214,2021-04-14T12.17.20.214,0.110,-144.817,183.232,-68.293
1618395440225,2021-04-14T12.17.20.225,0.121,-136.280,171.463,-64.695
1618395440233,2021-04-14T12.17.20.233,0.129,-131.524,153.171,-61.402
1618395440244,2021-04-14T12.17.20.244,0.140,-126.463,129.939,-58.841
1618395440254,2021-04-14T12.17.20.254,0.150,-114.878,105.915,-53.415
1618395440264,2021-04-14T12.17.20.264,0.160,-99.207,82.378,-46.707
1618395440274,2021-04-14T12.17.20.274,0.170,-83.415,64.085,-38.415
1618395440285,2021-04-14T12.17.20.285,0.181,-71.402,51.646,-25.610
1618395440293,2021-04-14T12.17.20.293,0.189,-62.866,39.695,-14.024
1618395440304,2021-04-14T12.17.20.304,0.200,-53.659,31.646,-5.000
1618395440314,2021-04-14T12.17.20.314,0.210,-45.549,28.293,3.171
1618395440324,2021-04-14T12.17.20.324,0.220,-37.683,28.049,10.305
1618395440334,2021-04-14T12.17.20.334,0.230,-28.780,29.085,17.195
1618395440345,2021-04-14T12.17.20.345,0.241,-21.037,32.988,23.354
1618395440353,2021-04-14T12.17.20.353,0.249,-15.610,39.207,28.171
1618395440364,2021-04-14T12.17.20.364,0.260,-12.622,44.634,30.854
1618395440374,2021-04-14T12.17.20.374,0.270,-9.634,48.476,31.707
1618395440384,2021-04-14T12.17.20.384,0.280,-6.646,51.280,30.793
1618395440394,2021-04-14T12.17.20.394,0.290,-3.720,55.549,28.232
1618395440403,2021-04-14T12.17.20.403,0.299,0.549,58.049,25.671
1618395440414,2021-04-14T12.17.20.414,0.310,5.000,57.683,23.720
1618395440424,2021-04-14T12.17.20.424,0.320,7.988,55.488,21.402
1618395440434,2021-04-14T12.17.20.434,0.330,9.268,51.159,19.268
1618395440444,2021-04-14T12.17.20.444,0.340,9.390,42.439,16.768
1618395440455,2021-04-14T12.17.20.455,0.351,10.305,32.134,14.573
1618395440463,2021-04-14T12.17.20.463,0.359,13.293,22.866,13.354
1618395440474,2021-04-14T12.17.20.474,0.370,17.500,15.549,12.988
1618395440484,2021-04-14T12.17.20.484,0.380,21.951,10.061,13.476
1618395440494,2021-04-14T12.17.20.494,0.390,26.098,6.402,14.268
1618395440504,2021-04-14T12.17.20.504,0.400,29.451,3.476,15.000
1618395440515,2021-04-14T12.17.20.515,0.411,32.256,1.280,15.488
1618395440523,2021-04-14T12.17.20.523,0.419,34.817,0.244,16.037
1618395440534,2021-04-14T12.17.20.534,0.430,37.012,-0.305,16.890
1618395440544,2021-04-14T12.17.20.544,0.440,39.451,-0.854,17.317
1618395440554,2021-04-14T12.17.20.554,0.450,42.378,0.183,17.500
1618395440564,2021-04-14T12.17.20.564,0.460,45.183,2.744,17.683
1618395440573,2021-04-14T12.17.20.573,0.469,47.195,5.488,18.049
1618395440583,2021-04-14T12.17.20.583,0.479,48.537,8.415,18.171
1618395440594,2021-04-14T12.17.20.594,0.490,49.573,11.098,18.293
1618395440604,2021-04-14T12.17.20.604,0.500,50.854,12.256,18.537
1618395440614,2021-04-14T12.17.20.614,0.510,52.134,13.598,19.207
1618395440624,2021-04-14T12.17.20.624,0.520,52.378,14.756,20.305
1618395440633,2021-04-14T12.17.20.633,0.529,51.951,12.744,20.915
1618395440643,2021-04-14T12.17.20.643,0.539,52.317,8.720,21.220
1618395440654,2021-04-14T12.17.20.654,0.550,52.683,3.841,21.890
1618395440664,2021-04-14T12.17.20.664,0.560,52.439,-1.646,22.500
1618395440674,2021-04-14T12.17.20.674,0.570,52.073,-5.427,22.378
1618395440684,2021-04-14T12.17.20.684,0.580,51.402,-8.354,21.829
1618395440693,2021-04-14T12.17.20.693,0.589,49.756,-10.671,22.012
1618395440704,2021-04-14T12.17.20.704,0.600,46.524,-13.902,22.012
1618395440714,2021-04-14T12.17.20.714,0.610,42.439,-18.780,20.366
1618395440724,2021-04-14T12.17.20.724,0.620,39.329,-20.366,18.232
1618395440734,2021-04-14T12.17.20.734,0.630,36.951,-16.402,16.646
1618395440743,2021-04-14T12.17.20.743,0.639,34.451,-8.537,15.122
1618395440753,2021-04-14T12.17.20.753,0.649,32.317,1.646,13.780
1618395440764,2021-04-14T12.17.20.764,0.660,30.366,11.646,12.805
