epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1618396834243,2021-04-14T12.40.34.243,0.000,-0.137,-0.797,0.457
1618396834252,2021-04-14T12.40.34.252,0.009,-0.114,-0.810,0.500
1618396834262,2021-04-14T12.40.34.262,0.019,-0.073,-0.823,0.530
1618396834272,2021-04-14T12.40.34.272,0.029,-0.082,-0.840,0.524
1618396834283,2021-04-14T12.40.34.283,0.040,-0.094,-0.867,0.498
1618396834293,2021-04-14T12.40.34.293,0.050,-0.068,-0.869,0.460
1618396834303,2021-04-14T12.40.34.303,0.060,-0.018,-0.843,0.428
1618396834312,2021-04-14T12.40.34.312,0.069,0.040,-0.790,0.409
1618396834322,2021-04-14T12.40.34.322,0.079,0.063,-0.754,0.395
1618396834332,2021-04-14T12.40.34.332,0.089,0.042,-0.726,0.385
1618396834343,2021-04-14T12.40.34.343,0.100,0.028,-0.713,0.392
1618396834353,2021-04-14T12.40.34.353,0.110,0.012,-0.705,0.400
1618396834362,2021-04-14T12.40.34.362,0.119,-0.027,-0.703,0.416
1618396834372,2021-04-14T12.40.34.372,0.129,-0.070,-0.698,0.425
1618396834382,2021-04-14T12.40.34.382,0.139,-0.068,-0.688,0.444
1618396834392,2021-04-14T12.40.34.392,0.149,-0.059,-0.681,0.461
1618396834403,2021-04-14T12.40.34.403,0.160,-0.047,-0.694,0.480
1618396834413,2021-04-14T12.40.34.413,0.170,-0.021,-0.703,0.489
1618396834422,2021-04-14T12.40.34.422,0.179,-0.008,-0.693,0.488
1618396834432,2021-04-14T12.40.34.432,0.189,-0.015,-0.695,0.439
1618396834442,2021-04-14T12.40.34.442,0.199,-0.045,-0.718,0.371
1618396834452,2021-04-14T12.40.34.452,0.209,-0.091,-0.719,0.334
1618396834463,2021-04-14T12.40.34.463,0.220,-0.139,-0.693,0.319
1618396834473,2021-04-14T12.40.34.473,0.230,-0.206,-0.680,0.359
1618396834482,2021-04-14T12.40.34.482,0.239,-0.258,-0.709,0.429
1618396834492,2021-04-14T12.40.34.492,0.249,-0.231,-0.768,0.485
1618396834502,2021-04-14T12.40.34.502,0.259,-0.164,-0.804,0.541
1618396834513,2021-04-14T12.40.34.513,0.270,-0.084,-0.818,0.612
1618396834523,2021-04-14T12.40.34.523,0.280,-0.073,-0.829,0.652
1618396834532,2021-04-14T12.40.34.532,0.289,-0.118,-0.860,0.662
1618396834542,2021-04-14T12.40.34.542,0.299,-0.163,-0.904,0.679
1618396834552,2021-04-14T12.40.34.552,0.309,-0.167,-0.943,0.695
1618396834562,2021-04-14T12.40.34.562,0.319,-0.140,-0.965,0.685
1618396834573,2021-04-14T12.40.34.573,0.330,-0.071,-0.958,0.683
1618396834583,2021-04-14T12.40.34.583,0.340,0.015,-0.970,0.716
1618396834592,2021-04-14T12.40.34.592,0.349,0.092,-1.002,0.738
1618396834602,2021-04-14T12.40.34.602,0.359,0.127,-1.023,0.727
1618396834612,2021-04-14T12.40.34.612,0.369,0.163,-1.020,0.694
1618396834622,2021-04-14T12.40.34.622,0.379,0.215,-1.005,0.676
1618396834633,2021-04-14T12.40.34.633,0.390,0.236,-1.002,0.657
1618396834641,2021-04-14T12.40.34.641,0.398,0.195,-0.979,0.633
1618396834652,2021-04-14T12.40.34.652,0.409,0.144,-0.951,0.604
1618396834662,2021-04-14T12.40.34.662,0.419,0.111,-0.914,0.574
1618396834672,2021-04-14T12.40.34.672,0.429,0.040,-0.860,0.540
1618396834682,2021-04-14T12.40.34.682,0.439,-0.083,-0.848,0.483
1618396834693,2021-04-14T12.40.34.693,0.450,-0.090,-0.834,0.369
1618396834702,2021-04-14T12.40.34.702,0.459,-0.048,-0.774,0.283
1618396834712,2021-04-14T12.40.34.712,0.469,-0.031,-0.765,0.278
1618396834722,2021-04-14T12.40.34.722,0.479,-0.054,-0.799,0.296
1618396834732,2021-04-14T12.40.34.732,0.489,-0.048,-0.802,0.295
1618396834743,2021-04-14T12.40.34.743,0.500,-0.002,-0.799,0.290
1618396834753,2021-04-14T12.40.34.753,0.510,0.005,-0.824,0.299
1618396834762,2021-04-14T12.40.34.762,0.519,0.003,-0.866,0.325
1618396834772,2021-04-14T12.40.34.772,0.529,0.035,-0.901,0.359
1618396834782,2021-04-14T12.40.34.782,0.539,0.076,-0.930,0.407
1618396834792,2021-04-14T12.40.34.792,0.549,0.111,-0.953,0.451
1618396834803,2021-04-14T12.40.34.803,0.560,0.122,-0.971,0.479
1618396834811,2021-04-14T12.40.34.811,0.568,0.133,-0.987,0.513
1618396834822,2021-04-14T12.40.34.822,0.579,0.126,-1.020,0.559
1618396834832,2021-04-14T12.40.34.832,0.589,0.125,-1.046,0.604
1618396834842,2021-04-14T12.40.34.842,0.599,0.137,-1.043,0.637
1618396834852,2021-04-14T12.40.34.852,0.609,0.127,-1.054,0.632
1618396834863,2021-04-14T12.40.34.863,0.620,0.110,-1.046,0.599
1618396834871,2021-04-14T12.40.34.871,0.628,0.047,-1.008,0.518
1618396834882,2021-04-14T12.40.34.882,0.639,-0.087,-0.987,0.449
1618396834892,2021-04-14T12.40.34.892,0.649,-0.099,-0.964,0.428
1618396834902,2021-04-14T12.40.34.902,0.659,-0.041,-0.949,0.431
1618396834912,2021-04-14T12.40.34.912,0.669,-0.008,-0.953,0.438
1618396834923,2021-04-14T12.40.34.923,0.680,0.006,-0.973,0.451
1618396834931,2021-04-14T12.40.34.931,0.688,-0.003,-0.981,0.468
1618396834942,2021-04-14T12.40.34.942,0.699,-0.014,-0.954,0.466
1618396834952,2021-04-14T12.40.34.952,0.709,0.005,-0.901,0.453
1618396834962,2021-04-14T12.40.34.962,0.719,0.054,-0.840,0.421
1618396834973,2021-04-14T12.40.34.973,0.730,0.084,-0.793,0.431
1618396834981,2021-04-14T12.40.34.981,0.738,0.046,-0.801,0.461
1618396834992,2021-04-14T12.40.34.992,0.749,-0.007,-0.823,0.457
1618396835002,2021-04-14T12.40.35.002,0.759,-0.050,-0.809,0.437
1618396835012,2021-04-14T12.40.35.012,0.769,-0.117,-0.796,0.421
1618396835022,2021-04-14T12.40.35.022,0.779,-0.161,-0.811,0.421
1618396835033,2021-04-14T12.40.35.033,0.790,-0.175,-0.839,0.417
1618396835041,2021-04-14T12.40.35.041,0.798,-0.202,-0.847,0.385
1618396835052,2021-04-14T12.40.35.052,0.809,-0.230,-0.849,0.362
1618396835062,2021-04-14T12.40.35.062,0.819,-0.213,-0.861,0.345
1618396835072,2021-04-14T12.40.35.072,0.829,-0.210,-0.864,0.329
1618396835082,2021-04-14T12.40.35.082,0.839,-0.180,-0.875,0.347
1618396835093,2021-04-14T12.40.35.093,0.850,-0.137,-0.860,0.361
1618396835101,2021-04-14T12.40.35.101,0.858,-0.151,-0.850,0.338
1618396835112,2021-04-14T12.40.35.112,0.869,-0.204,-0.850,0.318
1618396835122,2021-04-14T12.40.35.122,0.879,-0.258,-0.829,0.291
1618396835132,2021-04-14T12.40.35.132,0.889,-0.332,-0.808,0.268
1618396835142,2021-04-14T12.40.35.142,0.899,-0.386,-0.802,0.291
1618396835151,2021-04-14T12.40.35.151,0.908,-0.425,-0.796,0.318
1618396835161,2021-04-14T12.40.35.161,0.918,-0.505,-0.785,0.305
1618396835172,2021-04-14T12.40.35.172,0.929,-0.552,-0.786,0.296
1618396835182,2021-04-14T12.40.35.182,0.939,-0.531,-0.767,0.305
1618396835192,2021-04-14T12.40.35.192,0.949,-0.556,-0.762,0.319
1618396835202,2021-04-14T12.40.35.202,0.959,-0.584,-0.763,0.331
1618396835211,2021-04-14T12.40.35.211,0.968,-0.622,-0.764,0.332
1618396835222,2021-04-14T12.40.35.222,0.979,-0.648,-0.798,0.332
1618396835232,2021-04-14T12.40.35.232,0.989,-0.636,-0.847,0.339
1618396835242,2021-04-14T12.40.35.242,0.999,-0.580,-0.899,0.363
1618396835252,2021-04-14T12.40.35.252,1.009,-0.434,-0.940,0.388
1618396835261,2021-04-14T12.40.35.261,1.018,-0.222,-0.979,0.400
1618396835271,2021-04-14T12.40.35.271,1.028,-0.099,-0.949,0.344
1618396835282,2021-04-14T12.40.35.282,1.039,-0.205,-0.924,0.264
1618396835292,2021-04-14T12.40.35.292,1.049,-0.361,-0.948,0.189
1618396835302,2021-04-14T12.40.35.302,1.059,-0.479,-0.968,0.106
1618396835312,2021-04-14T12.40.35.312,1.069,-0.573,-0.925,0.002
1618396835321,2021-04-14T12.40.35.321,1.078,-0.650,-0.901,-0.023
1618396835331,2021-04-14T12.40.35.331,1.088,-0.659,-0.872,-0.050
1618396835342,2021-04-14T12.40.35.342,1.099,-0.682,-0.832,-0.093
1618396835352,2021-04-14T12.40.35.352,1.109,-0.763,-0.809,-0.098
1618396835362,2021-04-14T12.40.35.362,1.119,-0.766,-0.802,-0.076
1618396835372,2021-04-14T12.40.35.372,1.129,-0.741,-0.778,-0.044
1618396835381,2021-04-14T12.40.35.381,1.138,-0.739,-0.780,-0.010
1618396835391,2021-04-14T12.40.35.391,1.148,-0.723,-0.794,0.006
1618396835402,2021-04-14T12.40.35.402,1.159,-0.702,-0.781,0.032
1618396835412,2021-04-14T12.40.35.412,1.169,-0.666,-0.765,0.059
1618396835422,2021-04-14T12.40.35.422,1.179,-0.631,-0.760,0.090
1618396835431,2021-04-14T12.40.35.431,1.188,-0.595,-0.759,0.117
1618396835441,2021-04-14T12.40.35.441,1.198,-0.542,-0.744,0.135
1618396835452,2021-04-14T12.40.35.452,1.209,-0.515,-0.747,0.160
1618396835462,2021-04-14T12.40.35.462,1.219,-0.510,-0.768,0.192
1618396835472,2021-04-14T12.40.35.472,1.229,-0.505,-0.797,0.219
1618396835482,2021-04-14T12.40.35.482,1.239,-0.511,-0.851,0.257
1618396835491,2021-04-14T12.40.35.491,1.248,-0.538,-0.877,0.261
1618396835501,2021-04-14T12.40.35.501,1.258,-0.552,-0.889,0.276
1618396835512,2021-04-14T12.40.35.512,1.269,-0.523,-0.913,0.302
1618396835522,2021-04-14T12.40.35.522,1.279,-0.498,-0.942,0.319
1618396835532,2021-04-14T12.40.35.532,1.289,-0.505,-0.982,0.344
1618396835542,2021-04-14T12.40.35.542,1.299,-0.506,-1.025,0.360
1618396835551,2021-04-14T12.40.35.551,1.308,-0.485,-1.045,0.363
1618396835561,2021-04-14T12.40.35.561,1.318,-0.472,-1.042,0.360
1618396835572,2021-04-14T12.40.35.572,1.329,-0.450,-1.034,0.355
1618396835582,2021-04-14T12.40.35.582,1.339,-0.433,-1.017,0.358
