epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1621694809437,2021-05-22T16.46.49.437,0.000,-0.225,-0.202,-0.969
1621694809447,2021-05-22T16.46.49.447,0.010,-0.224,-0.204,-0.980
1621694809457,2021-05-22T16.46.49.457,0.020,-0.222,-0.201,-0.979
1621694809467,2021-05-22T16.46.49.467,0.030,-0.220,-0.202,-0.980
1621694809477,2021-05-22T16.46.49.477,0.040,-0.219,-0.204,-0.982
1621694809487,2021-05-22T16.46.49.487,0.050,-0.219,-0.203,-0.979
1621694809497,2021-05-22T16.46.49.497,0.060,-0.216,-0.203,-0.978
1621694809507,2021-05-22T16.46.49.507,0.070,-0.214,-0.206,-0.979
1621694809517,2021-05-22T16.46.49.517,0.080,-0.213,-0.203,-0.977
1621694809527,2021-05-22T16.46.49.527,0.090,-0.212,-0.202,-0.974
1621694809537,2021-05-22T16.46.49.537,0.100,-0.212,-0.204,-0.975
1621694809547,2021-05-22T16.46.49.547,0.110,-0.210,-0.205,-0.972
1621694809557,2021-05-22T16.46.49.557,0.120,-0.211,-0.205,-0.971
1621694809567,2021-05-22T16.46.49.567,0.130,-0.211,-0.208,-0.969
1621694809577,2021-05-22T16.46.49.577,0.140,-0.213,-0.205,-0.972
1621694809587,2021-05-22T16.46.49.587,0.150,-0.211,-0.206,-0.969
1621694809597,2021-05-22T16.46.49.597,0.160,-0.212,-0.208,-0.968
1621694809607,2021-05-22T16.46.49.607,0.170,-0.211,-0.205,-0.967
1621694809617,2021-05-22T16.46.49.617,0.180,-0.210,-0.207,-0.966
1621694809627,2021-05-22T16.46.49.627,0.190,-0.209,-0.206,-0.966
1621694809637,2021-05-22T16.46.49.637,0.200,-0.209,-0.204,-0.964
1621694809647,2021-05-22T16.46.49.647,0.210,-0.212,-0.206,-0.965
1621694809657,2021-05-22T16.46.49.657,0.220,-0.214,-0.205,-0.964
1621694809667,2021-05-22T16.46.49.667,0.230,-0.215,-0.206,-0.966
1621694809677,2021-05-22T16.46.49.677,0.240,-0.217,-0.206,-0.968
1621694809687,2021-05-22T16.46.49.687,0.250,-0.218,-0.204,-0.965
1621694809697,2021-05-22T16.46.49.697,0.260,-0.218,-0.207,-0.969
1621694809707,2021-05-22T16.46.49.707,0.270,-0.217,-0.207,-0.970
1621694809717,2021-05-22T16.46.49.717,0.280,-0.218,-0.204,-0.968
1621694809727,2021-05-22T16.46.49.727,0.290,-0.218,-0.204,-0.973
1621694809737,2021-05-22T16.46.49.737,0.300,-0.217,-0.203,-0.972
1621694809747,2021-05-22T16.46.49.747,0.310,-0.219,-0.204,-0.971
1621694809757,2021-05-22T16.46.49.757,0.320,-0.219,-0.206,-0.973
1621694809767,2021-05-22T16.46.49.767,0.330,-0.220,-0.204,-0.971
1621694809777,2021-05-22T16.46.49.777,0.340,-0.219,-0.207,-0.972
1621694809787,2021-05-22T16.46.49.787,0.350,-0.220,-0.207,-0.971
1621694809797,2021-05-22T16.46.49.797,0.360,-0.220,-0.205,-0.969
1621694809807,2021-05-22T16.46.49.807,0.370,-0.219,-0.203,-0.967
1621694809817,2021-05-22T16.46.49.817,0.380,-0.219,-0.204,-0.967
1621694809827,2021-05-22T16.46.49.827,0.390,-0.219,-0.207,-0.967
1621694809837,2021-05-22T16.46.49.837,0.400,-0.218,-0.205,-0.968
1621694809847,2021-05-22T16.46.49.847,0.410,-0.216,-0.207,-0.963
1621694809857,2021-05-22T16.46.49.857,0.420,-0.217,-0.205,-0.966
1621694809867,2021-05-22T16.46.49.867,0.430,-0.218,-0.205,-0.965
1621694809877,2021-05-22T16.46.49.877,0.440,-0.218,-0.205,-0.963
1621694809887,2021-05-22T16.46.49.887,0.450,-0.216,-0.205,-0.966
1621694809897,2021-05-22T16.46.49.897,0.460,-0.218,-0.202,-0.966
1621694809907,2021-05-22T16.46.49.907,0.470,-0.218,-0.204,-0.965
1621694809917,2021-05-22T16.46.49.917,0.480,-0.218,-0.205,-0.967
1621694809927,2021-05-22T16.46.49.927,0.490,-0.219,-0.204,-0.968
1621694809937,2021-05-22T16.46.49.937,0.500,-0.221,-0.204,-0.966
1621694809947,2021-05-22T16.46.49.947,0.510,-0.219,-0.205,-0.966
1621694809957,2021-05-22T16.46.49.957,0.520,-0.214,-0.206,-0.969
1621694809967,2021-05-22T16.46.49.967,0.530,-0.217,-0.204,-0.972
1621694809977,2021-05-22T16.46.49.977,0.540,-0.214,-0.205,-0.971
1621694809987,2021-05-22T16.46.49.987,0.550,-0.215,-0.204,-0.975
1621694809997,2021-05-22T16.46.49.997,0.560,-0.214,-0.206,-0.972
1621694810007,2021-05-22T16.46.50.007,0.570,-0.213,-0.208,-0.972
1621694810017,2021-05-22T16.46.50.017,0.580,-0.213,-0.206,-0.973
1621694810027,2021-05-22T16.46.50.027,0.590,-0.215,-0.206,-0.976
1621694810037,2021-05-22T16.46.50.037,0.600,-0.215,-0.204,-0.976
1621694810047,2021-05-22T16.46.50.047,0.610,-0.218,-0.204,-0.976
1621694810057,2021-05-22T16.46.50.057,0.620,-0.217,-0.201,-0.975
1621694810067,2021-05-22T16.46.50.067,0.630,-0.218,-0.202,-0.974
1621694810077,2021-05-22T16.46.50.077,0.640,-0.219,-0.205,-0.973
1621694810087,2021-05-22T16.46.50.087,0.650,-0.219,-0.206,-0.973
1621694810097,2021-05-22T16.46.50.097,0.660,-0.219,-0.209,-0.972
1621694810107,2021-05-22T16.46.50.107,0.670,-0.219,-0.207,-0.973
1621694810117,2021-05-22T16.46.50.117,0.680,-0.221,-0.208,-0.970
1621694810127,2021-05-22T16.46.50.127,0.690,-0.222,-0.209,-0.969
1621694810137,2021-05-22T16.46.50.137,0.700,-0.221,-0.209,-0.968
1621694810147,2021-05-22T16.46.50.147,0.710,-0.218,-0.208,-0.963
1621694810157,2021-05-22T16.46.50.157,0.720,-0.218,-0.208,-0.960
1621694810167,2021-05-22T16.46.50.167,0.730,-0.218,-0.210,-0.958
1621694810177,2021-05-22T16.46.50.177,0.740,-0.219,-0.211,-0.957
1621694810187,2021-05-22T16.46.50.187,0.750,-0.219,-0.207,-0.952
1621694810197,2021-05-22T16.46.50.197,0.760,-0.215,-0.207,-0.954
1621694810207,2021-05-22T16.46.50.207,0.770,-0.216,-0.209,-0.955
1621694810217,2021-05-22T16.46.50.217,0.780,-0.218,-0.207,-0.950
1621694810227,2021-05-22T16.46.50.227,0.790,-0.218,-0.208,-0.956
1621694810237,2021-05-22T16.46.50.237,0.800,-0.217,-0.207,-0.955
1621694810247,2021-05-22T16.46.50.247,0.810,-0.214,-0.207,-0.956
1621694810257,2021-05-22T16.46.50.257,0.820,-0.214,-0.205,-0.959
1621694810267,2021-05-22T16.46.50.267,0.830,-0.217,-0.203,-0.962
1621694810277,2021-05-22T16.46.50.277,0.840,-0.217,-0.201,-0.962
1621694810287,2021-05-22T16.46.50.287,0.850,-0.216,-0.204,-0.965
