epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1621695563192,2021-05-22T16.59.23.192,0.000,-2.317,-1.220,-2.317
1621695563202,2021-05-22T16.59.23.202,0.010,-2.195,-0.976,-2.134
1621695563212,2021-05-22T16.59.23.212,0.020,-2.134,-0.854,-2.195
1621695563222,2021-05-22T16.59.23.222,0.030,-2.378,-0.427,-2.256
1621695563232,2021-05-22T16.59.23.232,0.040,-2.805,0.000,-2.195
1621695563242,2021-05-22T16.59.23.242,0.050,-3.171,0.061,-2.134
1621695563252,2021-05-22T16.59.23.252,0.060,-3.659,0.000,-2.195
1621695563262,2021-05-22T16.59.23.262,0.070,-4.146,0.305,-2.073
1621695563272,2021-05-22T16.59.23.272,0.080,-4.634,0.549,-1.829
1621695563282,2021-05-22T16.59.23.282,0.090,-4.939,0.976,-1.707
1621695563292,2021-05-22T16.59.23.292,0.100,-5.305,1.585,-1.768
1621695563302,2021-05-22T16.59.23.302,0.110,-5.671,2.073,-1.646
1621695563312,2021-05-22T16.59.23.312,0.120,-5.854,2.561,-1.463
1621695563322,2021-05-22T16.59.23.322,0.130,-6.098,3.110,-1.280
1621695563332,2021-05-22T16.59.23.332,0.140,-6.402,3.598,-1.159
1621695563342,2021-05-22T16.59.23.342,0.150,-6.829,3.841,-0.915
1621695563352,2021-05-22T16.59.23.352,0.160,-7.317,3.780,-0.976
1621695563362,2021-05-22T16.59.23.362,0.170,-7.744,3.354,-1.220
1621695563372,2021-05-22T16.59.23.372,0.180,-8.110,2.622,-1.341
1621695563382,2021-05-22T16.59.23.382,0.190,-8.354,2.439,-1.402
1621695563392,2021-05-22T16.59.23.392,0.200,-8.293,2.866,-1.646
1621695563402,2021-05-22T16.59.23.402,0.210,-8.171,3.171,-1.768
1621695563412,2021-05-22T16.59.23.412,0.220,-7.805,3.537,-1.829
1621695563422,2021-05-22T16.59.23.422,0.230,-7.256,4.024,-1.890
1621695563432,2021-05-22T16.59.23.432,0.240,-6.829,4.329,-2.317
