epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1621695562016,2021-05-22T16.59.22.016,0.000,259.390,21.585,24.634
1621695562026,2021-05-22T16.59.22.026,0.010,261.159,22.195,24.756
1621695562036,2021-05-22T16.59.22.036,0.020,268.293,22.866,24.939
1621695562046,2021-05-22T16.59.22.046,0.030,276.524,17.134,26.341
1621695562056,2021-05-22T16.59.22.056,0.040,282.378,7.622,26.829
1621695562066,2021-05-22T16.59.22.066,0.050,285.305,5.854,28.415
1621695562076,2021-05-22T16.59.22.076,0.060,287.988,2.500,31.890
1621695562086,2021-05-22T16.59.22.086,0.070,289.817,-6.585,34.390
1621695562096,2021-05-22T16.59.22.096,0.080,290.244,-15.061,36.524
1621695562106,2021-05-22T16.59.22.106,0.090,289.512,-24.146,38.537
1621695562116,2021-05-22T16.59.22.116,0.100,288.049,-28.963,38.720
1621695562126,2021-05-22T16.59.22.126,0.110,286.768,-32.561,38.049
1621695562136,2021-05-22T16.59.22.136,0.120,284.817,-41.280,37.195
1621695562146,2021-05-22T16.59.22.146,0.130,282.683,-46.829,35.000
1621695562156,2021-05-22T16.59.22.156,0.140,280.488,-48.354,33.476
1621695562166,2021-05-22T16.59.22.166,0.150,276.768,-55.366,34.939
1621695562176,2021-05-22T16.59.22.176,0.160,272.622,-69.390,36.646
1621695562186,2021-05-22T16.59.22.186,0.170,269.329,-92.927,36.890
1621695562196,2021-05-22T16.59.22.196,0.180,266.951,-123.415,34.085
1621695562206,2021-05-22T16.59.22.206,0.190,267.195,-146.463,27.073
1621695562216,2021-05-22T16.59.22.216,0.200,269.939,-139.329,18.476
1621695562226,2021-05-22T16.59.22.226,0.210,269.756,-99.451,11.890
1621695562236,2021-05-22T16.59.22.236,0.220,266.585,-53.110,8.537
1621695562246,2021-05-22T16.59.22.246,0.230,263.171,-17.805,5.976
1621695562256,2021-05-22T16.59.22.256,0.240,260.976,-7.866,3.841
1621695562266,2021-05-22T16.59.22.266,0.250,259.329,-22.622,2.195
1621695562276,2021-05-22T16.59.22.276,0.260,258.354,-57.866,-1.220
1621695562286,2021-05-22T16.59.22.286,0.270,257.073,-91.402,-6.585
