epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1621617848729,2021-05-21T19.24.08.729,0.000,0.765,0.538,0.208
1621617848739,2021-05-21T19.24.08.739,0.010,0.764,0.539,0.210
1621617848749,2021-05-21T19.24.08.749,0.020,0.761,0.537,0.208
1621617848759,2021-05-21T19.24.08.759,0.030,0.764,0.539,0.205
1621617848769,2021-05-21T19.24.08.769,0.040,0.760,0.544,0.205
1621617848779,2021-05-21T19.24.08.779,0.050,0.760,0.542,0.205
1621617848789,2021-05-21T19.24.08.789,0.060,0.760,0.544,0.206
1621617848799,2021-05-21T19.24.08.799,0.070,0.758,0.543,0.204
1621617848809,2021-05-21T19.24.08.809,0.080,0.764,0.543,0.203
1621617848819,2021-05-21T19.24.08.819,0.090,0.764,0.544,0.206
1621617848829,2021-05-21T19.24.08.829,0.100,0.761,0.542,0.207
1621617848839,2021-05-21T19.24.08.839,0.110,0.764,0.543,0.205
1621617848849,2021-05-21T19.24.08.849,0.120,0.763,0.544,0.208
1621617848859,2021-05-21T19.24.08.859,0.130,0.762,0.543,0.205
1621617848869,2021-05-21T19.24.08.869,0.140,0.764,0.546,0.204
1621617848879,2021-05-21T19.24.08.879,0.150,0.764,0.548,0.202
1621617848889,2021-05-21T19.24.08.889,0.160,0.763,0.547,0.199
1621617848899,2021-05-21T19.24.08.899,0.170,0.763,0.546,0.196
1621617848909,2021-05-21T19.24.08.909,0.180,0.763,0.547,0.197
1621617848919,2021-05-21T19.24.08.919,0.190,0.766,0.545,0.201
1621617848929,2021-05-21T19.24.08.929,0.200,0.766,0.547,0.207
1621617848939,2021-05-21T19.24.08.939,0.210,0.767,0.546,0.209
1621617848949,2021-05-21T19.24.08.949,0.220,0.764,0.544,0.211
1621617848959,2021-05-21T19.24.08.959,0.230,0.756,0.543,0.208
1621617848969,2021-05-21T19.24.08.969,0.240,0.756,0.542,0.205
1621617848979,2021-05-21T19.24.08.979,0.250,0.757,0.541,0.200
1621617848989,2021-05-21T19.24.08.989,0.260,0.759,0.540,0.199
1621617848999,2021-05-21T19.24.08.999,0.270,0.763,0.542,0.203
1621617849009,2021-05-21T19.24.09.009,0.280,0.771,0.546,0.204
1621617849019,2021-05-21T19.24.09.019,0.290,0.771,0.544,0.202
1621617849029,2021-05-21T19.24.09.029,0.300,0.768,0.542,0.205
1621617849039,2021-05-21T19.24.09.039,0.310,0.770,0.541,0.207
1621617849049,2021-05-21T19.24.09.049,0.320,0.765,0.542,0.204
1621617849059,2021-05-21T19.24.09.059,0.330,0.767,0.540,0.207
1621617849069,2021-05-21T19.24.09.069,0.340,0.765,0.541,0.207
1621617849079,2021-05-21T19.24.09.079,0.350,0.762,0.542,0.206
1621617849089,2021-05-21T19.24.09.089,0.360,0.760,0.541,0.203
1621617849099,2021-05-21T19.24.09.099,0.370,0.757,0.543,0.199
1621617849109,2021-05-21T19.24.09.109,0.380,0.758,0.542,0.198
1621617849119,2021-05-21T19.24.09.119,0.390,0.766,0.542,0.201
1621617849129,2021-05-21T19.24.09.129,0.400,0.772,0.545,0.208
1621617849139,2021-05-21T19.24.09.139,0.410,0.770,0.543,0.209
1621617849149,2021-05-21T19.24.09.149,0.420,0.763,0.544,0.210
1621617849159,2021-05-21T19.24.09.159,0.430,0.765,0.544,0.209
1621617849169,2021-05-21T19.24.09.169,0.440,0.764,0.543,0.207
1621617849179,2021-05-21T19.24.09.179,0.450,0.766,0.544,0.206
1621617849189,2021-05-21T19.24.09.189,0.460,0.767,0.543,0.202
1621617849199,2021-05-21T19.24.09.199,0.470,0.763,0.544,0.201
1621617849209,2021-05-21T19.24.09.209,0.480,0.761,0.545,0.204
1621617849219,2021-05-21T19.24.09.219,0.490,0.762,0.544,0.204
1621617849229,2021-05-21T19.24.09.229,0.500,0.764,0.541,0.210
1621617849239,2021-05-21T19.24.09.239,0.510,0.763,0.542,0.212
1621617849249,2021-05-21T19.24.09.249,0.520,0.759,0.540,0.209
1621617849259,2021-05-21T19.24.09.259,0.530,0.759,0.539,0.209
1621617849269,2021-05-21T19.24.09.269,0.540,0.758,0.542,0.210
1621617849279,2021-05-21T19.24.09.279,0.550,0.756,0.542,0.208
1621617849289,2021-05-21T19.24.09.289,0.560,0.758,0.544,0.206
1621617849299,2021-05-21T19.24.09.299,0.570,0.765,0.546,0.206
1621617849309,2021-05-21T19.24.09.309,0.580,0.767,0.547,0.208
1621617849319,2021-05-21T19.24.09.319,0.590,0.771,0.546,0.208
1621617849329,2021-05-21T19.24.09.329,0.600,0.768,0.546,0.206
1621617849339,2021-05-21T19.24.09.339,0.610,0.760,0.544,0.202
1621617849349,2021-05-21T19.24.09.349,0.620,0.758,0.541,0.200
1621617849359,2021-05-21T19.24.09.359,0.630,0.765,0.542,0.203
1621617849369,2021-05-21T19.24.09.369,0.640,0.769,0.542,0.207
1621617849379,2021-05-21T19.24.09.379,0.650,0.768,0.542,0.206
1621617849389,2021-05-21T19.24.09.389,0.660,0.766,0.543,0.203
1621617849399,2021-05-21T19.24.09.399,0.670,0.766,0.546,0.208
1621617849409,2021-05-21T19.24.09.409,0.680,0.775,0.547,0.212
1621617849419,2021-05-21T19.24.09.419,0.690,0.774,0.549,0.211
1621617849429,2021-05-21T19.24.09.429,0.700,0.768,0.544,0.210
1621617849439,2021-05-21T19.24.09.439,0.710,0.763,0.544,0.208
1621617849449,2021-05-21T19.24.09.449,0.720,0.757,0.542,0.204
1621617849459,2021-05-21T19.24.09.459,0.730,0.754,0.543,0.203
1621617849469,2021-05-21T19.24.09.469,0.740,0.756,0.545,0.202
1621617849479,2021-05-21T19.24.09.479,0.750,0.759,0.547,0.201
1621617849489,2021-05-21T19.24.09.489,0.760,0.763,0.550,0.200
1621617849499,2021-05-21T19.24.09.499,0.770,0.762,0.548,0.204
1621617849509,2021-05-21T19.24.09.509,0.780,0.760,0.548,0.208
1621617849519,2021-05-21T19.24.09.519,0.790,0.764,0.549,0.212
1621617849529,2021-05-21T19.24.09.529,0.800,0.764,0.549,0.215
1621617849539,2021-05-21T19.24.09.539,0.810,0.760,0.548,0.212
1621617849549,2021-05-21T19.24.09.549,0.820,0.752,0.548,0.212
1621617849559,2021-05-21T19.24.09.559,0.830,0.750,0.545,0.209
1621617849569,2021-05-21T19.24.09.569,0.840,0.750,0.545,0.210
1621617849579,2021-05-21T19.24.09.579,0.850,0.750,0.545,0.207
1621617849589,2021-05-21T19.24.09.589,0.860,0.750,0.544,0.204
1621617849599,2021-05-21T19.24.09.599,0.870,0.758,0.547,0.208
1621617849609,2021-05-21T19.24.09.609,0.880,0.762,0.553,0.210
1621617849619,2021-05-21T19.24.09.619,0.890,0.764,0.552,0.212
1621617849629,2021-05-21T19.24.09.629,0.900,0.762,0.549,0.210
1621617849639,2021-05-21T19.24.09.639,0.910,0.757,0.546,0.212
1621617849649,2021-05-21T19.24.09.649,0.920,0.754,0.544,0.211
1621617849659,2021-05-21T19.24.09.659,0.930,0.754,0.544,0.211
1621617849669,2021-05-21T19.24.09.669,0.940,0.753,0.546,0.206
1621617849679,2021-05-21T19.24.09.679,0.950,0.750,0.543,0.205
1621617849689,2021-05-21T19.24.09.689,0.960,0.753,0.546,0.207
1621617849699,2021-05-21T19.24.09.699,0.970,0.763,0.551,0.208
1621617849709,2021-05-21T19.24.09.709,0.980,0.769,0.551,0.211
1621617849719,2021-05-21T19.24.09.719,0.990,0.768,0.552,0.213
1621617849729,2021-05-21T19.24.09.729,1.000,0.769,0.549,0.215
1621617849739,2021-05-21T19.24.09.739,1.010,0.768,0.546,0.214
1621617849749,2021-05-21T19.24.09.749,1.020,0.759,0.545,0.208
1621617849759,2021-05-21T19.24.09.759,1.030,0.758,0.544,0.208
1621617849769,2021-05-21T19.24.09.769,1.040,0.756,0.544,0.209
1621617849779,2021-05-21T19.24.09.779,1.050,0.751,0.545,0.204
1621617849789,2021-05-21T19.24.09.789,1.060,0.752,0.545,0.206
1621617849799,2021-05-21T19.24.09.799,1.070,0.759,0.544,0.208
1621617849809,2021-05-21T19.24.09.809,1.080,0.758,0.545,0.211
1621617849819,2021-05-21T19.24.09.819,1.090,0.756,0.547,0.214
1621617849829,2021-05-21T19.24.09.829,1.100,0.756,0.547,0.211
1621617849839,2021-05-21T19.24.09.839,1.110,0.754,0.546,0.205
1621617849849,2021-05-21T19.24.09.849,1.120,0.755,0.549,0.206
1621617849859,2021-05-21T19.24.09.859,1.130,0.758,0.553,0.206
1621617849869,2021-05-21T19.24.09.869,1.140,0.757,0.551,0.208
1621617849879,2021-05-21T19.24.09.879,1.150,0.759,0.551,0.208
1621617849889,2021-05-21T19.24.09.889,1.160,0.764,0.552,0.208
1621617849899,2021-05-21T19.24.09.899,1.170,0.762,0.549,0.208
1621617849909,2021-05-21T19.24.09.909,1.180,0.762,0.549,0.208
1621617849919,2021-05-21T19.24.09.919,1.190,0.763,0.548,0.209
1621617849929,2021-05-21T19.24.09.929,1.200,0.760,0.550,0.210
1621617849939,2021-05-21T19.24.09.939,1.210,0.755,0.547,0.209
1621617849949,2021-05-21T19.24.09.949,1.220,0.757,0.545,0.208
1621617849959,2021-05-21T19.24.09.959,1.230,0.758,0.545,0.208
1621617849969,2021-05-21T19.24.09.969,1.240,0.758,0.548,0.208
1621617849979,2021-05-21T19.24.09.979,1.250,0.761,0.546,0.207
1621617849989,2021-05-21T19.24.09.989,1.260,0.764,0.545,0.207
1621617849999,2021-05-21T19.24.09.999,1.270,0.763,0.547,0.209
1621617850009,2021-05-21T19.24.10.009,1.280,0.764,0.543,0.210
1621617850019,2021-05-21T19.24.10.019,1.290,0.761,0.542,0.212
1621617850029,2021-05-21T19.24.10.029,1.300,0.756,0.542,0.213
1621617850039,2021-05-21T19.24.10.039,1.310,0.755,0.539,0.211
1621617850049,2021-05-21T19.24.10.049,1.320,0.754,0.541,0.208
1621617850059,2021-05-21T19.24.10.059,1.330,0.754,0.545,0.202
1621617850069,2021-05-21T19.24.10.069,1.340,0.761,0.548,0.204
1621617850079,2021-05-21T19.24.10.079,1.350,0.770,0.549,0.209
1621617850089,2021-05-21T19.24.10.089,1.360,0.767,0.551,0.208
1621617850099,2021-05-21T19.24.10.099,1.370,0.769,0.550,0.209
1621617850109,2021-05-21T19.24.10.109,1.380,0.766,0.549,0.210
1621617850119,2021-05-21T19.24.10.119,1.390,0.759,0.542,0.209
1621617850129,2021-05-21T19.24.10.129,1.400,0.757,0.542,0.205
1621617850139,2021-05-21T19.24.10.139,1.410,0.756,0.542,0.204
1621617850149,2021-05-21T19.24.10.149,1.420,0.755,0.543,0.207
1621617850159,2021-05-21T19.24.10.159,1.430,0.757,0.546,0.206
1621617850169,2021-05-21T19.24.10.169,1.440,0.760,0.543,0.207
1621617850179,2021-05-21T19.24.10.179,1.450,0.756,0.542,0.210
1621617850189,2021-05-21T19.24.10.189,1.460,0.760,0.545,0.209
1621617850199,2021-05-21T19.24.10.199,1.470,0.761,0.545,0.209
1621617850209,2021-05-21T19.24.10.209,1.480,0.763,0.543,0.210
1621617850219,2021-05-21T19.24.10.219,1.490,0.763,0.544,0.209
1621617850229,2021-05-21T19.24.10.229,1.500,0.766,0.544,0.210
1621617850239,2021-05-21T19.24.10.239,1.510,0.765,0.543,0.211
1621617850249,2021-05-21T19.24.10.249,1.520,0.761,0.542,0.210
1621617850259,2021-05-21T19.24.10.259,1.530,0.761,0.542,0.211
1621617850269,2021-05-21T19.24.10.269,1.540,0.759,0.542,0.208
1621617850279,2021-05-21T19.24.10.279,1.550,0.759,0.540,0.205
1621617850289,2021-05-21T19.24.10.289,1.560,0.761,0.542,0.204
1621617850299,2021-05-21T19.24.10.299,1.570,0.763,0.545,0.207
1621617850309,2021-05-21T19.24.10.309,1.580,0.764,0.544,0.207
1621617850319,2021-05-21T19.24.10.319,1.590,0.769,0.545,0.207
1621617850329,2021-05-21T19.24.10.329,1.600,0.770,0.546,0.213
1621617850339,2021-05-21T19.24.10.339,1.610,0.766,0.547,0.209
1621617850349,2021-05-21T19.24.10.349,1.620,0.762,0.545,0.211
1621617850359,2021-05-21T19.24.10.359,1.630,0.760,0.543,0.208
1621617850369,2021-05-21T19.24.10.369,1.640,0.760,0.542,0.205
1621617850379,2021-05-21T19.24.10.379,1.650,0.763,0.545,0.205
1621617850389,2021-05-21T19.24.10.389,1.660,0.766,0.544,0.205
1621617850399,2021-05-21T19.24.10.399,1.670,0.766,0.543,0.205
1621617850409,2021-05-21T19.24.10.409,1.680,0.769,0.545,0.205
1621617850419,2021-05-21T19.24.10.419,1.690,0.768,0.543,0.205
1621617850429,2021-05-21T19.24.10.429,1.700,0.765,0.543,0.208
1621617850439,2021-05-21T19.24.10.439,1.710,0.761,0.540,0.208
1621617850449,2021-05-21T19.24.10.449,1.720,0.757,0.542,0.207
1621617850459,2021-05-21T19.24.10.459,1.730,0.750,0.541,0.204
1621617850469,2021-05-21T19.24.10.469,1.740,0.757,0.545,0.203
1621617850479,2021-05-21T19.24.10.479,1.750,0.758,0.546,0.207
1621617850489,2021-05-21T19.24.10.489,1.760,0.761,0.548,0.204
1621617850499,2021-05-21T19.24.10.499,1.770,0.769,0.554,0.207
1621617850509,2021-05-21T19.24.10.509,1.780,0.774,0.552,0.210
1621617850519,2021-05-21T19.24.10.519,1.790,0.772,0.551,0.208
1621617850529,2021-05-21T19.24.10.529,1.800,0.766,0.548,0.208
1621617850539,2021-05-21T19.24.10.539,1.810,0.761,0.545,0.206
1621617850549,2021-05-21T19.24.10.549,1.820,0.756,0.543,0.204
1621617850559,2021-05-21T19.24.10.559,1.830,0.755,0.543,0.201
1621617850569,2021-05-21T19.24.10.569,1.840,0.755,0.544,0.202
1621617850579,2021-05-21T19.24.10.579,1.850,0.755,0.542,0.203
1621617850589,2021-05-21T19.24.10.589,1.860,0.758,0.545,0.205
1621617850599,2021-05-21T19.24.10.599,1.870,0.756,0.546,0.208
1621617850609,2021-05-21T19.24.10.609,1.880,0.758,0.547,0.211
1621617850619,2021-05-21T19.24.10.619,1.890,0.758,0.545,0.210
1621617850629,2021-05-21T19.24.10.629,1.900,0.753,0.545,0.212
1621617850639,2021-05-21T19.24.10.639,1.910,0.753,0.544,0.209
1621617850649,2021-05-21T19.24.10.649,1.920,0.758,0.544,0.204
1621617850659,2021-05-21T19.24.10.659,1.930,0.761,0.547,0.205
1621617850669,2021-05-21T19.24.10.669,1.940,0.766,0.548,0.205
1621617850679,2021-05-21T19.24.10.679,1.950,0.770,0.548,0.207
1621617850689,2021-05-21T19.24.10.689,1.960,0.772,0.550,0.208
1621617850699,2021-05-21T19.24.10.699,1.970,0.768,0.549,0.207
1621617850709,2021-05-21T19.24.10.709,1.980,0.761,0.543,0.204
1621617850719,2021-05-21T19.24.10.719,1.990,0.763,0.542,0.207
1621617850729,2021-05-21T19.24.10.729,2.000,0.765,0.543,0.204
1621617850739,2021-05-21T19.24.10.739,2.010,0.762,0.544,0.204
1621617850749,2021-05-21T19.24.10.749,2.020,0.764,0.544,0.205
1621617850759,2021-05-21T19.24.10.759,2.030,0.765,0.544,0.207
1621617850769,2021-05-21T19.24.10.769,2.040,0.763,0.545,0.210
1621617850779,2021-05-21T19.24.10.779,2.050,0.762,0.542,0.210
1621617850789,2021-05-21T19.24.10.789,2.060,0.759,0.541,0.210
1621617850799,2021-05-21T19.24.10.799,2.070,0.756,0.539,0.210
1621617850809,2021-05-21T19.24.10.809,2.080,0.757,0.539,0.210
1621617850819,2021-05-21T19.24.10.819,2.090,0.752,0.541,0.204
1621617850829,2021-05-21T19.24.10.829,2.100,0.752,0.542,0.202
1621617850839,2021-05-21T19.24.10.839,2.110,0.754,0.543,0.198
1621617850849,2021-05-21T19.24.10.849,2.120,0.769,0.550,0.198
1621617850859,2021-05-21T19.24.10.859,2.130,0.772,0.552,0.201
1621617850869,2021-05-21T19.24.10.869,2.140,0.771,0.550,0.207
1621617850879,2021-05-21T19.24.10.879,2.150,0.772,0.550,0.207
1621617850889,2021-05-21T19.24.10.889,2.160,0.771,0.549,0.209
1621617850899,2021-05-21T19.24.10.899,2.170,0.769,0.546,0.210
1621617850909,2021-05-21T19.24.10.909,2.180,0.762,0.544,0.208
1621617850919,2021-05-21T19.24.10.919,2.190,0.760,0.543,0.205
1621617850929,2021-05-21T19.24.10.929,2.200,0.755,0.546,0.203
1621617850939,2021-05-21T19.24.10.939,2.210,0.759,0.546,0.201
1621617850949,2021-05-21T19.24.10.949,2.220,0.763,0.544,0.204
1621617850959,2021-05-21T19.24.10.959,2.230,0.761,0.545,0.206
1621617850969,2021-05-21T19.24.10.969,2.240,0.762,0.544,0.205
1621617850979,2021-05-21T19.24.10.979,2.250,0.764,0.540,0.205
1621617850989,2021-05-21T19.24.10.989,2.260,0.764,0.540,0.209
1621617850999,2021-05-21T19.24.10.999,2.270,0.762,0.540,0.208
1621617851009,2021-05-21T19.24.11.009,2.280,0.766,0.541,0.208
1621617851019,2021-05-21T19.24.11.019,2.290,0.763,0.540,0.208
1621617851029,2021-05-21T19.24.11.029,2.300,0.765,0.539,0.209
1621617851039,2021-05-21T19.24.11.039,2.310,0.770,0.540,0.208
1621617851049,2021-05-21T19.24.11.049,2.320,0.768,0.542,0.207
1621617851059,2021-05-21T19.24.11.059,2.330,0.767,0.542,0.205
1621617851069,2021-05-21T19.24.11.069,2.340,0.767,0.540,0.204
1621617851079,2021-05-21T19.24.11.079,2.350,0.765,0.540,0.203
1621617851089,2021-05-21T19.24.11.089,2.360,0.763,0.538,0.203
1621617851099,2021-05-21T19.24.11.099,2.370,0.763,0.540,0.201
1621617851109,2021-05-21T19.24.11.109,2.380,0.765,0.541,0.206
1621617851119,2021-05-21T19.24.11.119,2.390,0.770,0.541,0.208
1621617851129,2021-05-21T19.24.11.129,2.400,0.768,0.543,0.202
1621617851139,2021-05-21T19.24.11.139,2.410,0.766,0.541,0.204
1621617851149,2021-05-21T19.24.11.149,2.420,0.764,0.540,0.200
1621617851159,2021-05-21T19.24.11.159,2.430,0.768,0.544,0.196
1621617851169,2021-05-21T19.24.11.169,2.440,0.770,0.543,0.199
1621617851179,2021-05-21T19.24.11.179,2.450,0.769,0.542,0.197
1621617851189,2021-05-21T19.24.11.189,2.460,0.764,0.542,0.198
1621617851199,2021-05-21T19.24.11.199,2.470,0.769,0.545,0.201
1621617851209,2021-05-21T19.24.11.209,2.480,0.771,0.546,0.204
1621617851219,2021-05-21T19.24.11.219,2.490,0.769,0.544,0.205
1621617851229,2021-05-21T19.24.11.229,2.500,0.767,0.542,0.202
1621617851239,2021-05-21T19.24.11.239,2.510,0.760,0.539,0.205
1621617851249,2021-05-21T19.24.11.249,2.520,0.763,0.538,0.204
1621617851259,2021-05-21T19.24.11.259,2.530,0.768,0.541,0.202
1621617851269,2021-05-21T19.24.11.269,2.540,0.769,0.542,0.200
1621617851279,2021-05-21T19.24.11.279,2.550,0.769,0.545,0.201
1621617851289,2021-05-21T19.24.11.289,2.560,0.767,0.544,0.197
1621617851299,2021-05-21T19.24.11.299,2.570,0.768,0.545,0.202
1621617851309,2021-05-21T19.24.11.309,2.580,0.770,0.543,0.204
1621617851319,2021-05-21T19.24.11.319,2.590,0.769,0.544,0.207
1621617851329,2021-05-21T19.24.11.329,2.600,0.766,0.543,0.207
1621617851339,2021-05-21T19.24.11.339,2.610,0.766,0.538,0.205
1621617851349,2021-05-21T19.24.11.349,2.620,0.765,0.539,0.201
1621617851359,2021-05-21T19.24.11.359,2.630,0.762,0.539,0.198
1621617851369,2021-05-21T19.24.11.369,2.640,0.766,0.538,0.198
1621617851379,2021-05-21T19.24.11.379,2.650,0.771,0.540,0.197
1621617851389,2021-05-21T19.24.11.389,2.660,0.771,0.543,0.194
1621617851399,2021-05-21T19.24.11.399,2.670,0.771,0.542,0.201
1621617851409,2021-05-21T19.24.11.409,2.680,0.768,0.542,0.204
1621617851419,2021-05-21T19.24.11.419,2.690,0.765,0.542,0.201
1621617851429,2021-05-21T19.24.11.429,2.700,0.762,0.545,0.202
1621617851439,2021-05-21T19.24.11.439,2.710,0.765,0.545,0.202
1621617851449,2021-05-21T19.24.11.449,2.720,0.770,0.544,0.199
1621617851459,2021-05-21T19.24.11.459,2.730,0.771,0.545,0.202
1621617851469,2021-05-21T19.24.11.469,2.740,0.770,0.550,0.202
1621617851479,2021-05-21T19.24.11.479,2.750,0.763,0.547,0.202
1621617851489,2021-05-21T19.24.11.489,2.760,0.764,0.546,0.205
1621617851499,2021-05-21T19.24.11.499,2.770,0.766,0.543,0.204
1621617851509,2021-05-21T19.24.11.509,2.780,0.763,0.540,0.204
1621617851519,2021-05-21T19.24.11.519,2.790,0.760,0.542,0.208
1621617851529,2021-05-21T19.24.11.529,2.800,0.757,0.540,0.207
1621617851539,2021-05-21T19.24.11.539,2.810,0.757,0.537,0.211
1621617851549,2021-05-21T19.24.11.549,2.820,0.761,0.537,0.212
1621617851559,2021-05-21T19.24.11.559,2.830,0.763,0.539,0.210
1621617851569,2021-05-21T19.24.11.569,2.840,0.765,0.542,0.208
1621617851579,2021-05-21T19.24.11.579,2.850,0.764,0.541,0.208
1621617851589,2021-05-21T19.24.11.589,2.860,0.765,0.543,0.209
1621617851599,2021-05-21T19.24.11.599,2.870,0.767,0.541,0.207
1621617851609,2021-05-21T19.24.11.609,2.880,0.762,0.537,0.203
1621617851619,2021-05-21T19.24.11.619,2.890,0.757,0.540,0.201
1621617851629,2021-05-21T19.24.11.629,2.900,0.765,0.544,0.206
1621617851639,2021-05-21T19.24.11.639,2.910,0.773,0.547,0.204
1621617851649,2021-05-21T19.24.11.649,2.920,0.774,0.548,0.205
1621617851659,2021-05-21T19.24.11.659,2.930,0.771,0.548,0.208
1621617851669,2021-05-21T19.24.11.669,2.940,0.770,0.547,0.208
1621617851679,2021-05-21T19.24.11.679,2.950,0.770,0.543,0.206
1621617851689,2021-05-21T19.24.11.689,2.960,0.773,0.538,0.204
1621617851699,2021-05-21T19.24.11.699,2.970,0.784,0.533,0.203
1621617851709,2021-05-21T19.24.11.709,2.980,0.782,0.547,0.212
1621617851719,2021-05-21T19.24.11.719,2.990,0.764,0.540,0.213
1621617851729,2021-05-21T19.24.11.729,3.000,0.748,0.539,0.201
1621617851739,2021-05-21T19.24.11.739,3.010,0.749,0.540,0.199
1621617851749,2021-05-21T19.24.11.749,3.020,0.751,0.544,0.216
1621617851759,2021-05-21T19.24.11.759,3.030,0.769,0.548,0.216
1621617851769,2021-05-21T19.24.11.769,3.040,0.774,0.548,0.204
1621617851779,2021-05-21T19.24.11.779,3.050,0.797,0.543,0.207
1621617851789,2021-05-21T19.24.11.789,3.060,0.757,0.540,0.199
1621617851799,2021-05-21T19.24.11.799,3.070,0.745,0.544,0.221
1621617851809,2021-05-21T19.24.11.809,3.080,0.759,0.543,0.204
1621617851819,2021-05-21T19.24.11.819,3.090,0.769,0.550,0.193
1621617851829,2021-05-21T19.24.11.829,3.100,0.748,0.551,0.184
1621617851839,2021-05-21T19.24.11.839,3.110,0.795,0.558,0.205
1621617851849,2021-05-21T19.24.11.849,3.120,0.818,0.541,0.208
1621617851859,2021-05-21T19.24.11.859,3.130,0.785,0.540,0.200
1621617851869,2021-05-21T19.24.11.869,3.140,0.760,0.548,0.187
1621617851879,2021-05-21T19.24.11.879,3.150,0.748,0.546,0.175
1621617851889,2021-05-21T19.24.11.889,3.160,0.737,0.547,0.171
1621617851899,2021-05-21T19.24.11.899,3.170,0.744,0.551,0.167
1621617851909,2021-05-21T19.24.11.909,3.180,0.751,0.550,0.175
1621617851919,2021-05-21T19.24.11.919,3.190,0.750,0.558,0.190
1621617851929,2021-05-21T19.24.11.929,3.200,0.754,0.550,0.193
1621617851939,2021-05-21T19.24.11.939,3.210,0.765,0.539,0.195
1621617851949,2021-05-21T19.24.11.949,3.220,0.777,0.545,0.182
1621617851959,2021-05-21T19.24.11.959,3.230,0.810,0.566,0.161
1621617851969,2021-05-21T19.24.11.969,3.240,0.845,0.578,0.134
1621617851979,2021-05-21T19.24.11.979,3.250,0.810,0.570,0.122
1621617851989,2021-05-21T19.24.11.989,3.260,0.802,0.574,0.137
1621617851999,2021-05-21T19.24.11.999,3.270,0.826,0.576,0.129
1621617852009,2021-05-21T19.24.12.009,3.280,0.732,0.563,0.129
1621617852019,2021-05-21T19.24.12.019,3.290,0.594,0.533,0.167
1621617852029,2021-05-21T19.24.12.029,3.300,0.596,0.506,0.190
1621617852039,2021-05-21T19.24.12.039,3.310,0.649,0.492,0.197
1621617852049,2021-05-21T19.24.12.049,3.320,0.663,0.479,0.178
1621617852059,2021-05-21T19.24.12.059,3.330,0.691,0.479,0.156
1621617852069,2021-05-21T19.24.12.069,3.340,0.762,0.480,0.136
1621617852079,2021-05-21T19.24.12.079,3.350,0.792,0.480,0.117
1621617852089,2021-05-21T19.24.12.089,3.360,0.805,0.487,0.138
1621617852099,2021-05-21T19.24.12.099,3.370,0.835,0.475,0.175
1621617852109,2021-05-21T19.24.12.109,3.380,0.888,0.477,0.210
1621617852119,2021-05-21T19.24.12.119,3.390,0.881,0.472,0.194
1621617852129,2021-05-21T19.24.12.129,3.400,0.809,0.447,0.151
1621617852139,2021-05-21T19.24.12.139,3.410,0.746,0.432,0.100
1621617852149,2021-05-21T19.24.12.149,3.420,0.670,0.424,0.049
1621617852159,2021-05-21T19.24.12.159,3.430,0.621,0.417,0.029
1621617852169,2021-05-21T19.24.12.169,3.440,0.699,0.422,0.048
1621617852179,2021-05-21T19.24.12.179,3.450,0.745,0.409,0.082
1621617852189,2021-05-21T19.24.12.189,3.460,0.746,0.398,0.106
1621617852199,2021-05-21T19.24.12.199,3.470,0.771,0.413,0.118
1621617852209,2021-05-21T19.24.12.209,3.480,0.776,0.439,0.110
1621617852219,2021-05-21T19.24.12.219,3.490,0.831,0.464,0.154
1621617852229,2021-05-21T19.24.12.229,3.500,0.911,0.484,0.208
1621617852239,2021-05-21T19.24.12.239,3.510,0.947,0.497,0.212
1621617852249,2021-05-21T19.24.12.249,3.520,0.958,0.506,0.208
1621617852259,2021-05-21T19.24.12.259,3.530,0.989,0.510,0.236
1621617852269,2021-05-21T19.24.12.269,3.540,1.004,0.507,0.264
1621617852279,2021-05-21T19.24.12.279,3.550,1.026,0.513,0.297
1621617852289,2021-05-21T19.24.12.289,3.560,1.014,0.506,0.326
1621617852299,2021-05-21T19.24.12.299,3.570,0.943,0.487,0.327
1621617852309,2021-05-21T19.24.12.309,3.580,0.877,0.456,0.330
1621617852319,2021-05-21T19.24.12.319,3.590,0.861,0.452,0.310
1621617852329,2021-05-21T19.24.12.329,3.600,0.846,0.449,0.267
1621617852339,2021-05-21T19.24.12.339,3.610,0.813,0.433,0.216
1621617852349,2021-05-21T19.24.12.349,3.620,0.763,0.423,0.175
1621617852359,2021-05-21T19.24.12.359,3.630,0.720,0.398,0.131
1621617852369,2021-05-21T19.24.12.369,3.640,0.666,0.352,0.124
1621617852379,2021-05-21T19.24.12.379,3.650,0.627,0.320,0.120
1621617852389,2021-05-21T19.24.12.389,3.660,0.675,0.310,0.174
1621617852399,2021-05-21T19.24.12.399,3.670,0.845,0.319,0.219
1621617852409,2021-05-21T19.24.12.409,3.680,0.892,0.344,0.203
1621617852419,2021-05-21T19.24.12.419,3.690,0.813,0.329,0.207
1621617852429,2021-05-21T19.24.12.429,3.700,0.713,0.286,0.203
1621617852439,2021-05-21T19.24.12.439,3.710,0.636,0.260,0.201
1621617852449,2021-05-21T19.24.12.449,3.720,0.624,0.245,0.235
1621617852459,2021-05-21T19.24.12.459,3.730,0.657,0.225,0.277
