epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1618736602064,2021-04-18T11.03.22.064,0.000,-0.271,-1.001,-0.023
1618736602074,2021-04-18T11.03.22.074,0.010,-0.274,-1.010,-0.023
1618736602084,2021-04-18T11.03.22.084,0.020,-0.274,-1.012,-0.023
1618736602095,2021-04-18T11.03.22.095,0.031,-0.273,-1.010,-0.025
1618736602105,2021-04-18T11.03.22.105,0.041,-0.271,-1.010,-0.027
1618736602114,2021-04-18T11.03.22.114,0.050,-0.274,-1.009,-0.024
1618736602124,2021-04-18T11.03.22.124,0.060,-0.273,-1.009,-0.025
1618736602134,2021-04-18T11.03.22.134,0.070,-0.272,-1.011,-0.027
1618736602145,2021-04-18T11.03.22.145,0.081,-0.274,-1.009,-0.023
1618736602155,2021-04-18T11.03.22.155,0.091,-0.275,-1.007,-0.024
1618736602165,2021-04-18T11.03.22.165,0.101,-0.276,-1.003,-0.022
1618736602175,2021-04-18T11.03.22.175,0.111,-0.276,-1.007,-0.023
1618736602184,2021-04-18T11.03.22.184,0.120,-0.274,-1.009,-0.024
1618736602194,2021-04-18T11.03.22.194,0.130,-0.273,-1.007,-0.026
1618736602205,2021-04-18T11.03.22.205,0.141,-0.273,-1.007,-0.026
1618736602215,2021-04-18T11.03.22.215,0.151,-0.276,-1.010,-0.021
1618736602225,2021-04-18T11.03.22.225,0.161,-0.277,-1.009,-0.028
1618736602235,2021-04-18T11.03.22.235,0.171,-0.275,-1.008,-0.025
1618736602246,2021-04-18T11.03.22.246,0.182,-0.277,-1.011,-0.018
1618736602256,2021-04-18T11.03.22.256,0.192,-0.275,-1.013,-0.026
1618736602265,2021-04-18T11.03.22.265,0.201,-0.275,-1.009,-0.028
1618736602275,2021-04-18T11.03.22.275,0.211,-0.275,-1.010,-0.026
1618736602285,2021-04-18T11.03.22.285,0.221,-0.273,-1.008,-0.027
1618736602295,2021-04-18T11.03.22.295,0.231,-0.275,-1.008,-0.025
1618736602306,2021-04-18T11.03.22.306,0.242,-0.273,-1.007,-0.020
1618736602316,2021-04-18T11.03.22.316,0.252,-0.272,-1.006,-0.019
1618736602326,2021-04-18T11.03.22.326,0.262,-0.276,-1.006,-0.023
1618736602335,2021-04-18T11.03.22.335,0.271,-0.278,-1.005,-0.022
1618736602345,2021-04-18T11.03.22.345,0.281,-0.281,-1.009,-0.022
1618736602355,2021-04-18T11.03.22.355,0.291,-0.279,-1.008,-0.024
1618736602366,2021-04-18T11.03.22.366,0.302,-0.278,-1.006,-0.026
1618736602376,2021-04-18T11.03.22.376,0.312,-0.281,-1.007,-0.027
1618736602386,2021-04-18T11.03.22.386,0.322,-0.281,-1.009,-0.030
1618736602397,2021-04-18T11.03.22.397,0.333,-0.280,-1.008,-0.032
1618736602405,2021-04-18T11.03.22.405,0.341,-0.275,-1.010,-0.036
1618736602416,2021-04-18T11.03.22.416,0.352,-0.273,-1.011,-0.034
1618736602426,2021-04-18T11.03.22.426,0.362,-0.271,-1.008,-0.032
1618736602436,2021-04-18T11.03.22.436,0.372,-0.271,-1.008,-0.029
1618736602446,2021-04-18T11.03.22.446,0.382,-0.271,-1.006,-0.024
1618736602457,2021-04-18T11.03.22.457,0.393,-0.273,-1.009,-0.021
1618736602467,2021-04-18T11.03.22.467,0.403,-0.271,-1.009,-0.019
1618736602477,2021-04-18T11.03.22.477,0.413,-0.268,-1.006,-0.020
1618736602486,2021-04-18T11.03.22.486,0.422,-0.269,-1.007,-0.021
1618736602496,2021-04-18T11.03.22.496,0.432,-0.270,-1.009,-0.023
1618736602506,2021-04-18T11.03.22.506,0.442,-0.268,-1.010,-0.026
1618736602517,2021-04-18T11.03.22.517,0.453,-0.269,-1.009,-0.026
1618736602527,2021-04-18T11.03.22.527,0.463,-0.269,-1.008,-0.024
1618736602537,2021-04-18T11.03.22.537,0.473,-0.271,-1.007,-0.024
1618736602546,2021-04-18T11.03.22.546,0.482,-0.271,-1.007,-0.024
1618736602556,2021-04-18T11.03.22.556,0.492,-0.271,-1.009,-0.021
1618736602566,2021-04-18T11.03.22.566,0.502,-0.272,-1.011,-0.028
1618736602577,2021-04-18T11.03.22.577,0.513,-0.273,-1.008,-0.026
1618736602587,2021-04-18T11.03.22.587,0.523,-0.273,-1.008,-0.026
1618736602597,2021-04-18T11.03.22.597,0.533,-0.277,-1.008,-0.026
1618736602607,2021-04-18T11.03.22.607,0.543,-0.276,-1.010,-0.026
1618736602618,2021-04-18T11.03.22.618,0.554,-0.274,-1.009,-0.026
1618736602626,2021-04-18T11.03.22.626,0.562,-0.270,-1.007,-0.027
1618736602637,2021-04-18T11.03.22.637,0.573,-0.272,-1.006,-0.023
1618736602647,2021-04-18T11.03.22.647,0.583,-0.272,-1.010,-0.025
1618736602657,2021-04-18T11.03.22.657,0.593,-0.272,-1.010,-0.026
1618736602668,2021-04-18T11.03.22.668,0.604,-0.273,-1.009,-0.029
1618736602678,2021-04-18T11.03.22.678,0.614,-0.273,-1.008,-0.031
1618736602688,2021-04-18T11.03.22.688,0.624,-0.274,-1.009,-0.032
1618736602697,2021-04-18T11.03.22.697,0.633,-0.277,-1.009,-0.031
1618736602707,2021-04-18T11.03.22.707,0.643,-0.278,-1.011,-0.030
1618736602717,2021-04-18T11.03.22.717,0.653,-0.274,-1.009,-0.027
1618736602728,2021-04-18T11.03.22.728,0.664,-0.276,-1.009,-0.025
1618736602738,2021-04-18T11.03.22.738,0.674,-0.274,-1.007,-0.031
1618736602748,2021-04-18T11.03.22.748,0.684,-0.275,-1.007,-0.027
1618736602758,2021-04-18T11.03.22.758,0.694,-0.277,-1.008,-0.026
1618736602767,2021-04-18T11.03.22.767,0.703,-0.276,-1.009,-0.028
