epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1618736602074,2021-04-18T11.03.22.074,0.000,0.000,-0.244,-0.061
1618736602084,2021-04-18T11.03.22.084,0.010,0.122,-0.671,-0.488
1618736602095,2021-04-18T11.03.22.095,0.021,-0.061,-0.305,-0.305
1618736602105,2021-04-18T11.03.22.105,0.031,0.061,-0.183,-0.244
1618736602114,2021-04-18T11.03.22.114,0.040,0.000,-0.183,-0.183
1618736602124,2021-04-18T11.03.22.124,0.050,0.061,-0.122,0.000
1618736602134,2021-04-18T11.03.22.134,0.060,0.061,-0.183,0.000
1618736602145,2021-04-18T11.03.22.145,0.071,0.122,-0.061,-0.061
1618736602155,2021-04-18T11.03.22.155,0.081,0.122,-0.061,-0.122
1618736602165,2021-04-18T11.03.22.165,0.091,0.061,0.061,-0.122
1618736602175,2021-04-18T11.03.22.175,0.101,0.122,0.061,-0.122
1618736602186,2021-04-18T11.03.22.186,0.112,0.122,-0.183,-0.122
1618736602194,2021-04-18T11.03.22.194,0.120,0.000,-0.183,-0.122
1618736602205,2021-04-18T11.03.22.205,0.131,0.061,0.061,-0.122
1618736602215,2021-04-18T11.03.22.215,0.141,0.061,0.122,-0.061
1618736602225,2021-04-18T11.03.22.225,0.151,0.000,0.000,-0.122
1618736602235,2021-04-18T11.03.22.235,0.161,-0.061,0.061,-0.183
1618736602246,2021-04-18T11.03.22.246,0.172,0.000,-0.061,-0.183
1618736602256,2021-04-18T11.03.22.256,0.182,0.061,-0.427,-0.244
1618736602265,2021-04-18T11.03.22.265,0.191,-0.061,-0.366,-0.244
1618736602275,2021-04-18T11.03.22.275,0.201,0.000,-0.183,-0.244
1618736602285,2021-04-18T11.03.22.285,0.211,0.000,-0.183,-0.244
1618736602295,2021-04-18T11.03.22.295,0.221,0.061,-0.061,-0.244
1618736602306,2021-04-18T11.03.22.306,0.232,0.061,0.183,-0.244
1618736602316,2021-04-18T11.03.22.316,0.242,-0.061,0.305,-0.244
1618736602326,2021-04-18T11.03.22.326,0.252,-0.244,0.244,-0.244
1618736602335,2021-04-18T11.03.22.335,0.261,-0.244,0.061,-0.305
1618736602345,2021-04-18T11.03.22.345,0.271,-0.305,0.061,-0.427
1618736602355,2021-04-18T11.03.22.355,0.281,-0.244,0.000,-0.671
1618736602366,2021-04-18T11.03.22.366,0.292,-0.427,-0.305,-0.793
1618736602376,2021-04-18T11.03.22.376,0.302,-0.488,-0.610,-0.915
1618736602386,2021-04-18T11.03.22.386,0.312,-0.549,-0.915,-1.098
1618736602397,2021-04-18T11.03.22.397,0.323,-0.549,-1.341,-1.402
1618736602405,2021-04-18T11.03.22.405,0.331,-0.427,-1.524,-1.646
1618736602416,2021-04-18T11.03.22.416,0.342,-0.183,-1.402,-1.585
1618736602426,2021-04-18T11.03.22.426,0.352,0.061,-0.915,-1.524
1618736602436,2021-04-18T11.03.22.436,0.362,0.305,-0.305,-1.524
1618736602446,2021-04-18T11.03.22.446,0.372,0.427,0.000,-1.463
1618736602457,2021-04-18T11.03.22.457,0.383,0.427,-0.061,-1.220
1618736602467,2021-04-18T11.03.22.467,0.393,0.366,0.000,-1.159
1618736602477,2021-04-18T11.03.22.477,0.403,0.061,-0.122,-1.037
1618736602486,2021-04-18T11.03.22.486,0.412,-0.061,-0.244,-0.732
1618736602496,2021-04-18T11.03.22.496,0.422,-0.183,-0.427,-0.549
1618736602506,2021-04-18T11.03.22.506,0.432,-0.183,-0.793,-0.305
1618736602517,2021-04-18T11.03.22.517,0.443,-0.122,-0.793,-0.244
1618736602527,2021-04-18T11.03.22.527,0.453,-0.122,-0.732,-0.122
1618736602537,2021-04-18T11.03.22.537,0.463,-0.183,-0.732,0.000
1618736602547,2021-04-18T11.03.22.547,0.473,-0.183,-0.305,0.061
1618736602556,2021-04-18T11.03.22.556,0.482,-0.305,0.122,0.061
1618736602566,2021-04-18T11.03.22.566,0.492,-0.305,0.183,0.061
1618736602577,2021-04-18T11.03.22.577,0.503,-0.305,0.366,0.122
1618736602587,2021-04-18T11.03.22.587,0.513,-0.183,0.854,0.061
1618736602597,2021-04-18T11.03.22.597,0.523,-0.122,0.854,0.061
1618736602607,2021-04-18T11.03.22.607,0.533,-0.061,0.488,0.061
1618736602618,2021-04-18T11.03.22.618,0.544,-0.305,0.061,0.061
1618736602626,2021-04-18T11.03.22.626,0.552,-0.244,-0.122,0.183
1618736602637,2021-04-18T11.03.22.637,0.563,-0.488,0.183,0.183
1618736602647,2021-04-18T11.03.22.647,0.573,-0.366,0.244,0.244
1618736602657,2021-04-18T11.03.22.657,0.583,-0.366,0.305,0.305
1618736602668,2021-04-18T11.03.22.668,0.594,-0.366,0.427,0.305
1618736602678,2021-04-18T11.03.22.678,0.604,-0.244,0.427,0.244
1618736602688,2021-04-18T11.03.22.688,0.614,-0.305,0.244,0.122
1618736602697,2021-04-18T11.03.22.697,0.623,-0.366,0.183,0.122
1618736602707,2021-04-18T11.03.22.707,0.633,-0.244,0.244,0.122
1618736602717,2021-04-18T11.03.22.717,0.643,0.000,0.488,0.000
1618736602728,2021-04-18T11.03.22.728,0.654,0.122,0.610,-0.183
1618736602738,2021-04-18T11.03.22.738,0.664,0.122,0.549,-0.183
1618736602748,2021-04-18T11.03.22.748,0.674,0.061,0.549,-0.183
1618736602758,2021-04-18T11.03.22.758,0.684,-0.061,0.549,-0.488
1618736602767,2021-04-18T11.03.22.767,0.693,0.061,0.366,-0.427
1618736602777,2021-04-18T11.03.22.777,0.703,0.061,0.183,-0.427
1618736602788,2021-04-18T11.03.22.788,0.714,0.000,-0.061,-0.549
1618736602798,2021-04-18T11.03.22.798,0.724,0.000,-0.061,-0.488
1618736602808,2021-04-18T11.03.22.808,0.734,0.122,-0.061,-0.427
1618736602818,2021-04-18T11.03.22.818,0.744,0.244,0.122,-0.488
1618736602829,2021-04-18T11.03.22.829,0.755,0.305,0.244,-0.549
1618736602839,2021-04-18T11.03.22.839,0.765,0.305,0.244,-0.427
1618736602848,2021-04-18T11.03.22.848,0.774,0.244,0.366,-0.549
