epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1618736599882,2021-04-18T11.03.19.882,0.000,0.732,0.610,-1.402
1618736599892,2021-04-18T11.03.19.892,0.010,0.610,0.244,-1.159
1618736599903,2021-04-18T11.03.19.903,0.021,0.854,0.854,-1.280
1618736599913,2021-04-18T11.03.19.913,0.031,0.732,1.280,-1.280
1618736599922,2021-04-18T11.03.19.922,0.040,0.610,1.402,-1.341
1618736599932,2021-04-18T11.03.19.932,0.050,0.549,1.159,-1.463
1618736599942,2021-04-18T11.03.19.942,0.060,0.488,0.671,-1.707
1618736599952,2021-04-18T11.03.19.952,0.070,0.244,0.671,-1.646
1618736599963,2021-04-18T11.03.19.963,0.081,0.122,0.549,-1.707
1618736599973,2021-04-18T11.03.19.973,0.091,-0.061,0.610,-1.829
1618736599982,2021-04-18T11.03.19.982,0.100,-0.244,0.793,-1.951
1618736599992,2021-04-18T11.03.19.992,0.110,-0.183,1.159,-1.951
1618736600002,2021-04-18T11.03.20.002,0.120,-0.183,1.280,-1.890
1618736600012,2021-04-18T11.03.20.012,0.130,-0.061,1.220,-1.707
1618736600023,2021-04-18T11.03.20.023,0.141,0.122,0.549,-1.585
1618736600033,2021-04-18T11.03.20.033,0.151,0.305,-0.305,-1.524
1618736600042,2021-04-18T11.03.20.042,0.160,0.366,-1.220,-1.402
1618736600052,2021-04-18T11.03.20.052,0.170,0.366,-1.829,-1.220
1618736600062,2021-04-18T11.03.20.062,0.180,0.305,-1.890,-1.220
1618736600072,2021-04-18T11.03.20.072,0.190,0.183,-1.585,-1.220
1618736600083,2021-04-18T11.03.20.083,0.201,0.244,-0.976,-1.159
1618736600091,2021-04-18T11.03.20.091,0.209,0.305,0.122,-1.098
1618736600102,2021-04-18T11.03.20.102,0.220,0.366,1.220,-1.037
1618736600112,2021-04-18T11.03.20.112,0.230,0.549,2.012,-0.854
1618736600122,2021-04-18T11.03.20.122,0.240,0.793,2.744,-0.671
1618736600132,2021-04-18T11.03.20.132,0.250,1.037,2.927,-0.427
1618736600143,2021-04-18T11.03.20.143,0.261,1.159,2.500,-0.122
1618736600152,2021-04-18T11.03.20.152,0.270,1.159,1.707,-0.061
1618736600162,2021-04-18T11.03.20.162,0.280,1.159,1.220,-0.244
1618736600172,2021-04-18T11.03.20.172,0.290,1.098,0.793,-0.427
1618736600182,2021-04-18T11.03.20.182,0.300,0.976,0.732,-0.610
1618736600193,2021-04-18T11.03.20.193,0.311,0.793,1.037,-0.732
1618736600203,2021-04-18T11.03.20.203,0.321,0.793,1.585,-0.854
1618736600212,2021-04-18T11.03.20.212,0.330,0.549,2.195,-0.854
1618736600222,2021-04-18T11.03.20.222,0.340,0.427,2.744,-0.854
1618736600232,2021-04-18T11.03.20.232,0.350,0.366,2.805,-0.732
1618736600242,2021-04-18T11.03.20.242,0.360,0.305,2.866,-0.610
1618736600253,2021-04-18T11.03.20.253,0.371,0.122,2.500,-0.671
1618736600261,2021-04-18T11.03.20.261,0.379,0.122,2.073,-0.610
1618736600272,2021-04-18T11.03.20.272,0.390,0.061,1.829,-0.610
1618736600282,2021-04-18T11.03.20.282,0.400,0.000,1.890,-0.610
1618736600292,2021-04-18T11.03.20.292,0.410,-0.122,2.195,-0.610
1618736600302,2021-04-18T11.03.20.302,0.420,-0.427,2.500,-0.488
1618736600313,2021-04-18T11.03.20.313,0.431,-0.488,2.683,-0.244
1618736600321,2021-04-18T11.03.20.321,0.439,-0.488,2.988,-0.061
1618736600332,2021-04-18T11.03.20.332,0.450,-0.732,3.110,-0.183
1618736600342,2021-04-18T11.03.20.342,0.460,-1.037,3.232,-0.488
1618736600352,2021-04-18T11.03.20.352,0.470,-1.280,3.476,-0.671
1618736600362,2021-04-18T11.03.20.362,0.480,-1.402,3.902,-0.854
1618736600373,2021-04-18T11.03.20.373,0.491,-1.402,3.902,-1.037
1618736600382,2021-04-18T11.03.20.382,0.500,-1.220,3.171,-1.159
1618736600392,2021-04-18T11.03.20.392,0.510,-0.915,2.012,-1.098
1618736600402,2021-04-18T11.03.20.402,0.520,-0.610,1.524,-0.915
1618736600412,2021-04-18T11.03.20.412,0.530,-0.610,1.585,-0.793
1618736600423,2021-04-18T11.03.20.423,0.541,-0.549,2.073,-0.671
1618736600431,2021-04-18T11.03.20.431,0.549,-0.549,3.415,-0.610
1618736600442,2021-04-18T11.03.20.442,0.560,-0.671,4.756,-0.671
1618736600452,2021-04-18T11.03.20.452,0.570,-0.976,5.793,-0.915
1618736600462,2021-04-18T11.03.20.462,0.580,-1.037,6.098,-1.098
1618736600472,2021-04-18T11.03.20.472,0.590,-1.159,5.976,-1.220
1618736600483,2021-04-18T11.03.20.483,0.601,-1.280,4.939,-1.463
1618736600491,2021-04-18T11.03.20.491,0.609,-1.402,3.963,-1.646
1618736600502,2021-04-18T11.03.20.502,0.620,-1.524,4.146,-2.073
1618736600512,2021-04-18T11.03.20.512,0.630,-1.585,5.183,-2.622
1618736600522,2021-04-18T11.03.20.522,0.640,-1.707,6.829,-3.415
1618736600532,2021-04-18T11.03.20.532,0.650,-1.890,8.780,-4.573
1618736600543,2021-04-18T11.03.20.543,0.661,-2.256,10.244,-5.915
1618736600551,2021-04-18T11.03.20.551,0.669,-2.744,10.915,-7.195
1618736600562,2021-04-18T11.03.20.562,0.680,-3.476,10.915,-8.537
1618736600572,2021-04-18T11.03.20.572,0.690,-4.451,10.366,-9.817
1618736600582,2021-04-18T11.03.20.582,0.700,-5.610,9.329,-10.915
1618736600592,2021-04-18T11.03.20.592,0.710,-6.829,8.354,-11.829
1618736600601,2021-04-18T11.03.20.601,0.719,-8.171,7.805,-12.378
1618736600612,2021-04-18T11.03.20.612,0.730,-9.451,7.988,-12.683
1618736600622,2021-04-18T11.03.20.622,0.740,-10.732,8.902,-12.744
1618736600632,2021-04-18T11.03.20.632,0.750,-11.646,9.390,-12.866
1618736600642,2021-04-18T11.03.20.642,0.760,-12.195,9.268,-12.744
1618736600653,2021-04-18T11.03.20.653,0.771,-12.500,9.085,-12.134
1618736600661,2021-04-18T11.03.20.661,0.779,-12.378,8.659,-11.220
1618736600672,2021-04-18T11.03.20.672,0.790,-12.195,7.561,-10.061
1618736600682,2021-04-18T11.03.20.682,0.800,-11.890,6.707,-8.720
1618736600692,2021-04-18T11.03.20.692,0.810,-11.220,6.707,-7.378
1618736600702,2021-04-18T11.03.20.702,0.820,-10.427,7.256,-6.220
1618736600713,2021-04-18T11.03.20.713,0.831,-9.634,7.622,-5.000
1618736600721,2021-04-18T11.03.20.721,0.839,-8.659,9.207,-3.841
1618736600732,2021-04-18T11.03.20.732,0.850,-7.683,9.878,-2.744
1618736600742,2021-04-18T11.03.20.742,0.860,-6.829,9.329,-1.768
1618736600752,2021-04-18T11.03.20.752,0.870,-6.037,8.415,-0.915
1618736600762,2021-04-18T11.03.20.762,0.880,-5.549,7.561,-0.305
1618736600773,2021-04-18T11.03.20.773,0.891,-5.000,6.890,0.183
